text,sentiment,score
"Slave in the Magic Mirror, come from the farthest space.",neutral,0.7583
"Through wind and darkness, I summon thee.",neutral,0.8211
Speak!,neutral,0.6943
Let me see thy face.,neutral,0.7774
"What wouldst thou know, my Queen?",neutral,0.8612
"Magic Mirror on the wall, who is the fairest one of all?",neutral,0.7345
"Famed is thy beauty, Majesty.",neutral,0.5116
"But hold, a lovely maid I see.",positive,0.8219
Rags cannot hide her gentle grace.,neutral,0.5949
"Alas, she is more fair than thee.",neutral,0.6637
Alas for her!,neutral,0.6772
Reveal her name.,neutral,0.8672
Lips red as the rose.,neutral,0.5166
Hair black as ebony.,neutral,0.7942
Skin white as snow.,neutral,0.5179
Snow White!,neutral,0.6367
Want to know a secret?,neutral,0.852
Promise not to tell?,neutral,0.769
We are standing by a wishing well Make a wish into the well That's all you have to do And if you hear it echoing Your wish will soon come true I'm wishing For the one I love To find me Today I'm hoping And I'm dreaming of The nice things He'll say I'm wishing For the one I love To find me Today Today Oh!,positive,0.9306
Hello.,neutral,0.5209
Oh.,neutral,0.5443
Did I frighten you?,neutral,0.6219
Wait!,neutral,0.6225
"Wait, please.",neutral,0.6485
Don't run away.,neutral,0.7233
Now that I've found you Hear what I have to say One song I have but one song One song only for you One heart tenderly beating Ever entreating Constant and true One love That has possessed me One love Thrilling me through One song My heart keeps singing Of one love Only for you Take her far into the forest.,positive,0.7835
Find some secluded glade where she can pick wildflowers.,neutral,0.6782
"Yes, Your Majesty.",positive,0.5535
"And there, my faithful huntsman, you will kill her!",negative,0.6505
"But, Your Majesty, the little princess!",neutral,0.5531
Silence!,neutral,0.6404
You know the penalty if you fail.,negative,0.6747
"Yes, Your Majesty.",positive,0.5535
"But to make doubly sure you do not fail, bring back her heart in this.",positive,0.5519
One song I have but one song Hello there.,neutral,0.828
What's the matter?,neutral,0.5309
Where's your mama and papa?,neutral,0.7918
"Why, I believe you're lost.",negative,0.7612
"Oh, please don't cry.",neutral,0.5671
"Come on, perk up.",positive,0.5541
Won't you smile for me?,positive,0.611
That's better.,positive,0.77
Your mama and papa can't be far.,neutral,0.6898
There they are!,positive,0.4882
Can you fly?,neutral,0.8352
Goodbye.,neutral,0.5621
Goodbye!,neutral,0.5805
I can't.,negative,0.7719
I can't do it.,negative,0.8934
Forgive me.,neutral,0.6216
"I beg of Your Highness, forgive me.",positive,0.6089
I don't understand!,negative,0.9297
"She's mad, jealous of you!",negative,0.8428
She'll stop at nothing!,neutral,0.469
But who?,neutral,0.7062
The queen.,positive,0.517
The queen?,neutral,0.824
"Now, quick, child, run.",neutral,0.7365
"Run away, hide!",neutral,0.4947
In the woods!,neutral,0.6711
Anywhere!,neutral,0.4979
Never come back!,neutral,0.4374
"Now, go.",neutral,0.6448
Go!,positive,0.6266
Go!,positive,0.6266
Run!,neutral,0.5537
Run!,neutral,0.5537
Hide!,neutral,0.5494
Oh!,neutral,0.5628
Please don't run away.,neutral,0.7037
I won't hurt you.,neutral,0.6975
I'm awfully sorry.,negative,0.7705
I didn't mean to frighten you.,neutral,0.557
But you don't know what I've been through.,negative,0.5017
And all because I was afraid.,negative,0.6416
I'm so ashamed of the fuss I've made.,negative,0.9563
What do you do when things go wrong?,negative,0.7344
Oh!,neutral,0.5628
You sing a song!,positive,0.6553
"With a smile and a song Life is just like a bright, sunny day Your cares fade away And your heart is young With a smile and a song All the world seems to waken anew Rejoicing with you As the song is sung There's no use in grumbling When raindrops come tumbling Remember you're the one Who can fill the world with sunshine When you smile and you sing Everything is in tune and it's spring And life flows along With a smile and a song I really feel quite happy now.",positive,0.9685
I'm sure I'll get along somehow.,positive,0.6824
Everything's going to be all right.,positive,0.7775
But I do need a place to sleep at night.,neutral,0.7358
I can't sleep in the ground like you or in a tree the way you do.,negative,0.619
And I'm sure no nest would possibly be big enough for me.,negative,0.5521
Maybe you know where I can stay.,neutral,0.8225
In the woods somewhere?,neutral,0.8358
You do?,neutral,0.7197
Will you take me there?,neutral,0.8861
"Oh, it's adorable!",positive,0.9843
Just like a doll's house.,neutral,0.5321
