text,sentiment,sentiment_score,theme,theme_score,length
"Once upon a time, in a faraway land, a young prince lived in a shining castle.",uncertain,0.4078,Romantic Love,0.4287,16
"Although he had everything his heart desired, the prince was spoiled, selfish and unkind.",very positive,0.6308,Family,0.715,14
"But then, one winter's night, an old beggar woman came to the castle and offered him a single rose in return for shelter from the bitter cold.",uncertain,0.3437,Empathy,0.836,27
"Repulsed by her haggard appearance, the prince sneered at the gift and turned the old woman away.",very negative,0.5108,Trauma,0.9122,17
"But she warned him not to be deceived by appearances, for beauty is found within.",uncertain,0.3248,Family,0.8506,15
"And when he dismissed her again, the old woman's ugliness melted away to reveal a beautiful enchantress.",uncertain,0.297,Resilience,0.8715,17
"The prince tried to apologize, but it was too late, for she had seen that there was no love in his heart.",negative,0.5213,Family,0.8284,22
"And as punishment, she transformed him into a hideous beast and placed a powerful spell on the castle and all who lived there.",very positive,0.4762,Trauma,0.76,23
"Ashamed of his monstrous form, the Beast concealed himself inside his castle with a magic mirror as his only window to the outside world.",uncertain,0.43,Resilience,0.4564,24
"The rose she had offered was truly an enchanted rose, which would bloom until his 21st year.",very positive,0.5146,Personal Growth,0.8329,17
"If he could learn to love another and earn her love in return by the time the last petal fell, then the spell would be broken.",uncertain,0.3257,Personal Growth,0.8523,26
"If not, he would be doomed to remain a beast for all time.",uncertain,0.2817,Trauma,0.6703,13
"As the years passed, he fell into despair and lost all hope, for who could ever learn to love a beast?",very negative,0.7097,Trauma,0.8946,21
"Little town, it's a quiet village Every day like the one before Little town, full of little people Waking up to say...",neutral,0.4946,Resilience,0.6917,22
"There goes the baker with his tray, like always The same old bread and rolls to sell Every morning just the same Since the morning that we came To this poor provincial town Good morning, Belle.",uncertain,0.2984,Resilience,0.8663,36
"Morning, monsieur.",uncertain,0.3219,Personal Growth,0.7433,2
Where you off to?,uncertain,0.4148,Personal Growth,0.5996,4
The bookshop.,uncertain,0.3495,Resilience,0.1289,2
I just finished the most wonderful story about a beanstalk and an ogre and...,very positive,0.4959,Resilience,0.016,14
That's nice.,uncertain,0.4407,Family,0.8447,2
"Marie, the baguettes!",very positive,0.6663,Family,0.0987,3
Hurry up!,uncertain,0.3775,Family,0.8087,2
"Look, there she goes The girl is strange, no question Dazed and distracted, can't you tell?",uncertain,0.4166,Trauma,0.7917,16
Never part of any crowd 'Cause her head's up on some cloud No denying she's a funny girl that Belle -Bonjour -Good day How is your family?,uncertain,0.2729,Family,0.9159,27
-Bonjour -Good day How is your wife?,uncertain,0.341,Family,0.9699,7
