text,sentiment,sentiment_score,theme,theme_score,length
Where are you?,uncertain,0.3888,Personal Growth,0.589,3
Come out!,very positive,0.562,Family,0.8481,2
Come out!,very positive,0.562,Family,0.8481,2
Come on out.,uncertain,0.3262,Family,0.9148,3
I'm coming to get you.,uncertain,0.3189,Identity,0.5396,5
"Where are you, you little rascal?",neutral,0.4501,Personal Growth,0.4056,6
I'm coming to get you.,uncertain,0.3189,Identity,0.5396,5
Hm.,neutral,0.48,Family,0.7259,1
"Where is my little birthday girl, hm?",uncertain,0.3324,Family,0.9514,7
I'm going to gobble her up when I find her.,uncertain,0.3417,Family,0.7563,10
Oh!,uncertain,0.3701,Family,0.7929,1
I'm going to eat you.,uncertain,0.4427,Trauma,0.3784,5
I am.,neutral,0.5568,Identity,0.9914,2
"Och, Fergus, no weapons on the table.",very negative,0.5838,Family,0.6558,7
Can I shoot an arrow?,very negative,0.5365,Personal Growth,0.1559,5
Can I?,uncertain,0.4216,Personal Growth,0.749,2
Can I?,uncertain,0.4216,Personal Growth,0.749,2
Can I?,uncertain,0.4216,Personal Growth,0.749,2
Can I?,uncertain,0.4216,Personal Growth,0.749,2
Please?,uncertain,0.2881,Family,0.7482,1
Can I?,uncertain,0.4216,Personal Growth,0.749,2
Not with that.,negative,0.545,Personal Growth,0.2974,3
Why not...,uncertain,0.338,Family,0.7939,2
...use your very own?,uncertain,0.4058,Personal Growth,0.5577,4
"Happy birthday, my wee darling!",very positive,0.6048,Family,0.9766,5
"Now, there's a good girl.",uncertain,0.3848,Family,0.8329,5
Draw all the way back now to your cheek.,uncertain,0.3699,Family,0.7758,9
That's right.,neutral,0.5056,Family,0.8355,2
Keep both eyes open.,uncertain,0.3264,Family,0.7935,4
"And, loose!",uncertain,0.415,Family,0.5635,2
I missed.,uncertain,0.4073,Family,0.6446,2
"Go and fetch it, then.",neutral,0.4863,Family,0.7103,5
"A bow, Fergus?",uncertain,0.2544,Family,0.8293,3
She's a lady.,very positive,0.4922,Identity,0.9,3
Ooh!,very positive,0.6048,Family,0.7555,1
You!,very positive,0.5667,Identity,0.9792,1
(HIGH-PITCHED CALL) A will-o'-the-wisp.,uncertain,0.2508,Family,0.1955,4
They are real.,uncertain,0.3902,Family,0.7565,3
"Merida, come along, sweetheart.",very positive,0.6124,Family,0.9904,4
We're leaving now.,uncertain,0.3309,Family,0.8555,3
I saw a wisp.,uncertain,0.445,Personal Growth,0.1584,4
I saw a wisp.,uncertain,0.445,Personal Growth,0.1584,4
A wisp?,uncertain,0.3669,Personal Growth,0.1116,2
"You know, some say that will-o'-the-wisps lead you to your fate.",uncertain,0.3585,Family,0.2438,11
"Oh, aye.",neutral,0.4839,Family,0.8751,2
Or an arrow.,very negative,0.5523,Personal Growth,0.1749,3
Och!,very positive,0.5303,Family,0.5417,1
"Come on, let's be off before we see a dancing Tatty Bogle.",uncertain,0.3224,Personal Growth,0.5657,12
Or a giant having a jigger in the bluebells.,uncertain,0.3403,Resilience,0.146,9
Your father doesn't believe in magic.,very negative,0.4811,Family,0.9739,6
"Well, he should.",neutral,0.4559,Family,0.8556,3
Because it's true.,very positive,0.4932,Family,0.7762,3
Mor'du!,very positive,0.4854,Family,0.6509,1
"Elinor, run!",very positive,0.4871,Personal Growth,0.8004,2
Sire!,very positive,0.6065,Personal Growth,0.4842,1
"Come on, you!",very positive,0.5853,Personal Growth,0.957,3
Some say our destiny is tied to the land...,neutral,0.5564,Identity,0.0824,9
...as much a part of us as we are of it.,neutral,0.5166,Family,0.8988,11
Others say fate is woven together like a cloth.,neutral,0.4803,Family,0.6636,9
So that one's destiny intertwines with many others.,neutral,0.6558,Family,0.5705,8
It's the one thing we search for or fight to change.,neutral,0.6759,Personal Growth,0.611,11
Some never find it.,uncertain,0.3824,Family,0.4851,4
But there are some who are led.,neutral,0.6197,Family,0.4679,7
The story of how my father lost his leg to the demon bear Mor'du became legend.,uncertain,0.2451,Trauma,0.8439,16
I became a sister to three new brothers.,very positive,0.5443,Family,0.9918,8
The princes.,uncertain,0.4236,Family,0.4771,2
"Hamish, Hubert and Harris.",uncertain,0.3252,Family,0.9873,4
"Wee devils, more like.",uncertain,0.4117,Trauma,0.0542,4
