text,sentiment,score
"Through the snow and sleet and hail, through the blizzard, through the gales, through the wind and through the rain, over mountain, over plain, through the blinding lightning flash, and the mighty thunder crash, ever faithful, ever true, nothing stops him, he'll get through.",positive,0.5206
Look out for Mr.,neutral,0.7757
"Stork That persevering chap He'll come along and drop a bundle in your lap You may be poor or rich It doesn't matter which Millionaires, they get theirs like the butcher and the baker So look out for Mr.",neutral,0.6534
"Stork and let me tell you, friend Don't try to get away He'll find you in the end He'll spot you out in China or he'll fly to County Cork So, you better look out for Mr.",neutral,0.693
Stork Look out for Mr.,neutral,0.7981
Stork He's got you on his list And when he comes around It's useless to resist Remember those quintuplets and the woman in the shoe Maybe he's got his eye on you All aboard!,neutral,0.4803
All aboard!,positive,0.6831
All aboard!,positive,0.6831
Let's go!,positive,0.8384
"Casey Junior's comin' down the track Comin' down the track with a smoky stack Hear him puffin' Comin' round the hill Casey's here to thrill every Jack and Jill Every time his funny little whistle sounds Everybody hurries to the circus grounds Time for lemonade and Cracker Jack Casey Junior's back Casey Junior's back My, my.",positive,0.6872
"Now, let me see.",neutral,0.6428
Must be right around here somewhere.,neutral,0.7122
I hope.,positive,0.5357
Watch it there.,neutral,0.7265
...on the treetop Where are we?,neutral,0.8676
"Oh, here.",neutral,0.7362
"Highway 61, four miles to the gas station, turn left That must be it.",neutral,0.8559
"Well, little fella, let's get going.",positive,0.5683
Mrs.,neutral,0.6144
Jumbo.,neutral,0.7187
"Oh, Mrs.",neutral,0.707
Jumbo!,neutral,0.5561
Calling Mrs.,neutral,0.721
Jumbo.,neutral,0.7187
Mrs.,neutral,0.6144
Jumbo?,neutral,0.776
"Oh, my.",neutral,0.5181
Mrs.,neutral,0.6144
Jumbo!,neutral,0.5561
"Oh, where's that Mrs.",neutral,0.7579
Jumbo?,neutral,0.776
Over here!,neutral,0.5148
"This way, boy.",neutral,0.6946
"In here, in here!",positive,0.6003
This is the place.,neutral,0.5412
At last.,positive,0.506
Which one of you ladies is expecting?,neutral,0.8724
Not me.,negative,0.5925
The very idea!,positive,0.4711
Certainly not!,neutral,0.4376
Over there.,neutral,0.6481
Of course.,neutral,0.5552
"Yes, of course.",positive,0.4988
Right over there.,neutral,0.6481
Of course.,neutral,0.5552
"""Here is a baby with eyes of blue, straight from heaven right to you."" Or...",positive,0.5706
"""Straight from heaven, up above, here is a baby for you to love."" Sign here, please.",positive,0.8404
"Yeah, well...",neutral,0.7155
"Oh, Mrs.",neutral,0.707
Jumbo...,neutral,0.7589
"One moment, please.",neutral,0.6549
This is still part of the service.,neutral,0.8143
Happy birthday to you Happy birthday to you Happy birthday dear...,positive,0.9907
Dear...,neutral,0.5711
"Dear me, what's his name?",neutral,0.5605
Jumbo...,neutral,0.7589
Junior.,neutral,0.7565
"Oh, Jumbo Junior, huh?",neutral,0.7269
Jumbo Junior.,neutral,0.7969
"Happy birthday, dear Jumbo Junior Happy birthday To You Do hurry, dear.",positive,0.9867
I'm on pins and needles.,negative,0.8845
Isn't it thrilling?,positive,0.8084
I'm all aflutter.,neutral,0.5767
"Oh, this is a proud, proud day.",positive,0.9859
"Hurry and open it, dearie.",neutral,0.7375
I'm just dying to see.,positive,0.5476
Look at him.,neutral,0.6663
Look at him.,neutral,0.6663
"Oh, you sweet little thing.",positive,0.4136
"He is cute, isn't he?",positive,0.964
