text,sentiment,score
I'll never forget that summer.,positive,0.7289
I spent a week in the old house where my mother grew up.,neutral,0.8878
Almost there.,neutral,0.5601
Feeling all right?,neutral,0.5692
Yes.,positive,0.461
Haru...,neutral,0.7104
how many times have I told her?,neutral,0.6515
I'll be right back.,neutral,0.5089
Okay.,neutral,0.5844
Haru!,neutral,0.6009
You're blocking the driveway again.,negative,0.747
Sho?,neutral,0.7221
Where are you?,neutral,0.7606
Don't touch!,neutral,0.5469
These aren't for you.,negative,0.8075
Arrietty!,neutral,0.6864
What?,neutral,0.5653
"You went outside again, didn't you?",neutral,0.855
"And you might clean up this room, young lady.",neutral,0.778
It's my own little garden.,positive,0.7309
"If you ask me, it looks like a mess.",negative,0.7795
Oh!,neutral,0.5628
Is that a bay leaf?,neutral,0.8788
"Oh well, I guess this means your birthday comes early.",neutral,0.6176
Enough for a whole year.,neutral,0.6542
But the bay tree's so far away.,neutral,0.54
If a human being saw you...,neutral,0.7034
I'm always careful.,neutral,0.6619
The world is full of dangerous creatures.,negative,0.9637
Your great uncle...,neutral,0.7352
...was eaten by a frog.,negative,0.7554
Right?,neutral,0.736
Doesn't that shiso smell lovely?,positive,0.6461
"Yes, it does.",neutral,0.5906
With a bit of sugar I could make shiso juice.,neutral,0.87
Wait till tonight.,neutral,0.816
I'll borrow some for you.,neutral,0.7841
My first borrowing ever!,neutral,0.5134
I've been practicing night and day.,neutral,0.8318
Papa's home.,neutral,0.7234
Welcome back.,positive,0.8949
"Papa, about tonight...",neutral,0.9056
There's a boy in the house.,neutral,0.8215
I saw him.,neutral,0.7332
No!,neutral,0.4416
Arrietty...,neutral,0.7498
He didn't see me!,neutral,0.5759
I hid behind the bay leaf.,neutral,0.769
"Papa, we're still going, aren't we?",neutral,0.7645
I won't hear of it.,neutral,0.5318
It's too dangerous.,negative,0.9032
But he's just a child!,negative,0.7902
"Papa, I've been waiting for such a long time.",neutral,0.5878
The children can be more savage than the grownups.,negative,0.9263
I'll be fine!,positive,0.8643
Youngsters go to bed early.,neutral,0.7181
Thank you Papa!,positive,0.9437
But Pod...,neutral,0.7117
The boy's sick.,negative,0.8376
"Don't worry, we'll be fine.",positive,0.8164
But still...,neutral,0.6988
"Stop worrying, Mother.",neutral,0.5191
We'll be extra careful.,neutral,0.74
Arrietty will be 14 soon.,neutral,0.9096
Someday she'll have to survive without our help.,negative,0.5022
Sometimes I think we're the last Borrowers in the world.,neutral,0.5347
"Whatever you need, just ask Haru.",neutral,0.8614
All right.,neutral,0.4897
"Haru, I'm depending on you.",neutral,0.8458
Yes ma'am.,neutral,0.4958
Let's shut the screen.,neutral,0.6551
Keep the bugs out.,neutral,0.5954
Oh?,neutral,0.6289
Shouldn't you wear something darker?,neutral,0.7556
I already decided!,positive,0.5992
I hope you can borrow some tissue paper.,neutral,0.6885
"And a bit of sugar, perhaps?",neutral,0.8815
We could have shiso juice and sugar for the tea.,neutral,0.885
But anything's just fine.,positive,0.8242
We'll be back soon.,positive,0.617
Please be careful.,neutral,0.7215
We will.,neutral,0.5274
Arrietty!,neutral,0.6864
Sorry!,negative,0.4827
Hold these for me.,neutral,0.7799
"Yes, Papa.",positive,0.5186
Hold on tight!,neutral,0.5981
Arrietty?,neutral,0.7664
Ready?,neutral,0.6724
Yes.,positive,0.461
Everything's so huge!,positive,0.9352
The world of human beings.,neutral,0.5966
The sugar's over there.,neutral,0.7785
Wait for me down there.,neutral,0.7802
"Papa, you're great!",positive,0.9788
Now let's get that tissue.,neutral,0.6989
"Papa, look.",neutral,0.7125
Your first borrowing.,neutral,0.7814
"Be careful, it's sharp.",neutral,0.7622
I will!,positive,0.8202
"Papa, borrowing is such fun!",positive,0.952
Look down there.,neutral,0.7206
Rats.,negative,0.7404
Steer clear of them.,neutral,0.736
They're trouble.,negative,0.8806
I'm not afraid.,positive,0.5069
I'm ready for anything.,positive,0.7426
I've got this!,positive,0.9216
Sometimes it's best not to go looking for danger.,neutral,0.6612
What is this place?,neutral,0.5225
Human beings made it for their dolls.,neutral,0.5225
It's just perfect for us!,positive,0.972
I'm sure Mother would love that dresser over there.,positive,0.8359
These things aren't for borrowing.,negative,0.5936
If anything went missing they'd know right away.,neutral,0.5431
Oh...,neutral,0.6291
Don't be afraid.,neutral,0.7112
I saw you.,neutral,0.6834
In the garden.,neutral,0.6974
"It was you, wasn't it?",neutral,0.8042
My mother told me about you.,neutral,0.7592
She saw little people here when she was young.,neutral,0.7693
Was it you that she saw?,neutral,0.8616
Was it?,neutral,0.8072
"I'm sorry, Papa.",negative,0.5158
