text,sentiment,score
Another village destroyed.,negative,0.8321
Let's go.,positive,0.5876
Soon this will also be consumed in the Sea of Decay.,negative,0.7438
"1,000 YEARS AFTER THE COLLAPSE OF INDUSTRIAL CIVILIZATION, A FOREST EXUDING TOXIC VAPORS, CALLED THE SEA OF DECAY, COVERED AN EARTH STREWN WITH RUSTING RUINS, THREATENING HUMAN SURVIVAL.",negative,0.7358
An Ohm's tracks.,neutral,0.8557
They're still fresh.,neutral,0.511
An Ohm's shell.,neutral,0.805
Amazing.,positive,0.8019
I've never seen a perfect shell.,negative,0.5897
Lovely sound.,positive,0.9672
It chipped my ceramic sword.,negative,0.7471
The villagers will be pleased.,positive,0.7541
They'll have plenty to make into tools now.,neutral,0.749
What an eye.,neutral,0.5065
I wonder if I can carry it.,neutral,0.7982
It came free.,neutral,0.5508
It's incredibly light.,positive,0.6683
Mushigo Palm spores.,neutral,0.837
So beautiful...,positive,0.9635
"Though in this forest of death, your lungs would rot in five minutes without a mask.",negative,0.9399
Who is that?,neutral,0.7811
What can it be?,neutral,0.8123
My heart's pounding.,neutral,0.4393
Those are gunshots.,negative,0.6745
An insect is attacking someone.,negative,0.9145
"Oh, I'm sorry!",negative,0.7388
Over there!,positive,0.4949
What a thick spore cloud.,negative,0.6863
An Ohm!,neutral,0.5786
That must have been its shell.,neutral,0.6921
Don't run that way.,negative,0.4879
Look this way!,positive,0.5365
They answered!,positive,0.7166
They're coming.,neutral,0.7197
Who's that?,neutral,0.7539
What a magnificent Ohm.,positive,0.9419
Go upwind!,positive,0.7026
Thank you!,positive,0.9538
"Return to the forest, Ohm.",neutral,0.8098
This is not your world.,negative,0.7827
Be a good boy.,positive,0.8256
It's blinded by rage.,negative,0.6764
I've got to calm him.,neutral,0.7391
The flares stunned it.,neutral,0.7153
An insect charm.,neutral,0.696
"Awaken, Ohm.",neutral,0.846
Return to the forest.,neutral,0.8432
It's awake.,neutral,0.62
The Ohm's returning to the forest.,neutral,0.8899
She tamed that Ohm with flares and an insect charm.,neutral,0.7054
Lord Yupa!,neutral,0.5125
Nausicaä.,neutral,0.7279
I hardly recognized you.,negative,0.492
It's been a year and half.,neutral,0.5876
Father will be glad.,positive,0.7557
I must thank you.,positive,0.8697
You've become a great wind-rider.,positive,0.8758
"Oh no, not according to Father.",negative,0.7873
"Oh, of course.",neutral,0.6144
I'd completely forgotten about him.,neutral,0.5586
