text,sentiment,sentiment_score,theme,theme_score,length
"The Beginning PONYO ON THE CLIFF BY THE SEA Producer Toshio Suzuki Animation Katsuya Kondo Backgrounds Noboru Yoshida Color design Michiyo Yasuda Imaging Atsushi Okui Music Joe Hisaishi Songs performed by FUJIOKA FUJIMAKI & Nozomi Ohashi Masako Hayashi Voices Tomoko Yamaguchi Kazushige Nagashima Yuki Amami George Tokoro Yuria Nara Rumi Hiiragi Hiroki Doi Akiko Yano Kazuko Yoshiyuki Tomoko Naraoka Written and Directed by Hayao Miyazaki Sosuke, come right back!",positive,0.4964,Empathy,0.0894,69
Okay.,uncertain,0.396,Family,0.8657,1
A goldfish...,uncertain,0.4351,Resilience,0.5561,2
It's stuck.,negative,0.8103,Trauma,0.859,2
That was weird.,negative,0.6899,Trauma,0.5469,3
Ow!,negative,0.6303,Trauma,0.6086,1
Is it dead?,negative,0.6798,Family,0.2398,3
It licked me...it's alive.,positive,0.6708,Resilience,0.8764,4
"Sosuke, we're leaving!",negative,0.5318,Personal Growth,0.8624,3
"Lisa, I caught a goldfish!",positive,0.7706,Personal Growth,0.8088,5
This wind feels strange...,negative,0.6401,Trauma,0.7088,4
"Sosuke, I'm starting the car!",positive,0.6084,Personal Growth,0.4377,5
Did you find her?,uncertain,0.396,Family,0.4771,4
"What, captured by a human?",negative,0.4957,Personal Growth,0.102,5
This is bad...very bad.,negative,0.5544,Family,0.7535,4
Are you dead?,negative,0.6117,Trauma,0.1551,3
You're alive!,positive,0.6948,Resilience,0.9222,2
Sosuke!,positive,0.6376,Friendship,0.7695,1
I'm going to be late!,negative,0.8548,Family,0.6818,5
Lisa!,positive,0.524,Family,0.9595,1
I caught a goldfish.,positive,0.649,Personal Growth,0.3707,4
A goldfish?,negative,0.4784,Resilience,0.1855,2
Down by the rocks.,negative,0.4536,Resilience,0.7155,4
"I'm sorry, but you can't use weed killer here.",negative,0.9368,Family,0.5733,9
Heavens no!,negative,0.789,Family,0.8141,2
This is pure sea water.,neutral,0.5724,Resilience,0.1072,5
It keeps me humidified.,positive,0.5939,Personal Growth,0.5482,4
As long as it's not weed killer.,neutral,0.4775,Resilience,0.1769,7
Good day!,positive,0.7459,Family,0.8513,2
This is very bad.,negative,0.5941,Trauma,0.7735,4
What a creepy guy.,very negative,0.5412,Trauma,0.5468,4
"But don't you say that about strangers, Sosuke.",negative,0.8416,Trauma,0.5911,8
I won't.,negative,0.7859,Personal Growth,0.764,2
Are you taking that to school?,uncertain,0.3317,Resilience,0.5056,6
Won't the teacher complain?,negative,0.7984,Personal Growth,0.4966,4
"Don't worry, I'll take care of you.",positive,0.7659,Family,0.9438,7
She's cute!,positive,0.5118,Family,0.9091,2
They're using the dry dock.,uncertain,0.2897,Resilience,0.639,5
"Here, eat this before we get there.",positive,0.5937,Family,0.8,7
Maybe she's hungry.,negative,0.5394,Family,0.7786,3
Want some?,positive,0.5769,Family,0.7072,2
"Hey, my cut is gone!",negative,0.4573,Personal Growth,0.6279,5
I'm going to call her Ponyo.,positive,0.4886,Personal Growth,0.3334,6
She's really special!,very positive,0.6441,Family,0.8909,3
She can do magic.,positive,0.6188,Family,0.1005,4
She fixed my cut.,positive,0.5934,Family,0.954,4
Want some ham?,positive,0.668,Family,0.2086,3
"Ponyo likes ham, Lisa!",positive,0.6604,Family,0.6002,4
That makes two of us.,uncertain,0.4217,Family,0.9495,5
Oh no...,negative,0.7947,Family,0.8917,2
Disgusting!,negative,0.6503,Trauma,0.4456,1
"Hurry, Lisa!",uncertain,0.3266,Family,0.866,2
Such filth!,very negative,0.6847,Trauma,0.1734,2
