text,sentiment,score
"My name's Ralph, and I'm a bad guy.",negative,0.55
Let's see.,neutral,0.607
I'm nine feet tall.,neutral,0.808
I weigh 643 pounds.,neutral,0.8532
Got a little bit of a temper on me.,neutral,0.6504
"My passion bubbles very near the surface, I guess, not gonna lie.",neutral,0.5883
"Anyhoo, what else?",neutral,0.8233
I'm a wrecker.,negative,0.6911
I wreck things.,negative,0.8735
Professionally.,neutral,0.7202
I'm very good at what I do.,positive,0.9736
Probably the best I know.,positive,0.8657
"The thing is, fixing is the name of the game.",neutral,0.5012
"Literally,  Fix-It Felix, Jr.",neutral,0.7695
"So, yeah, naturally, the guy with the name Fix-It Felix is the good guy.",positive,0.6444
He's nice enough as good guys go.,positive,0.858
Definitely fixes stuff really well.,positive,0.9114
"But if you've got a magic hammer from your father, how hard can it be?",neutral,0.6542
"If he was a regular contractor carpenter guy, I guarantee you would not be able to fix the damage that I do as quickly.",negative,0.7168
"And when Felix does a good job, he gets a medal.",positive,0.8859
But are there medals for wrecking stuff really well?,negative,0.4834
"To that I say, ""Ha!"" And, no, there aren't.",neutral,0.5363
Thirty years I've been doing this and I've seen a lot of other games come and go.,neutral,0.7562
Kind of sad.,negative,0.8649
I think about all those guys from  Asteroids.,neutral,0.7591
Boom!,positive,0.6967
Gone.,neutral,0.5777
Centipede?,neutral,0.8059
"Who knows where that guy is, you know?",neutral,0.7642
"Look, a steady arcade gig is nothing to sneeze at.",neutral,0.4769
I'm very lucky.,positive,0.9663
"It's just, I got to say, it becomes kind of hard to love your job when no one seems to like you for doing it.",negative,0.873
All clear!,positive,0.7372
The arcade is closed!,negative,0.5965
Shoryuken!,neutral,0.7108
Whoo!,positive,0.6358
What a day!,positive,0.9579
"You want to head to Tappers, Ken?",neutral,0.9214
"If you're buying, buddy.",neutral,0.7661
Quitting time!,neutral,0.6268
I don't know.,neutral,0.5667
Maybe I wouldn't be feeling this way if things were different after work.,neutral,0.5237
But it is what it is.,neutral,0.6431
"Good job, everyone!",positive,0.9737
"Felix and the Nicelanders go hang out in their homes which he's just fixed, and everyone, you know...",neutral,0.8552
"They go to their homes, I go to mine which happens to be a dump.",negative,0.5112
"And when I say ""a dump,"" I don't mean like a shabby place.",negative,0.6688
"I mean an actual dump, where the garbage goes and a bunch of bricks and smashed building parts...",negative,0.8124
That's what I call home.,positive,0.5955
I guess I can't bellyache too much.,negative,0.502
"I got my bricks, I got my stump.",neutral,0.6376
It looks uncomfortable.,negative,0.8008
It's actually fine.,positive,0.8146
I'm good.,positive,0.9117
But if I'm really honest with myself...,neutral,0.8217
"I see Felix up there getting patted on the back, people are giving him pie and thanking him and so happy to see him all the time.",positive,0.9621
Sometimes I think...,neutral,0.7397
"Man, it sure must be nice being the good guy.",positive,0.8735
"Nice share, Ralph.",positive,0.8789
"As fellow bad guys, we've all felt what you're feeling and we've come to terms with it.",neutral,0.6633
Really?,neutral,0.6008
Right here.,neutral,0.5976
I am Zangief.,neutral,0.8248
I am bad guy.,negative,0.8427
"Hi, Zangief!",neutral,0.543
"Hi, Zangief.",neutral,0.7419
"I relate to you, Ralph.",positive,0.5743
"When I hit bottom, I was crushing man's skull like sparrow egg between my thighs.",negative,0.6951
"And I think, ""Why do you have to be so bad, Zangief?",negative,0.8101
"""Why can't you be more like good guy?"" Then I have moment of clarity.",neutral,0.5845
"If Zangief is good guy, who'll crush man's skull like sparrow's egg between thighs?",negative,0.4863
"And I say, ""Zangief, you are bad guy, ""but this does not mean you are 'bad' guy."" Right.",neutral,0.5352
I'm sorry.,negative,0.6455
You lost me there.,neutral,0.5555
Zombie!,neutral,0.648
