text,sentiment,score
Cinderella You're as lovely as your name Cinderella You're a sunset in a frame Though you're dressed in rags You wear an air of queenly grace Anyone can see A throne would be your proper place Cinderella If you'll give your heart a chance It will lead you To the kingdom of romance There you'll see your dreams unfold Cinderella Cinderella In the sweetest story ever told Once upon a time...,positive,0.9204
"in a faraway land, there was a tiny kingdom...",neutral,0.7367
"peaceful, prosperous, and rich in romance and tradition.",positive,0.9309
"Here, in a stately chateau, there lived a widowed gentleman...",neutral,0.7025
"and his little daughter, Cinderella.",neutral,0.8088
"Although he was a kind and devoted father, and gave his beloved child every luxury and comfort, still he felt she needed a mother's care.",positive,0.5257
"And so he married again, choosing for his second wife a woman of good family...",neutral,0.6222
with two daughters just Cinderella's age.,neutral,0.8708
By name...,neutral,0.7973
Anastasia and Drizella.,neutral,0.8399
"It was upon the untimely death of this good man, however, that the stepmother's true nature was revealed.",neutral,0.5902
"Cold, cruel, and bitterly jealous...",negative,0.9375
"of Cinderella's charm and beauty, she was grimly determined to forward the interests...",positive,0.5546
of her own two awkward daughters.,negative,0.6257
"Thus, as time went by, the chateau fell into disrepair, for the family fortunes were squandered...",negative,0.8461
"upon the vain and selfish stepsisters, while Cinderella was abused, humiliated, and finally forced to become a servant in her own house.",negative,0.8906
"And yet, through it all, Cinderella remained ever gentle and kind, for with each dawn she found new hope that someday...",positive,0.8171
her dreams of happiness would come true.,positive,0.848
"Well, serves you right...",neutral,0.4884
spoiling people's best dreams.,neutral,0.5864
"Yes, I know it's a lovely morning, but...",positive,0.8847
it was a lovely dream too.,positive,0.9731
What kind of a dream?,negative,0.6287
Uh-uh.,neutral,0.4945
Can't tell.,neutral,0.6157
"'Cause if you tell a wish, it won't come true.",negative,0.5898
And after all...,neutral,0.8085
"A dream is a wish Your heart makes When you're fast asleep In dreams, you will lose your heartaches Whatever you wish for You keep Have faith in your dreams And someday Your rainbow will come smiling through No matter how your heart is grieving If you keep on believing The dream that you wish Will come true Oh, that clock!",positive,0.8198
Old killjoy!,negative,0.7015
I hear you.,neutral,0.6757
"""Come on, get up!"" you say.",neutral,0.5961
"""Time to start another day."" Even he orders me around.",neutral,0.7501
"Well, there's one thing.",neutral,0.6651
They can't order me to stop dreaming.,neutral,0.5903
And perhaps someday...,neutral,0.715
The dreams that I wish Will come true Shoo!,positive,0.8552
Shoo!,neutral,0.582
Hurry!,neutral,0.5702
"Come on, Jaq.",neutral,0.7321
Shoo!,neutral,0.582
la.la...ha.ha...la.la...,neutral,0.7203
No matter how your heart is grieving If you keep on believing The dream that you wish Will come true Look what I found!,positive,0.7992
Wait a minute!,neutral,0.5603
Wait a minute!,neutral,0.5603
"One at a time, please!",positive,0.6821
"Now, Jaq, what's all the fuss about?",neutral,0.6235
New mouse in the house.,neutral,0.842
Brand-new.,neutral,0.6844
Never saw before.,neutral,0.6227
"Visitor, visitor!",positive,0.6681
"Oh, a visitor.",neutral,0.6955
"Well, she'll need a dress.",neutral,0.6981
"No, no, no.",negative,0.6471
She's a he.,neutral,0.6801
"He, he!",positive,0.5984
"Oh, that does make a difference.",positive,0.5408
"He'll need a jacket, shoes...",neutral,0.7573
Gotta get out!,neutral,0.6312
Gotta get out!,neutral,0.6312
