text,sentiment,score
"GOOD LUCK, CHIHIRO WE'LL MEET AGAIN Chihiro.",positive,0.9215
Chihiro!,neutral,0.5669
We're almost there.,positive,0.7542
This really is the middle of nowhere.,negative,0.7401
I'll have to shop in the next town.,neutral,0.8333
"It'll be great, once we get used to it.",positive,0.8768
"Look, there's the school.",neutral,0.6426
"That's your new school, Chihiro.",neutral,0.8323
It doesn't look so bad.,positive,0.4621
I liked my old school...,positive,0.7081
Mommy...,neutral,0.7254
My flowers died.,negative,0.7864
"No wonder, the way you clung to them.",neutral,0.6201
A little water when we get there and they'll perk right up.,positive,0.5491
"My very first bouquet is farewell flowers, how sad.",negative,0.6478
What about that rose you got for your birthday.,neutral,0.7492
One rose isn't a bouquet.,neutral,0.7159
You dropped your card.,negative,0.7008
I'm opening the window.,neutral,0.7621
"C'mon now, behave yourself.",negative,0.5639
It's a big day for all of us.,positive,0.9674
SPIRITED AWAY Hey...,neutral,0.7133
Did I take the wrong turn?,negative,0.541
I don't get it.,negative,0.8565
"That must be it, look.",neutral,0.7335
It must be that blue one over there.,neutral,0.8265
That's it.,neutral,0.5321
I must've missed the exit.,negative,0.6647
I bet this road'll get us there.,neutral,0.7176
This is always how you get us lost.,negative,0.8695
"Just a little farther, OK.",neutral,0.6176
What are those little houses?,neutral,0.8155
They're shrines.,negative,0.6528
People pray to them.,neutral,0.8416
"Daddy, are we lost?",negative,0.4937
"We're fine, we've got four-wheel drive.",positive,0.6863
"Sit down, Chihiro.",neutral,0.8101
You're going to kill us.,negative,0.9451
A tunnel.,neutral,0.6164
What's this strange building?,neutral,0.73
Must be the entrance.,neutral,0.7214
Honey...,neutral,0.7563
"Let's go back, honey.",neutral,0.7459
Chihiro.,neutral,0.6976
No...,neutral,0.5715
It's just plaster.,neutral,0.5603
This building's pretty new.,positive,0.8487
The wind's going in.,neutral,0.7943
What is it?,neutral,0.75
Let's have a look.,neutral,0.7589
There's a way through.,neutral,0.5248
"It's creepy, Daddy, let's go back.",negative,0.7313
No need to be scared.,neutral,0.681
"Just a little farther, OK?",neutral,0.7311
The moving van'll get there before us.,neutral,0.8416
"So, let 'em, they've got the keys.",neutral,0.7718
Let the movers move us.,neutral,0.7741
"I know, but...",neutral,0.5968
No!,neutral,0.4416
I won't go.,negative,0.6621
"Daddy, let's go back.",neutral,0.7031
Nothing to be scared of.,neutral,0.6763
I won't go.,negative,0.6621
"Chihiro, you wait in the car.",neutral,0.7674
Mommy.,neutral,0.6658
Wait.,neutral,0.5851
Watch your step.,neutral,0.6942
"You'll make me trip, Chihiro, clinging like that.",neutral,0.6784
Where are we?,neutral,0.7936
"Say, do you hear that?",neutral,0.7977
It's a train.,neutral,0.7214
Maybe we're near the station.,neutral,0.8622
Let's go and find out.,neutral,0.7366
What are those houses doing here?,neutral,0.8244
I knew it.,neutral,0.5054
This must be an abandoned theme park.,negative,0.7659
"They built so many in the early '90s, but they all went down with the economy.",negative,0.6608
This must be one of 'em.,neutral,0.7065
What!,neutral,0.4804
No.,neutral,0.4936
"Let's go back, Daddy.",neutral,0.6561
C'mon.,neutral,0.5362
"Mommy, that building's moaning.",negative,0.62
It's just the wind.,neutral,0.7402
What a lovely spot.,positive,0.9673
We should've brought our lunch with us.,neutral,0.7312
They were making a river.,neutral,0.7414
"Hey, you smell that?",neutral,0.7366
"See, it smells great.",positive,0.9654
You're right.,positive,0.4782
Maybe they're still open.,neutral,0.7661
"Hurry up, Chihiro.",neutral,0.7397
Wait for me.,neutral,0.6721
This way.,neutral,0.6722
"Can you believe it, they're all restaurants.",neutral,0.6097
Where is everybody?,neutral,0.5803
Over there.,neutral,0.6481
Hey.,neutral,0.5456
In here.,neutral,0.65
How amazing!,positive,0.9621
"Hello, anybody here?",neutral,0.7735
"Come in, Chihiro, it looks delicious.",positive,0.966
Hello!,positive,0.5738
"Oh, don't worry.",neutral,0.5707
We can pay them when they get back.,neutral,0.803
You're right.,positive,0.4782
That one looks great...,positive,0.9769
I wonder what this is called.,neutral,0.8274
Delicious!,positive,0.9589
"Chihiro, taste it.",neutral,0.8056
I don't want to.,negative,0.8171
Let's go!,positive,0.8384
They're gonna be mad at us.,negative,0.7977
"Don't worry, you've got Daddy here.",positive,0.6061
I've got credit cards and cash.,neutral,0.7522
"Take some, Chihiro, it's so tender.",positive,0.8477
Mustard.,neutral,0.5156
Thank you.,positive,0.853
Mommy!,neutral,0.5862
Daddy!,neutral,0.4827
OIL OIL OIL Weird...,neutral,0.5347
OIL BATHHOUSE There's a train.,neutral,0.7676
