text,sentiment,score
Where are you?,neutral,0.7606
Come out!,positive,0.6285
Come out!,positive,0.6285
Come on out.,neutral,0.6834
I'm coming to get you.,neutral,0.7279
"Where are you, you little rascal?",negative,0.9258
I'm coming to get you.,neutral,0.7279
Hm.,neutral,0.5941
"Where is my little birthday girl, hm?",neutral,0.584
I'm going to gobble her up when I find her.,negative,0.4896
Oh!,neutral,0.5628
I'm going to eat you.,negative,0.8045
I am.,neutral,0.5352
"Och, Fergus, no weapons on the table.",neutral,0.7545
Can I shoot an arrow?,neutral,0.8097
Can I?,neutral,0.8084
Can I?,neutral,0.8084
Can I?,neutral,0.8084
Can I?,neutral,0.8084
Please?,neutral,0.7238
Can I?,neutral,0.8084
Not with that.,negative,0.7466
Why not...,neutral,0.6679
...use your very own?,neutral,0.7319
"Happy birthday, my wee darling!",positive,0.9891
"Now, there's a good girl.",positive,0.8383
Draw all the way back now to your cheek.,neutral,0.8485
That's right.,neutral,0.569
Keep both eyes open.,neutral,0.6973
"And, loose!",neutral,0.5058
I missed.,negative,0.6966
"Go and fetch it, then.",neutral,0.7661
"A bow, Fergus?",neutral,0.838
She's a lady.,neutral,0.5744
Ooh!,neutral,0.554
You!,positive,0.4782
(HIGH-PITCHED CALL) A will-o'-the-wisp.,neutral,0.8604
They are real.,neutral,0.551
"Merida, come along, sweetheart.",positive,0.6936
We're leaving now.,neutral,0.7879
I saw a wisp.,neutral,0.7408
I saw a wisp.,neutral,0.7408
A wisp?,neutral,0.7834
"You know, some say that will-o'-the-wisps lead you to your fate.",neutral,0.6509
"Oh, aye.",neutral,0.596
Or an arrow.,neutral,0.7245
Och!,neutral,0.5574
"Come on, let's be off before we see a dancing Tatty Bogle.",neutral,0.7291
Or a giant having a jigger in the bluebells.,neutral,0.8161
Your father doesn't believe in magic.,neutral,0.5094
"Well, he should.",neutral,0.6452
Because it's true.,neutral,0.6399
Mor'du!,neutral,0.669
"Elinor, run!",neutral,0.696
Sire!,neutral,0.6932
"Come on, you!",positive,0.4956
Some say our destiny is tied to the land...,neutral,0.8079
...as much a part of us as we are of it.,neutral,0.7758
Others say fate is woven together like a cloth.,neutral,0.7394
So that one's destiny intertwines with many others.,neutral,0.8085
It's the one thing we search for or fight to change.,neutral,0.7443
Some never find it.,neutral,0.5123
But there are some who are led.,neutral,0.6884
The story of how my father lost his leg to the demon bear Mor'du became legend.,neutral,0.7071
I became a sister to three new brothers.,neutral,0.8055
The princes.,neutral,0.7441
"Hamish, Hubert and Harris.",neutral,0.7516
"Wee devils, more like.",negative,0.4998
They get away with murder.,negative,0.8675
I can never get away with anything.,negative,0.905
I'm the princess.,neutral,0.6309
Oh!,neutral,0.5628
I'm the example.,neutral,0.687
"I've got duties, responsibilities, expectations.",negative,0.4967
"My whole life is planned out, preparing for the day I become...",neutral,0.7572
"Well, my mother.",neutral,0.6353
She's in charge of every single day of my life.,neutral,0.5942
"""Aye, Robin, Jolly Robin, and thou shalt know of mine."" Project!",neutral,0.712
"""And thou shalt know of mine!"" Enunciate.",neutral,0.8359
"You must be understood from anywhere in the room, or it's all for naught.",neutral,0.6425
This is all for naught.,negative,0.8522
I heard that!,neutral,0.6533
From the top.,neutral,0.6415
A princess must be knowledgeable about her kingdom.,neutral,0.7856
She does not doodle.,neutral,0.4845
"That's a C, dear.",neutral,0.5923
A princess does not chortle.,neutral,0.604
Mm!,neutral,0.588
Does not stuff her gob!,negative,0.5836
Rises early.,neutral,0.6325
...is compassionate...,neutral,0.5557
"...patient, cautious, clean.",neutral,0.7582
"And above all, a princess strives for...",neutral,0.6649
"Well, perfection.",neutral,0.4599
"But every once in a while, there's a day when I don't have to be a princess.",neutral,0.626
"No lessons, no expectations.",neutral,0.5412
A day where anything can happen.,positive,0.667
A day I can change my fate.,neutral,0.6455
Yah!,neutral,0.47
"When cold wind is a' calling, and the sky is clear and bright Misty mountains sing and beckon, lead me out into the light I will ride, I will fly Chase the wind and touch the sky I will fly Chase the wind and touch the sky Whoo-hoo!",positive,0.6377
"Where dark woods hide secrets and mountains are fierce and bold Deep waters hold reflections of times lost long ago I will read every story, take hold of my own dream Oh!",neutral,0.6234
"Be as strong as the seas are stormy And proud as an eagle's scream I will ride, I will fly Chase the wind and touch the sky I will fly Chase the wind and touch the sky And touch the sky Whoo!",positive,0.7262
Chase the wind Chase the wind Touch the sky I'm starving.,neutral,0.6625
"You hungry too, Angus?",neutral,0.7012
Pfft!,neutral,0.5685
"Oats it is, then.",neutral,0.646
"Good day, Princess.",positive,0.9627
I cannot find the salt.,negative,0.7248
Where did you put it?,neutral,0.7809
"It was over there a minute ago, the last time I looked at it.",neutral,0.8678
"And then, out of nowhere, the biggest bear you've ever seen!",positive,0.4998
His hide littered with the weapons of fallen warriors.,negative,0.5866
His face scarred with one dead eye.,negative,0.8312
I drew my sword and...,neutral,0.871
Whoosh!,neutral,0.505
"One swipe, his sword shattered.",negative,0.5248
"Then ""chomp""!",neutral,0.5594
Dad's leg was clean off.,neutral,0.7135
Down the monster's throat it went.,negative,0.7941
"Oh, that's my favourite part.",positive,0.9581
"Mor'du has never been seen since, and is roaming the wilds waiting his chance of revenge.",neutral,0.5568
