text,sentiment,score
Fear.,negative,0.5785
Treachery.,negative,0.6491
Bloodlust.,negative,0.4837
"Thousands of years ago, these were the forces that ruled our world.",neutral,0.5379
A world where prey were scared of predators.,negative,0.6859
"And predators had an uncontrollable, biological urge...",negative,0.6924
"to maim, and maul, and...",neutral,0.5549
Blood!,neutral,0.5223
Blood!,neutral,0.5223
Blood!,neutral,0.5223
And death.,negative,0.5825
"Back then, the world was divided in two.",negative,0.5588
Vicious predator...,negative,0.9012
or meek prey.,neutral,0.8152
"But over time, we evolved.",neutral,0.7428
"And moved beyond our primitive, savage ways.",neutral,0.5598
"Now, predator and prey live in harmony.",neutral,0.757
And every young mammal has multitudinous opportunities.,positive,0.5651
Yeah.,neutral,0.5491
I don't have to cower in a herd anymore.,neutral,0.5628
"Instead, I can be an astronaut.",neutral,0.6551
I don't have to be a lonely hunter anymore.,neutral,0.549
"Today, I can hunt for tax exemptions.",neutral,0.6245
I'm gonna be an actuary!,neutral,0.6488
And I can make the world a better place.,positive,0.9016
I am going to be...,neutral,0.8115
a police officer!,neutral,0.6179
Bunny cop?,neutral,0.8176
That is the most stupidest thing I ever heard.,negative,0.9771
It may seem impossible to small minds...,neutral,0.5222
"I'm looking at you, Gideon Grey.",neutral,0.8235
"But, just 211 miles away...",neutral,0.6529
stands the great city of Zootopia!,positive,0.9736
Where our ancestors first joined together in peace...,neutral,0.6782
and declared that anyone can be anything!,neutral,0.5233
Thank you and good night!,positive,0.9717
"Judy, you ever wonder how your mom and me got to be so darn happy?",positive,0.6755
Nope.,neutral,0.4866
"Well, we gave up on our dreams and we settled.",negative,0.6532
"Right, Bon?",neutral,0.8287
"Oh, yes, that's right, Stu.",positive,0.505
We settled hard.,neutral,0.712
"See, that's the beauty of complacency, Jude.",positive,0.579
"If you don't try anything new, you'll never fail.",positive,0.5565
I like trying actually.,positive,0.8681
"What you father means, hon...",neutral,0.8283
"is it's gonna be difficult, impossible even, for you to become a police officer.",negative,0.7506
Right.,neutral,0.5665
There's never been a bunny cop.,neutral,0.5721
Bunnies don't do that.,neutral,0.566
Never.,neutral,0.4316
Never.,neutral,0.4316
"Then, I guess I'll have to be the first one.",neutral,0.6742
Because I am gonna make the world a better place.,positive,0.9564
"Or, heck, you know, you want to talk about making the world a better place...",neutral,0.5355
no better way to do it than becoming a carrot farmer.,neutral,0.4843
Yes!,positive,0.8097
"Your dad, me...",neutral,0.8216
your 275 brothers and sisters.,neutral,0.7963
We're changing the world!,positive,0.8804
One carrot at a time.,neutral,0.6432
Amen to that.,positive,0.5727
Carrot farming is a noble profession.,positive,0.8721
Just putting the seeds in the ground.,neutral,0.7166
At one with the soil.,neutral,0.7678
Just getting covered in dirt.,negative,0.8078
"You get it, honey.",neutral,0.648
It's great to have dreams.,positive,0.9336
Yeah.,neutral,0.5491
Just as long as you don't believe in them too much.,neutral,0.7172
Where'd the heck she go?,negative,0.8299
Give me your tickets right now...,neutral,0.7701
or I'm gonna kick your meek little sheep butt.,negative,0.7952
"Cut it out, Gideon!",negative,0.5275
What are you gonna do?,neutral,0.856
Cry?,neutral,0.7039
Hey!,neutral,0.5279
You heard her.,neutral,0.6906
Cut it out.,neutral,0.4975
"Nice costume, loser.",negative,0.7149
What crazy world are you living in where you think a bunny could be a cop?,negative,0.8204
Kindly return my friend's tickets.,neutral,0.7849
Come and get them.,neutral,0.6917
"But watch out, because I'm a fox, and like you said in your dumb little stage play...",negative,0.6972
us predators used to eat prey.,negative,0.7507
"And that killer instinct is still in our ""Dunnah."" I'm pretty much sure it's pronounced ""DNA."" Don't tell me what I know, Travis.",neutral,0.5247
"You don't scare me, Gideon.",neutral,0.6643
You scared now?,neutral,0.5988
Look at her nose twitch!,neutral,0.572
She is scared!,negative,0.7115
Cry little baby bunny.,negative,0.6723
"Cry, cry...",negative,0.5441
"You don't know when to quit, do you?",negative,0.5734
I want you to remember this moment...,positive,0.6176
the next time you think you will ever be anything more than just a stupid...,negative,0.9153
"carrot-farming, dumb bunny.",negative,0.8754
That looks bad.,negative,0.9386
"Are you okay, Judy?",neutral,0.8305
Yeah.,neutral,0.5491
I'm okay.,positive,0.8271
Here you go.,neutral,0.581
Wow!,positive,0.8599
You got our tickets!,positive,0.8067
"You're awesome, Judy!",positive,0.9885
"Yeah, that Gideon Grey doesn't know what he's talking about.",negative,0.752
"Well, he was right about one thing.",neutral,0.6423
I don't know when to quit.,negative,0.6585
"Listen up, cadets.",neutral,0.6717
Zootopia has 12 unique ecosystems within its city limits.,positive,0.6709
15 YEARS LATER Tundratown...,neutral,0.8039
Sahara Square...,neutral,0.8027
"Rainforest District, to name a few.",neutral,0.7956
"You're gonna have to master all of them before you hit the streets, or guess what?",neutral,0.6542
You'll be dead!,negative,0.8265
Scorching sandstorm!,neutral,0.6318
"You're dead, Bunny Bumpkin!",negative,0.8377
"1,000-foot fall!",neutral,0.6941
"You're dead, Carrot Face!",negative,0.8988
Frigid ice wall!,neutral,0.7295
"You're dead, Farm Girl!",negative,0.8378
Enormous criminal.,negative,0.9579
You're dead.,negative,0.7816
"Dead, dead, dead!",negative,0.8172
Filthy toilet!,negative,0.9221
"You're dead, Fluff Butt.",negative,0.8901
"Just quit and go home, fuzzy bunny!",neutral,0.4176
There's never been a bunny cop.,neutral,0.5721
Never.,neutral,0.4316
Never.,neutral,0.4316
"Just a stupid, carrot-farming dumb bunny.",negative,0.9697
"As mayor of Zootopia, I am proud to announce...",positive,0.9718
that my Mammal Inclusion Initiative has produced...,neutral,0.7983
its first police academy graduate.,neutral,0.8387
"Valedictorian of her class, ZPD's very first rabbit officer...",neutral,0.8761
