text,sentiment,score,length
Pirates!,very positive,0.4726,1
We're under attack!,uncertain,0.3556,3
Hold them off!,uncertain,0.3752,3
Get down on the floor.,uncertain,0.3892,5
Tear gas!,uncertain,0.2931,2
What are you waiting for?,uncertain,0.4457,5
Break it down!,very positive,0.5465,3
Where'd she go?,uncertain,0.3315,3
There she is!,uncertain,0.3968,3
She's getting away!,very positive,0.4899,3
"Well, get her!",uncertain,0.3749,3
"Mama, don't drop me!",uncertain,0.3934,4
There's the stone.,uncertain,0.3381,3
"Quick, go next door!",positive,0.5069,4
Get that crystal!,very positive,0.5826,3
There goes the crystal.,uncertain,0.2948,4
"CASTLE IN THE SKY Two meatballs, please.",uncertain,0.3264,7
Working late?,negative,0.5172,2
We're finally busy again.,uncertain,0.3699,4
Still working?,uncertain,0.383,2
Yeah.,uncertain,0.3646,1
What's that?,uncertain,0.3998,2
A person!,uncertain,0.3285,2
Pazu!,very positive,0.5191,1
What are you up to?,neutral,0.4947,5
Where's my dinner?,uncertain,0.3683,3
Boss!,very positive,0.4755,1
A girl fell from the sky.,very negative,0.6603,6
"Boss, she fell from the sky.",very negative,0.5052,6
Darn old clunker.,uncertain,0.4377,3
Boss!,very positive,0.4755,1
A girl...,uncertain,0.3705,2
Close valve number two!,uncertain,0.2629,4
"Pazu, toss me a wrench.",uncertain,0.3315,5
Sure.,neutral,0.4996,1
I'm busy here.,uncertain,0.375,3
You take it.,uncertain,0.3625,3
Don't make them wait.,very negative,0.4732,4
Yes!,uncertain,0.4402,1
Keep a steady hand.,uncertain,0.385,4
Yes!,uncertain,0.4402,1
Brake!,very negative,0.5789,1
Any luck?,very negative,0.5999,2
"No silver, no tin even.",very negative,0.7223,5
All that wasted work.,very negative,0.6887,4
Should we try the east vein?,uncertain,0.3101,6
That's riddled with old holes.,uncertain,0.4483,5
We'll have to start over.,uncertain,0.3337,5
That's enough for today.,neutral,0.5864,4
Push!,very negative,0.464,1
Shut down the boiler.,negative,0.5152,4
Call it a day.,uncertain,0.3673,4
I'll go under at this rate.,uncertain,0.3928,6
"Oil the clunker, Pazu.",uncertain,0.3605,4
Yes!,uncertain,0.4402,1
"Mama, we couldn't find her.",uncertain,0.3557,5
It's too dark.,negative,0.5984,3
I hope you really looked!,very positive,0.5361,5
All right.,uncertain,0.4407,2
We'll wait for daylight.,neutral,0.4781,4
Hi.,uncertain,0.4428,1
How are you feeling?,neutral,0.5287,4
"Hey, come on guys...",uncertain,0.3877,4
I'm Pazu.,very positive,0.5072,2
I live here by myself.,uncertain,0.3592,5
They eat after I play.,uncertain,0.2777,5
So you are human after all.,uncertain,0.3408,6
I was afraid you were an angel.,uncertain,0.4249,7
Thanks for helping me.,uncertain,0.4131,4
I'm Sheeta.,uncertain,0.323,2
"Sheeta, nice name.",positive,0.4815,3
You fell from the sky.,very negative,0.6733,5
A bit scary.,uncertain,0.4438,3
That's right.,neutral,0.5056,2
Why am I still alive?,uncertain,0.3598,5
I fell from the airship...,very negative,0.4868,5
Have you forgotten?,very negative,0.5576,3
Yes.,uncertain,0.3673,1
"Say, can I see that?",uncertain,0.3689,5
This?,very negative,0.4788,1
Yes.,uncertain,0.3673,1
It's been in my family forever.,very positive,0.4655,6
It's beautiful.,very positive,0.5313,2
Wait...,uncertain,0.4391,1
Watch this!,very positive,0.5911,2
Pazu!,very positive,0.5191,1
So it wasn't the stone after all.,uncertain,0.4072,7
Pazu!,very positive,0.5191,1
"Oh, no!",very negative,0.5702,2
Pazu!,very positive,0.5191,1
Are you okay?,neutral,0.5205,3
Yeah.,uncertain,0.3646,1
Are you?,uncertain,0.4216,2
I'm fine.,neutral,0.6304,2
"Sorry, did it hurt?",uncertain,0.3884,4
"No, my head's harder than my boss's fists.",uncertain,0.449,8
The pot's still boiling.,uncertain,0.3776,4
Hungry?,very positive,0.4707,1
Let's eat.,uncertain,0.436,2
Wash up over there.,uncertain,0.4075,4
There's a towel.,neutral,0.4778,3
Thank you.,positive,0.5047,2
Laputa...,uncertain,0.2775,1
Sheeta!,very positive,0.5312,1
Where are you?,uncertain,0.3888,3
My father took that picture.,uncertain,0.2598,5
"That's Laputa, an island in the sky.",very positive,0.5481,7
An island in the sky?,uncertain,0.2659,5
They say it's only a myth.,uncertain,0.3183,6
But my father saw it.,uncertain,0.327,5
He took it from an airship.,very negative,0.4736,6
"There's a Laputa in Gulliver's Travels, but Swift made it up.",uncertain,0.4482,11
Dad drew this.,uncertain,0.4499,3
He said the abandoned palace was full of treasure.,uncertain,0.3417,9
But nobody believed him.,uncertain,0.3259,4
"Until he died, they called him a liar.",uncertain,0.239,8
But my father never lied.,uncertain,0.3672,5
I'm building a real plane.,neutral,0.5852,5
I'm going to find Laputa!,uncertain,0.4119,5
A real automobile...,uncertain,0.3607,3
They're pirates!,uncertain,0.4242,2
They attacked the airship.,uncertain,0.3663,4
Are they after you?,uncertain,0.3454,4
Yes.,uncertain,0.3673,1
Quick!,positive,0.5572,1
Morning!,uncertain,0.3318,1
"Hey, wait!",uncertain,0.3151,2
We're in a rush.,uncertain,0.3478,4
Have you seen a girl?,uncertain,0.3184,5
"Sure, yesterday...",uncertain,0.4183,2
"The boss's kid, Madge...",uncertain,0.3784,4
Off you go!,very positive,0.6032,3
They're looking for you.,uncertain,0.443,4
"Louis, a girl's dress!",very positive,0.633,4
What!,uncertain,0.3293,1
She was disguised!,very negative,0.4982,3
Tell Mama!,very positive,0.5068,2
All right!,uncertain,0.3807,2
Haven't seen her.,uncertain,0.447,3
A cute little girl.,positive,0.4579,4
"Brown hair, braids...",neutral,0.5735,3
Boss!,very positive,0.4755,1
Boss!,very positive,0.4755,1
About that age.,neutral,0.4536,3
Hey!,uncertain,0.3457,1
That's her!,very positive,0.545,2
Pirates!,very positive,0.4726,1
They're chasing her.,uncertain,0.3888,3
Pirates!,very positive,0.4726,1
Lemme see!,uncertain,0.3871,2
Not one step closer.,negative,0.4596,4
Hand her over.,uncertain,0.288,3
"Pirates, eh?",uncertain,0.4335,2
Dola's clan.,uncertain,0.3274,2
Go home.,uncertain,0.3743,2
Just poor folk here.,uncertain,0.4157,4
Ma'am?,uncertain,0.3314,1
Scoot out the back.,very negative,0.4878,4
I want to fight.,uncertain,0.3806,4
They've got weapons!,uncertain,0.4212,3
But...,uncertain,0.3872,1
What a pretty girl.,positive,0.4501,4
Better protect her.,uncertain,0.3185,3
You refuse to step aside?,uncertain,0.3201,5
Use your fists.,uncertain,0.3341,3
Could be interesting.,neutral,0.5278,3
"Get him, brother.",uncertain,0.3349,3
Show your stuff.,uncertain,0.4439,3
Wow.,very positive,0.4733,1
Who's going to mend that shirt?,uncertain,0.3784,6
You can beat him!,very positive,0.5794,4
"That's it, hit him!",very positive,0.513,4
Off you go!,very positive,0.6032,3
Think you can fool me?,uncertain,0.241,5
After them!,very positive,0.5163,2
Climb on!,very positive,0.4524,2
There you go.,neutral,0.5173,3
Playing hooky for a date?,uncertain,0.414,5
Bad guys are after us.,uncertain,0.3742,5
The Dola clan.,uncertain,0.2825,3
Pirates?,uncertain,0.3082,1
Take us to the next town.,uncertain,0.3218,6
To the police!,very positive,0.4783,3
You're on.,uncertain,0.3842,2
Stoke the fire.,uncertain,0.2281,3
Okay.,neutral,0.7094,1
Mama!,very positive,0.552,1
You idiots!,very positive,0.5456,2
Hurry up and get on!,very positive,0.4564,5
What?,uncertain,0.396,1
But the girl's...,neutral,0.4797,3
She slipped out the back door.,uncertain,0.4096,6
Get moving!,uncertain,0.4343,2
Brother!,very positive,0.6319,1
Wait!,uncertain,0.368,1
"They're catching up, more steam!",uncertain,0.4217,5
Can't you go any faster?,uncertain,0.4037,5
She's an old-timer.,uncertain,0.3509,3
Move over!,uncertain,0.2954,2
Whoa!,very positive,0.5642,1
"Mama, I can't hang on!",very negative,0.5103,5
"More steam, they're gaining on us!",positive,0.4905,6
Here we go!,very positive,0.56,3
"Sheeta, over here.",uncertain,0.3002,3
Stoke the fire.,uncertain,0.2281,3
Okay!,positive,0.4737,1
Don't give up!,very negative,0.5877,3
Push!,very negative,0.464,1
"Push, I tell you!",very positive,0.5955,4
Not so fast!,negative,0.6678,3
Don't let them escape!,very negative,0.4785,4
Dump this over the side!,uncertain,0.3429,5
That'll teach them!,very positive,0.513,3
I'll do it.,uncertain,0.3945,3
"No, let me.",uncertain,0.3968,3
Up we go!,very positive,0.5297,3
Up we go!,very positive,0.5297,3
Wait!,uncertain,0.368,1
It's them.,neutral,0.537,2
What'll we do?,neutral,0.5263,3
I refuse to give up.,uncertain,0.3812,5
Move!,uncertain,0.3968,1
This is a surprise.,uncertain,0.4211,4
If it isn't the army!,uncertain,0.3421,5
These kids need help!,uncertain,0.3598,4
They've got pirates after them.,very negative,0.4922,5
Sheeta?,uncertain,0.3165,1
Goodbye.,uncertain,0.3694,1
Wait!,uncertain,0.368,1
Sheeta!,very positive,0.5312,1
Halt or I'll shoot.,neutral,0.7394,4
An armored train.,uncertain,0.3253,3
Who cares!,very positive,0.6378,2
Ram it!,uncertain,0.3956,2
"What is it, Sheeta!",very positive,0.595,4
Stay away!,very positive,0.6384,2
They're gonna fall!,uncertain,0.408,3
Quiet.,uncertain,0.3841,1
Watch closely.,uncertain,0.4084,2
We're floating!,very positive,0.5906,2
Look!,uncertain,0.4131,1
It's that crystal!,very positive,0.561,3
It was the stone after all!,very positive,0.6563,6
Amazing!,very positive,0.5933,1
We'll float all the way down.,uncertain,0.2228,6
Amazing!,very positive,0.5933,1
I want it!,very positive,0.4865,3
Fire!,very positive,0.6156,1
I have to get that amazing stone!,very positive,0.7085,7
It's fading...,uncertain,0.3629,2
"Hey, wait!",uncertain,0.3151,2
It's just like when you landed.,uncertain,0.3129,6
The opening looks so tiny.,uncertain,0.4247,5
I hope the boss and the engineer aren't in any trouble.,uncertain,0.4068,11
"Aw, don't worry.",uncertain,0.3505,3
Miners aren't exactly wimps.,uncertain,0.3982,4
"Come on, let's find the way out.",neutral,0.514,7
These mines are ancient.,uncertain,0.3794,4
Tunnels everywhere.,neutral,0.4781,2
There.,neutral,0.639,1
I'm so happy.,uncertain,0.4388,3
I was starving.,very positive,0.4514,3
I've still got an apple and some candy.,uncertain,0.3737,8
It's like you have a magical bag that holds everything.,very positive,0.557,10
Gondoa?,uncertain,0.2979,1
That's so far north.,uncertain,0.3509,4
Yes.,uncertain,0.3673,1
"Both my parents died, but they left me the house and the fields, so I was getting by on my own.",uncertain,0.3525,21
Those guys with dark glasses kidnapped you?,very negative,0.6,7
Yes.,uncertain,0.3673,1
That guy was one of them?,uncertain,0.266,6
"Who can they be, calling in the army?",uncertain,0.3019,8
"Dola and the other guys, they all want the stone.",uncertain,0.3185,10
But I had no idea it had mysterious powers.,uncertain,0.3089,9
It was always in our family.,uncertain,0.4226,6
Mother left it to me when she died.,very positive,0.5836,8
She warned me never to show it or give it to anyone.,very negative,0.5736,12
"We're both orphans, aren't we?",neutral,0.4848,5
I'm sorry I dragged you into all of this.,uncertain,0.2629,9
When you fell from the sky my heart was racing.,uncertain,0.3205,10
I knew something wonderful had begun.,uncertain,0.3698,6
Little demons...,uncertain,0.3742,2
Little demons.,uncertain,0.4092,2
Uncle Pom!,very positive,0.6002,2
He's really great.,very positive,0.6062,3
Uncle Pom.,uncertain,0.3907,2
We've lost our way.,very negative,0.5809,4
Now that little demon sure looks like Pazu...,uncertain,0.3345,8
With a little girl demon beside him.,uncertain,0.2701,7
Pirates are after us.,uncertain,0.4051,4
And the army.,uncertain,0.3859,3
How very extraordinary.,very positive,0.7542,3
Drink up.,uncertain,0.3854,2
Thank you.,positive,0.5047,2
Have you always lived underground?,uncertain,0.3758,5
"Why, no, no.",neutral,0.4753,3
The rocks have been stirring...,uncertain,0.3759,5
That's when I like to be down here.,uncertain,0.3632,8
The rocks were stirring?,uncertain,0.3666,4
Rocks speak very softly.,very positive,0.4833,4
Wonderful...,uncertain,0.4208,1
"Pazu, look at that!",uncertain,0.4318,4
They were ordinary rocks until...,uncertain,0.3765,5
How pretty...,very positive,0.4993,2
"Here, let me show you.",uncertain,0.4286,5
It's gone.,uncertain,0.4072,2
These rocks contain volucite.,uncertain,0.3082,4
Volucite?,uncertain,0.4497,1
"As soon as it's exposed to the air, it becomes ordinary stone.",uncertain,0.3637,12
It's glowing...,uncertain,0.3458,2
"Oh, my gracious!",very negative,0.6247,3
"That's a volucite crystal, my dear.",very positive,0.535,6
I've never seen one before.,very negative,0.7278,5
That's why the rocks were stirring.,uncertain,0.4216,6
This stone has mysterious powers.,uncertain,0.37,5
I thought only Laputans knew how to make volucite crystals.,uncertain,0.3328,10
Laputans?,uncertain,0.2433,1
They used Volucite to send a magnificent island aloft...,uncertain,0.336,9
"Laputa did exist, Sheeta!",uncertain,0.4444,4
It really did!,positive,0.4772,3
Does the island still exist?,uncertain,0.428,5
Uncle Pom?,uncertain,0.4157,2
"Dear, would you mind covering the stone?",uncertain,0.3731,7
Its power overwhelms me.,uncertain,0.3772,4
Yes.,uncertain,0.3673,1
What's wrong?,uncertain,0.3969,2
My grandfather told me... the rocks stir when Laputa floats overhead.,very negative,0.4717,11
"If you went up to the sky then, you'd find Laputa!",uncertain,0.3038,11
"Sheeta, my father was telling the truth!",very positive,0.6517,7
Young lady...,very positive,0.4641,2
You see...,uncertain,0.3777,2
Yes?,uncertain,0.4134,1
Your stone is most powerful...,very positive,0.6776,5
I know that.,neutral,0.5749,3
I've been speaking to rocks all my life.,uncertain,0.3847,8
"A stone so powerful brings happiness, but it also often brings misery.",neutral,0.6394,12
I see.,neutral,0.4752,2
"What's more, your stone is the work of men.",uncertain,0.3169,9
How on earth did you...,very positive,0.5331,5
The stone's not dangerous!,uncertain,0.3469,4
It already saved Sheeta twice!,very positive,0.5793,5
Amazing!,very positive,0.5933,1
Laputa really does exist!,uncertain,0.3885,4
It's gone.,uncertain,0.4072,2
Let's go back to the ship.,uncertain,0.3482,6
"When it's this quiet, it's best to stay put.",uncertain,0.3272,9
I'm hungry...,uncertain,0.3276,2
It's all clear.,uncertain,0.3936,3
Let's go.,uncertain,0.4351,2
"Thank you, Uncle.",uncertain,0.3986,3
Look after yourselves.,uncertain,0.3355,3
Look at those clouds!,very positive,0.6148,4
Beyond those clouds is an island we've only dreamed of.,very positive,0.5405,10
Here I come!,very positive,0.6111,3
I know I'm going to find Laputa!,uncertain,0.3777,7
Pazu...,uncertain,0.2911,1
I haven't told you everything.,very negative,0.5411,5
"My family had a mysterious, ancient name... that came with this stone.",uncertain,0.3134,12
"My name is Lucita, Lucita Toelle Ur....",very positive,0.6136,7
Laputa.,uncertain,0.248,1
Laputa?,uncertain,0.2753,1
So you mean...,neutral,0.4723,3
It's the army!,very positive,0.5415,3
Run!,uncertain,0.3124,1
Underground!,very positive,0.4746,1
Don't move!,very negative,0.5866,2
How dare you!,very positive,0.6633,3
Pazu!,very positive,0.5191,1
Let me go!,very positive,0.6099,3
Pazu!,very positive,0.5191,1
Pazu!,very positive,0.5191,1
We've apprehended them.,uncertain,0.3102,3
Good work.,positive,0.5122,2
"Open up, open up!",very positive,0.5769,4
Sheeta...,uncertain,0.4105,1
"Company, march!",uncertain,0.3772,2
Use force!,very positive,0.4614,2
"Squeeze the brat, she'll talk.",uncertain,0.4176,5
Spoken like a man in uniform.,uncertain,0.3506,6
"In your haste, you risk everything.",uncertain,0.4415,6
"If we'd mobilized sooner, we'd have bagged Dola too.",uncertain,0.3961,9
She managed to decipher your third-rate code.,uncertain,0.3278,7
What!,uncertain,0.3293,1
My organization will handle this.,uncertain,0.375,5
Concentrate on mobilizing the troops when the time is ripe.,neutral,0.6157,10
Muska!,very positive,0.5805,1
"Remember, I command the search for Laputa!",very positive,0.5768,7
Of course.,uncertain,0.37,2
But I have my orders from the government.,uncertain,0.3039,8
That pencil-pushing upstart!,very positive,0.5825,3
Have a nice rest?,neutral,0.4619,4
Where's Pazu?,uncertain,0.3437,2
Let me see him!,very positive,0.5603,4
No interest in pretty clothes?,very negative,0.4643,5
Don't fret about Pazu.,uncertain,0.3383,4
His stubborn head is harder than mine.,negative,0.5723,7
"Come, I have something to show you.",uncertain,0.3534,7
Enter.,uncertain,0.3204,1
What is it?,neutral,0.4969,3
A mechanical soldier with vast destructive power.,very negative,0.7249,7
"Until he fell from the sky, no one believed Laputa was real.",uncertain,0.3386,12
He's not of this earth.,uncertain,0.4277,5
Our science can't even identify... what material he's made of.,uncertain,0.3724,10
Look...,uncertain,0.4163,1
Don't be afraid.,uncertain,0.3772,3
He's long dead.,very negative,0.4937,3
Look at that.,neutral,0.5291,3
