text,sentiment,score
Where's the master?,neutral,0.7318
In his room.,neutral,0.7209
Your mother's hospital's on fire!,negative,0.8662
Mother's still there.,neutral,0.7649
Wait for me.,neutral,0.6721
"You need to stay here, Mahito.",neutral,0.8239
You must evacuate!,negative,0.4603
Everyone!,positive,0.5258
Leave your belongings!,neutral,0.5125
Mother.,neutral,0.6247
Please stand back!,neutral,0.5234
Go back home!,neutral,0.5626
"Three years into the war, Mother died.",negative,0.757
"And a year later, my father and I left Tokyo.",neutral,0.7897
That's her.,neutral,0.6603
She looked exactly like Mother.,neutral,0.7026
I'm sorry I'm late.,negative,0.6774
We just got off the train.,neutral,0.8174
You must be Mahito.,neutral,0.7856
I'm Natsuko.,neutral,0.7901
"I was hoping to be here earlier, but we had a flat tire on the way.",negative,0.6498
You've really grown up.,neutral,0.4995
"I met you once, you know.",neutral,0.8114
It was way back when you were just a little baby.,neutral,0.7174
Are you going to the factory first?,neutral,0.8883
"Yes, but I'll be back in time for dinner.",neutral,0.5946
"Ah, what perfect timing.",positive,0.864
"Shall we go, then?",neutral,0.855
Careful.,neutral,0.7294
That's heavy.,neutral,0.5296
Go ahead.,neutral,0.6501
"Okay, the estate.",neutral,0.6958
"Yes, ma'am.",neutral,0.5793
"So, Mahito, I'm going to be your new mother from now on.",neutral,0.8687
Sound good?,neutral,0.5073
Give me your hand.,neutral,0.6384
That's it.,neutral,0.5321
Right here.,neutral,0.5976
Feel it moving?,neutral,0.8482
A baby.,neutral,0.6692
You're gonna have a little brother or sister.,neutral,0.8604
Isn't that just wonderful?,positive,0.9713
Oh.,neutral,0.5443
"Uh, we should stop.",negative,0.6035
We're here.,neutral,0.5305
This is your new home.,positive,0.508
"Oh, would you mind taking the trunk inside for me?",neutral,0.8868
Of course.,neutral,0.5552
"It's this way, Mahito.",neutral,0.7952
"We don't always use the main entrance, but it's your first time here, so might as well.",neutral,0.7143
Look.,neutral,0.6185
Do you see that structure?,neutral,0.8329
The one in the distance?,neutral,0.8245
That is your father's brand-new factory.,neutral,0.6833
We can go and visit it sometime.,positive,0.596
"Oh, dear.",neutral,0.4791
I don't know where everyone is.,negative,0.6974
"Oh, bring your shoes with you.",neutral,0.7966
I've never seen that before.,neutral,0.5522
It typically just keeps to the gardens outside.,neutral,0.8682
That's our local gray heron.,neutral,0.7759
He must be giving you a special welcome.,positive,0.9429
Come on.,neutral,0.5758
"Well, well.",neutral,0.6682
Did you go through Shoichi's trunk again?,neutral,0.8862
"Certainly not, milady.",negative,0.4827
The pedicab left it.,neutral,0.654
Yes.,positive,0.461
He just left it out here.,neutral,0.6109
So true.,positive,0.6716
So we had to check whose it was.,neutral,0.7723
So true.,positive,0.6716
Everything smells so sweet.,positive,0.9751
"So, so sweet.",positive,0.9641
"Let me introduce you to Shoichi's son, Mahito.",neutral,0.8728
What?,neutral,0.5653
Canned beef!,neutral,0.6171
"Oh, it's so tasty with rice.",positive,0.9704
Canned salmon?,neutral,0.8011
Give me the bones.,neutral,0.6106
I didn't know you could still get corned beef.,negative,0.5187
And there's one more thing.,neutral,0.7253
Sugar!,neutral,0.6608
"Oh, we can make rice cakes!",positive,0.6012
And sweet bean paste.,neutral,0.7017
Sweet rice cakes!,positive,0.8213
Pure white sugar.,neutral,0.7718
I want a taste!,positive,0.6081
Let's leave them to it.,neutral,0.7431
So some places still have it.,neutral,0.7716
It's like staring at his mother.,neutral,0.499
Oh.,neutral,0.5443
Such a lovely boy.,positive,0.9762
I just hope he stays safe.,positive,0.6927
How'd you get your hands on smokes?,neutral,0.791
"Can I have one, please?",neutral,0.7238
This will be your new room.,neutral,0.756
You must be exhausted.,negative,0.8043
I'll bring you some tea.,neutral,0.7548
Mom!,neutral,0.5075
Mahito.,neutral,0.627
Goodbye.,neutral,0.5621
Mom!,neutral,0.5075
I'm coming!,positive,0.6213
Mahito.,neutral,0.627
Mahito.,neutral,0.627
"I'm coming, Mom.",neutral,0.6702
Mahito!,neutral,0.5433
Mahito!,neutral,0.5433
Mahito!,neutral,0.5433
Sonny!,neutral,0.5755
Time to head back!,neutral,0.6155
The lady of the house is mighty worried about you.,neutral,0.6305
Young master!,positive,0.508
I thought that had been sealed off.,neutral,0.6587
I sure hope he doesn't get taken.,negative,0.4925
Young master.,neutral,0.649
Thank goodness you're safe.,positive,0.9228
Where are we?,neutral,0.7936
What is this place?,neutral,0.5225
There's a staircase in there.,neutral,0.8077
"Uh, well...",neutral,0.6755
Let's hurry on back.,neutral,0.6903
The feathers are gone.,neutral,0.5706
I was hoping to wait until you got a bit more settled in before telling you about this.,neutral,0.816
"As the story goes, that tower was built a long time ago by our mother's uncle.",neutral,0.8744
"He was educated and very smart, but they say he read too many books and lost his mind.",negative,0.5518
"One day, a long time before I was born, he suddenly disappeared, leaving only an open book that he hadn't finished reading.",neutral,0.5732
"They looked everywhere for him, but not a trace of him could be found.",negative,0.5458
"Later, during a flood, a passage to the main house collapsed, and beneath the tower, they discovered a maze of tunnels.",neutral,0.518
They were so dangerous that my grandfather sealed the entrance so no one would wander in.,negative,0.8684
"For your safety, you shouldn't go near there, either.",negative,0.6868
Right.,neutral,0.5665
And thank you very much for the tea.,positive,0.9601
"Good night, ma'am.",neutral,0.5265
Good night.,positive,0.5576
"Mornings can get cold, so bundle up.",neutral,0.6081
Right.,neutral,0.5665
"Mahito, save me.",neutral,0.645
Welcome home.,positive,0.9274
"Thank you, my dear.",positive,0.9375
Those navy boys are all flustered now.,negative,0.757
"And to think, they boasted Saipan would hold for a year.",neutral,0.6343
I feel for all those who are no longer with us.,negative,0.6183
"Well, it's certainly kept the factory busy.",neutral,0.5326
"Mahito, I'll drive you to school in the Datsun.",neutral,0.8967
The new transfer student arriving in a car.,neutral,0.9263
Everyone's jaw will drop.,negative,0.5242
No need to worry.,neutral,0.7102
We've told the teachers all about your situation.,neutral,0.8255
You go have a good day.,positive,0.955
"Mahito, I want you to tell me the truth.",neutral,0.8186
Who did this to my boy?,negative,0.8112
I fell.,negative,0.5208
That's all.,neutral,0.5908
"Don't worry, okay?",positive,0.5623
"Daddy is going to make sure you get vengeance, but you have to tell me who did this.",neutral,0.526
Let's let him rest.,neutral,0.7492
I won't let them get away with doing this to my own flesh and blood.,negative,0.922
I'm taking this up with the school!,neutral,0.532
"Mahito, save me.",neutral,0.645
Mahito!,neutral,0.5433
Mahito!,neutral,0.5433
Leave.,neutral,0.6573
Shoo!,neutral,0.582
Go!,positive,0.6266
"Oh, my.",neutral,0.5181
Mahito.,neutral,0.627
Help me shut it.,neutral,0.4971
Mother.,neutral,0.6247
Mother!,neutral,0.5851
"Milady, you should go get some rest.",neutral,0.7568
Don't worry.,positive,0.5337
We can take turns keeping an eye on him.,neutral,0.8902
What exactly are you?,neutral,0.8159
