text,sentiment,score
This is the story of how I died.,negative,0.6362
"But don't worry, this is a fun story, and the truth is, it isn't even mine.",positive,0.6109
This is the story of a girl named Rapunzel.,neutral,0.9089
And it starts with the sun.,neutral,0.5829
"Once upon a time, a single drop of sunlight fell from the heavens.",neutral,0.7373
And from this small drop of sun grew a magic golden flower.,positive,0.7562
It had the ability to heal the sick and injured.,neutral,0.5763
"Oh, you see that old woman over there?",neutral,0.7741
You might want to remember her.,neutral,0.7514
She's kind of important.,positive,0.807
"Centuries passed and a hop, skip and a boat ride away there grew a kingdom.",neutral,0.7361
The kingdom was ruled by a beloved king and queen.,positive,0.6566
And the queen was about to have a baby.,neutral,0.8378
But she got sick.,negative,0.7882
Really sick.,negative,0.8361
"She was running out of time, and that's when people start to look for a miracle.",neutral,0.5245
"Or in this case, a magic golden flower.",neutral,0.6862
Ah!,positive,0.4984
I told you she'd be important.,neutral,0.5293
"Instead of sharing the sun's gift, this woman, Mother Gothel, hoarded its healing power and used it to keep herself young for hundreds of years.",neutral,0.7102
And all she had to do was sing a special song.,neutral,0.6848
"Flower, gleam and glow Let your power shine Make the clock reverse Bring back what once was mine What once was mine You get the gist.",positive,0.6104
"She sings to it, she turns young.",neutral,0.6221
"Creepy, right?",negative,0.6659
We found it!,positive,0.8702
The magic of the golden flower healed the queen.,positive,0.548
"A healthy baby girl, a princess was born, with beautiful golden hair.",positive,0.9611
"I'll give you a hint, that's Rapunzel.",neutral,0.8392
"To celebrate her birth, the king and queen launched a flying lantern into the sky.",positive,0.7827
"And for that one moment, everything was perfect.",positive,0.9564
And then that moment ended.,neutral,0.5676
"Flower, gleam and glow Let your power shine Make the clock...",positive,0.7797
"Gothel broke into the castle, stole the child, and just like that, gone!",negative,0.5628
"The kingdom searched and searched, but they could not find the princess.",negative,0.5009
"For deep within the forest, in a hidden tower, Gothel raised the child as her own.",neutral,0.8772
"Save what has been lost Bring back what once was mine What once was mine Gothel had found her new magic flower, but this time, she was determined to keep it hidden.",neutral,0.6295
Why can't I go outside?,negative,0.8058
"The outside world is a dangerous place, filled with horrible, selfish people.",negative,0.977
"You must stay here, where you're safe.",neutral,0.5636
"Do you understand, flower?",neutral,0.7612
"Yes, Mommy.",positive,0.5375
But the walls of that tower could not hide everything.,neutral,0.6357
"Each year, on her birthday, the king and queen released thousands of lanterns into the sky in hope that one day their lost princess would return.",positive,0.4969
Ha!,neutral,0.5186
Hmm.,neutral,0.6435
"Well, I guess Pascal's not hiding out here.",neutral,0.739
Gotcha!,positive,0.744
That's 22 for me.,neutral,0.7391
How about 23 out of 45?,neutral,0.8651
Okay.,neutral,0.5844
"Well, what do you want to do?",neutral,0.8649
Yeah.,neutral,0.5491
I don't think so.,neutral,0.5158
"I like it in here, and so do you.",positive,0.9041
"Oh, come on, Pascal.",neutral,0.5073
It's not so bad in there.,positive,0.6696
"Seven a.m., the usual morning lineup Start on the chores And sweep till the floor's all clean Polish and wax, do laundry and mop and shine up Sweep again and by then it's, like, 7:1 5 And so I'll read a book Or maybe two or three I'll add a few new paintings to my gallery I'll play guitar and knit and cook and basically Just wonder when will my life begin?",neutral,0.5123
"Then after lunch it's puzzles and darts and baking Papier-mâché, a bit of ballet and chess Pottery and ventriloquy, candle-making Then I'll stretch, maybe sketch Take a climb, sew a dress And I'll reread the books If I have time to spare I'll paint the walls some more I'm sure there's room somewhere And then I'll brush and brush and brush and brush my hair Stuck in the same place I've always been And I'll keep wondering and wondering and wondering and wondering When will my life begin?",neutral,0.7281
Tomorrow night the lights will appear Just like they do on my birthday each year What is it like out there where they glow Now that I'm older Mother might just let me go Wow!,positive,0.9505
I could get used to a view like this.,positive,0.6001
"Rider, come on !",neutral,0.7036
Hold on.,neutral,0.6407
Yep.,neutral,0.5607
I'm used to it.,neutral,0.6267
"Guys, I want a castle.",positive,0.7894
"We do this job, you can buy your own castle.",neutral,0.6697
Hay fever?,neutral,0.6826
Yeah.,neutral,0.5491
Huh?,neutral,0.6584
Wait!,neutral,0.6225
"Hey, wait!",neutral,0.6528
Can't you picture me in a castle of my own?,neutral,0.6362
Because I certainly can.,positive,0.7527
"All the things we've seen, and it's only 8:00 in the morning !",neutral,0.526
"Gentlemen, this is a very big day!",positive,0.9738
This is it!,positive,0.7213
"This is a very big day, Pascal.",positive,0.9386
I'm finally going to do it.,positive,0.8134
I'm going to ask her.,neutral,0.8122
Rapunzel !,neutral,0.7662
Let down your hair!,negative,0.4877
It's time!,positive,0.654
"I know, I know.",neutral,0.468
Come on.,neutral,0.5758
Don't let her see you.,neutral,0.609
Rapunzel !,neutral,0.7662
I'm not getting any younger down here!,negative,0.5092
"Coming, Mother!",neutral,0.6136
Hi.,neutral,0.5326
"Welcome home, Mother.",positive,0.929
"Rapunzel, how you manage to do that every single day without fail.",neutral,0.7423
"It looks absolutely exhausting, darling.",negative,0.9349
"Oh,  it's nothing.",neutral,0.6002
Then I don't know why it takes so long.,negative,0.8833
"Oh, darling, I'm just teasing.",neutral,0.6175
All right.,neutral,0.4897
"So, Mother, as you know tomorrow is a very big day...",positive,0.8827
"Rapunzel, look in that mirror.",neutral,0.771
You know what I see?,neutral,0.6745
"I see a strong, confident, beautiful young lady.",positive,0.9702
"Oh, look, you're here, too.",neutral,0.7017
I'm just teasing.,neutral,0.6836
Stop taking everything so seriously.,negative,0.8039
Okay.,neutral,0.5844
"So, Mother, as I was saying, tomorrow is...",neutral,0.8642
"Rapunzel, Mother's feeling a little run-down.",neutral,0.7028
"Would you sing for me, dear?",neutral,0.8077
Then we'll talk.,neutral,0.7625
Oh !,neutral,0.5498
"Of course, Mother.",neutral,0.7204
"Flower, gleam and glow Let your power shine Make the clock reverse Bring back what once was mine Heal what has been hurt Change the Fates' design Save what has been lost Bring back what once was mine Rapunzel !",positive,0.5214
"So, Mother, earlier I was saying tomorrow is a big day, and you didn't respond.",neutral,0.5538
"So, I'm just going to tell you, it's my birthday!",positive,0.863
Ta-da!,neutral,0.5546
"No, no, no.",negative,0.6471
Can't be.,negative,0.6057
I distinctly remember.,neutral,0.7124
Your birthday was last year.,neutral,0.8367
That's the funny thing about birthdays.,positive,0.8268
They're kind of an annual thing.,neutral,0.8327
"Mother, I'm turning 1 8, and I wanted to ask...",neutral,0.8581
What I really want for this birthday...,positive,0.8841
Actually what I wanted for quite a few birthdays now...,positive,0.7235
"Rapunzel, please, stop with the mumbling.",negative,0.7311
You know how I feel about the mumbling.,neutral,0.5602
Blah-blah-blah-blah.,negative,0.5001
It's very annoying !,negative,0.9577
I'm just teasing.,neutral,0.6836
You're adorable.,positive,0.9759
"I love you so much, darling.",positive,0.9871
I want to see the floating lights.,positive,0.7527
What?,neutral,0.5653
I was hoping you would take me to see the floating lights.,neutral,0.6425
Oh !,neutral,0.5498
You mean the stars.,neutral,0.7464
That's the thing.,neutral,0.5897
"I've charted stars, and they're always constant.",neutral,0.5574
"But these, they appear every year on my birthday, Mother.",neutral,0.7342
Only on my birthday.,neutral,0.6105
And I can't help but feel like they're meant for me.,positive,0.6218
"I need to see them, Mother.",neutral,0.5316
"And not just from my window, in person.",neutral,0.7601
I have to know what they are.,neutral,0.7364
You want to go outside?,neutral,0.8861
"Why, Rapunzel...",neutral,0.7735
"Look at you, as fragile as a flower Still a little sapling, just a sprout You know why we stay up in this tower I know, but...",neutral,0.6282
That's right.,neutral,0.569
"To keep you safe and sound, dear Guess I always knew this day was coming Knew that soon you'd want to leave the nest Soon but not yet Shh!",neutral,0.6285
"Trust me, pet Mother knows best Mother knows best Listen to your mother It's a scary world out there Mother knows best One way or another Something will go wrong l swear Ruffians, thugs, poison ivy, quicksand Cannibals and snakes, the plague No!",negative,0.6286
Yes.,positive,0.461
Also large bugs Men with pointy teeth And stop!,negative,0.7574
