text,sentiment,score
"ONLY YESTERDAY With ten days off, I figured you'd go abroad.",neutral,0.7319
"But you're off to Yamagata, right?",neutral,0.8737
Yes.,positive,0.461
Broke up with your boyfriend?,neutral,0.5675
I just prefer the countryside.,neutral,0.5748
See ya!,positive,0.6017
Bye!,neutral,0.6142
Let's go to your place!,positive,0.6684
No way.,negative,0.6397
Why?,neutral,0.612
Because...,neutral,0.7594
Later!,neutral,0.5128
Did you get good grades?,neutral,0.7841
"No, but I don't care.",neutral,0.6133
How come?,neutral,0.6759
"As soon as I get home, we're traveling to Grandma's.",neutral,0.7675
So I won't get yelled at for ages.,neutral,0.5264
Lucky you!,positive,0.9378
Are you going away too?,neutral,0.8366
"Yeah, to Nagano.",neutral,0.7715
"How about you, Taeko?",neutral,0.8742
I'm not sure.,neutral,0.6886
My dad bought a summer home.,neutral,0.7355
Wow...,positive,0.6449
that's great.,positive,0.9812
Such a bad grade in math again.,negative,0.9547
"But I got a ""B"" in science.",neutral,0.6747
Are we going away for the vacation?,neutral,0.9125
Not really.,neutral,0.5599
Take me someplace.,neutral,0.6868
I'll take you to a movie.,neutral,0.6
"How about ""The Crane Lady""?",neutral,0.8918
Not that.,neutral,0.5311
I mean to the country...,neutral,0.7165
The country?,neutral,0.6524
Like Grandma's country house.,neutral,0.7843
Grandma lives with us.,neutral,0.8367
Grandpa's then...,neutral,0.8597
He's dead.,negative,0.7273
"We don't have relatives in the country, so don't ask.",neutral,0.5436
My family had lived in Tokyo for generations.,neutral,0.8582
I envied friends who had family in the countryside.,neutral,0.5833
It's too late to book.,neutral,0.501
All hotels will be full.,neutral,0.7418
But I really want to go...,positive,0.845
What about Onoya?,neutral,0.8641
Huh?,neutral,0.6584
We're regulars.,neutral,0.6936
They'd have a room for us.,neutral,0.7101
Where's that?,neutral,0.7016
Good idea.,positive,0.8804
Taeko's never been there.,neutral,0.6534
That's right.,neutral,0.569
Is it in the mountains?,neutral,0.8757
By the sea?,neutral,0.8554
It's in Atami.,neutral,0.7984
Atami?,neutral,0.7251
You get to ride the bullet train.,neutral,0.6905
"Sure, you'll love it.",positive,0.9392
Atami...,neutral,0.7135
It's great!,positive,0.984
Lots of different hot springs...,neutral,0.7241
There's the huge Roman Bath.,neutral,0.8172
"And other little ones, like the Swan Bath and the Violet Bath.",neutral,0.8502
The beautiful Violet Bath!,positive,0.9561
The Violet Bath...,neutral,0.8799
Oh yes.,positive,0.7542
It's fantastic.,positive,0.9664
"You love hot springs, right?",positive,0.8095
"Since Father's working, you four go.",neutral,0.7547
What?,neutral,0.5653
Us?,neutral,0.7271
Go too?,neutral,0.7859
I'm amazed you show up every morning.,positive,0.9232
Everyone else has left town.,neutral,0.7933
Aren't you going anywhere?,neutral,0.8225
"Yes, I am.",positive,0.5893
Where?,neutral,0.7096
Atami.,neutral,0.6499
Atami?,neutral,0.7251
What's in Atami?,neutral,0.8461
Hot springs.,neutral,0.6723
It's good timing.,positive,0.8906
We're going away next week to visit relatives.,neutral,0.8617
No one will be around for ages.,negative,0.5347
Hello.,neutral,0.5209
Okajima residence.,neutral,0.71
Nanako?,neutral,0.7086
It's Taeko.,neutral,0.7826
I leave today.,neutral,0.8416
Any messages for your husband's family?,neutral,0.8603
Not really.,neutral,0.5599
Just bring them something.,neutral,0.7747
Maybe cookies.,neutral,0.7543
Say it's from us and I'll pay you back.,neutral,0.7869
Don't worry about it.,neutral,0.6917
How's Mom?,neutral,0.7665
She's out today.,neutral,0.8873
She was mad you turned down that guy's proposal.,negative,0.6605
"""At 27, that's the best offer she's going to get!"" It's all she talks about.",positive,0.8842
She's got a point.,neutral,0.7235
You're not young anymore.,neutral,0.5058
"Oh, yeah?",neutral,0.6854
Definitely.,positive,0.5482
You've got to settle down eventually.,neutral,0.7322
"By the way, did you really work in the fields last year?",neutral,0.9151
"Yes, harvesting rice.",neutral,0.8461
"This year, I'm picking safflower.",neutral,0.6935
Safflower?,neutral,0.8082
"Thanks to you, I finally have family in the countryside.",positive,0.9233
"So, I'm making the most of it!",positive,0.9346
Give me a break!,negative,0.5433
"Rather than stay in that old house, why not treat yourself to a fancy hotel for once?",neutral,0.5971
Maybe you'd meet a nice boy.,positive,0.736
No way.,negative,0.6397
You mean a hotel like Onoya?,neutral,0.8323
Onoya?,neutral,0.7071
Not that again!,negative,0.7267
You've got to get over it.,neutral,0.5776
Let go of that baggage from the past!,neutral,0.504
"My sisters, of course, would never go to a place like Atami.",negative,0.5461
Grandma...,neutral,0.7511
Almost done?,neutral,0.8367
Let's go to another bath.,neutral,0.703
We just went.,neutral,0.7452
Only to the Swan Bath.,neutral,0.8503
"Bored to tears, I went alone to the Brothers Grimm Bath, the Mermaid Bath, the Lemon Bath, and the Violet Bath, one after the other.",neutral,0.5237
It's enormous!,positive,0.9048
"When I got to the Roman Bath, my head was spinning.",neutral,0.6954
It's amazing...,positive,0.9537
And I fainted.,negative,0.6409
"And with that, my trip was over.",neutral,0.6719
Followed by endless weeks of vacation.,positive,0.5133
Jump on both feet.,neutral,0.7028
Now your arms and legs.,neutral,0.6945
"The other day, my sisters and I were reminiscing.",positive,0.5561
We couldn't stop laughing as the memories came flooding back.,positive,0.9409
Had one before?,neutral,0.8057
"No, it's my first time.",neutral,0.6924
I'm the one who asked for it.,neutral,0.7088
"Yeah, we know.",neutral,0.5714
Where did you buy it?,neutral,0.8031
Senbikiya in Ginza.,neutral,0.7747
Must have been expensive.,negative,0.7037
How do we eat it?,neutral,0.7331
Slice it into rings.,neutral,0.715
But how?,neutral,0.6636
I don't know.,neutral,0.5667
Didn't you ask in the store?,neutral,0.8003
We'll eat it next Sunday.,neutral,0.6911
Why not now?,neutral,0.7341
We don't know how.,negative,0.4864
I'll have a banana.,neutral,0.7715
Me too.,neutral,0.696
Strange fruit they have in those hot countries.,neutral,0.7109
I'm home!,positive,0.8585
I know how to eat the pineapple!,neutral,0.487
Really?,neutral,0.6008
I'll take that.,positive,0.4977
Mind your fingers.,neutral,0.658
Wouldn't a carving knife be best?,neutral,0.8229
What a nice smell.,positive,0.9634
It smells so good.,positive,0.9828
I see.,neutral,0.5826
Get plates.,neutral,0.5946
Quick.,neutral,0.5475
Okay.,neutral,0.5844
Let us eat.,neutral,0.7281
It's chewy.,neutral,0.5092
Nothing special.,neutral,0.6843
Not so sweet.,negative,0.7744
Nothing like the canned stuff.,negative,0.6596
Live long enough and you see lots of different things.,neutral,0.5868
You can have mine.,neutral,0.6525
Mine too.,neutral,0.7784
It's delicious...,positive,0.958
Don't force yourself.,neutral,0.5631
You'll get a stomachache.,negative,0.8597
What a letdown.,negative,0.9395
Bananas taste much better.,positive,0.7722
