text,sentiment,score
WHISPER OF THE HEART Hello.,neutral,0.7076
"Hot, isn't it?",neutral,0.4891
I'm home.,positive,0.6493
Thanks.,positive,0.6284
You don't need a bag just for milk!,neutral,0.626
They put it in one.,neutral,0.6653
Just say no!,negative,0.6029
"Pour me some, too.",neutral,0.7861
"Dad, want some barley tea?",neutral,0.8883
Please...,neutral,0.7261
I'll come over.,neutral,0.6234
Thanks.,positive,0.6284
Is the word processor open?,neutral,0.8671
I'm still printing.,neutral,0.7092
I should buy an electronic notebook.,neutral,0.6218
You smoke too much.,negative,0.8592
"You could've gone to your aunt's, too.",neutral,0.838
No.,neutral,0.4936
Shiho wears me out.,negative,0.9274
"Oh, I've got work tomorrow.",negative,0.4732
Do you need lunch?,neutral,0.8704
"No, I'll eat out.",neutral,0.5974
The library's busy updating to a barcode system.,neutral,0.748
I like the checkout cards better.,positive,0.7475
"Me, too.",neutral,0.7147
"Hey, this isn't right...",negative,0.9471
What?,neutral,0.5653
Did you leave out a line?,neutral,0.703
You're right!,positive,0.7695
Let me go first.,neutral,0.773
I have to get this right or my professor will complain.,negative,0.5736
SEIJI AMASAWA - JULY 5TH This guy...,neutral,0.8877
"You can read, but don't stay up too late.",neutral,0.6678
Good night.,positive,0.5576
I thought I'd seen that name before...,neutral,0.6963
"Here, too...",neutral,0.8154
LIBRARY WITHDRAWAL CARD SEIJI AMASAWA - JULY 27TH SEIJI AMASAWA - JULY 28TH SEIJI AMASAWA - JULY 5TH He's taken all these books out before me.,neutral,0.7222
Seiji Amasawa...,neutral,0.8585
What's he like?,neutral,0.8344
Wonder if he's nice.,neutral,0.5413
SEIJI AMASAWA Shizuku!,neutral,0.7681
Get up!,positive,0.6083
I'm leaving!,neutral,0.5961
Did you sleep in your clothes?,neutral,0.794
Put the rice on.,neutral,0.6939
Bye!,neutral,0.6142
"Oh, no!",negative,0.6841
I've got to meet Yuko!,neutral,0.4935
My purse...,neutral,0.7227
You ran back upstairs again?,neutral,0.8015
Yeah.,neutral,0.5491
That's funny...,positive,0.801
Try by the phone...,neutral,0.813
Yes!,positive,0.8097
where you left it.,neutral,0.5922
I'm late!,negative,0.6512
Lock the door!,neutral,0.4858
Clumsy!,negative,0.6533
It's flying so low!,negative,0.698
Today's a lucky day!,positive,0.9862
It's a hot day!,positive,0.9621
How's it going?,neutral,0.7702
Hit it!,positive,0.5697
"Hi, Shizuku!",neutral,0.5733
Hi!,positive,0.4741
Keep it up!,positive,0.9099
Miss Kosaka?,neutral,0.7991
Tsukishima?,neutral,0.7773
What are you doing here?,neutral,0.8691
Could I ask a favor?,neutral,0.859
"Nothing weird, I hope...",neutral,0.6102
Let me in the library!,neutral,0.6009
What?,neutral,0.5653
Can't you wait till school starts?,neutral,0.5152
"I've read all my books, and the public library's closed.",neutral,0.5461
I'm reading 20 before school starts.,neutral,0.7501
20?,neutral,0.6793
Don't forget you've got high school entrance exams.,neutral,0.6511
Hurry up!,positive,0.5325
Here it is!,positive,0.5659
Bring it here.,neutral,0.7427
Give me your library card and the book's checkout card.,neutral,0.8418
"Yes, ma'am.",neutral,0.5793
No one's ever borrowed this book!,neutral,0.5227
It's rare.,neutral,0.6957
They don't even have it at the public library.,negative,0.6045
"DONATED AMASAWA'S COLLECTION ""Amasawa""...",neutral,0.8812
Miss!,neutral,0.5062
"Do you know who this ""Amasawa"" is?",neutral,0.8716
Look what you made me do!,positive,0.528
Someone gave it to us.,neutral,0.6829
I wouldn't know him.,neutral,0.5766
Ask an older teacher.,neutral,0.8129
Shizuku!,neutral,0.7062
What are you doing here?,neutral,0.8691
I've been at the front gate since 11!,neutral,0.7226
If I have to stand in the sun I get more freckles!,positive,0.8667
Sorry!,negative,0.4827
"Relax, Harada.",neutral,0.7786
You take freckles much too seriously.,negative,0.7686
"They're a serious problem, Miss!",negative,0.838
"Yeah, yeah...",neutral,0.5895
"all right, out of here, both of you.",neutral,0.7241
Move up!,positive,0.6482
Move up!,positive,0.6482
"I tried, but it's not going to work.",negative,0.8733
Why not just sing it in English?,neutral,0.8334
"White clouds spreading up over a hill A road winds up to the town An old house with small windows An old dog waits for me to come home Country road leading far away The road to my old home town West Virginia, my mother the mountain My good old home town That's not bad.",positive,0.8238
"Yes, it is.",neutral,0.5538
It's trite.,negative,0.884
Yeah?,neutral,0.7381
I wrote another one.,neutral,0.8053
"Concrete roads, everywhere Cut down all the trees Filled in the valleys Western Tokyo Tama Mountain My home town is concrete roads What is this?",neutral,0.631
"But what's this ""problem?"" You don't need the lyrics yet...",neutral,0.5099
No...,neutral,0.5715
are you in love with anyone?,neutral,0.7801
What?,neutral,0.5653
Studying for these exams would be easier if I had someone.,neutral,0.523
We could support each other.,positive,0.7454
Yuko!,neutral,0.5329
You're in love!,positive,0.9286
You got a love letter?,neutral,0.824
Shh!,negative,0.4821
When?,neutral,0.7904
Who?,neutral,0.6756
Is he handsome?,neutral,0.6657
He's in another class.,neutral,0.7007
He's not bad.,positive,0.6806
"Meet him, then!",neutral,0.6636
"If you don't like him, just say no!",negative,0.7971
"Yeah, but...",neutral,0.6867
So there's someone else you like!,neutral,0.4747
You can't hide it from me!,neutral,0.5473
Spit it out!,neutral,0.6006
It's Su...,neutral,0.796
Su...,neutral,0.6573
Tsukishima!,neutral,0.7401
"Bring me my bag, will you?",neutral,0.8702
Sugimura!,neutral,0.6807
That blue sports bag.,neutral,0.7436
"Come on, Tsukishima!",neutral,0.6152
Throw it over here.,neutral,0.554
Shut up and go back to the bench!,negative,0.7081
"I'm a starter, and we're going to the playoffs!",positive,0.7756
Yuko?,neutral,0.6875
You're in love with Sugimura?,neutral,0.7636
What am I going to do?,neutral,0.769
"The way I reacted, he might know!",neutral,0.7198
Don't worry.,positive,0.5337
He's too dense.,negative,0.9287
What about the guy who wrote you a letter?,neutral,0.7905
I'll think about it for a while.,neutral,0.8593
I see.,neutral,0.5826
At least your parents aren't always pushing you to study.,neutral,0.6267
Silence isn't always great.,negative,0.4953
I wonder...,neutral,0.7696
"Oh, no!",negative,0.6841
What?,neutral,0.5653
I forgot my book!,negative,0.6837
I need to go back.,neutral,0.6935
You can ride my bike.,neutral,0.6985
No.,neutral,0.4936
You'll be late for cram school.,negative,0.7568
I'll call you.,neutral,0.7031
That book...,neutral,0.7533
"Oh, is it yours?",neutral,0.8371
"Here, ""Shizuku Tsukishima"".",neutral,0.8954
How do you know my name?,neutral,0.7502
Guess!,neutral,0.6501
My library card...,neutral,0.8004
"I'd forget about ""Concrete Roads"", though.",neutral,0.6424
You read it!,neutral,0.6006
Jerk!,neutral,0.6113
Jerk!,neutral,0.6113
Jerk!,neutral,0.6113
Jerk!,neutral,0.6113
Jerk!,neutral,0.6113
Jerk!,neutral,0.6113
Jerk!,neutral,0.6113
"""I'd forget about 'Concrete Road'..."" Get lost!",negative,0.4936
DONATED AMASAWA'S COLLECTION Did you see?,neutral,0.8564
They were swimming like this!,neutral,0.6643
I'm home.,positive,0.6493
Shiho?,neutral,0.7774
You're already back?,neutral,0.8174
I'm beat!,neutral,0.4244
I got a ride with someone who was coming this way.,neutral,0.8644
Where's Mom?,neutral,0.7535
Summer Intensive Seminar.,neutral,0.8783
Dad's at work.,neutral,0.6502
You could clean up a little...,neutral,0.7288
What about dinner?,neutral,0.882
I'm going to wash the rice.,neutral,0.7992
Shizuku!,neutral,0.7062
The breakfast things are still out!,neutral,0.6907
I'm on it!,positive,0.7519
Mom's busy!,neutral,0.5446
We've got to help!,positive,0.6408
Do the rice and put away the laundry.,neutral,0.667
I'll take a shower and make dinner.,neutral,0.7623
Auntie says to come and see her when you get into high school.,neutral,0.8572
Are you studying?,neutral,0.8427
Don't think you can take it easy just because Mom and Dad don't bug you.,neutral,0.4797
I know!,neutral,0.4773
She even wanted me to bring home some soy sauce!,neutral,0.7132
"That's your aunt, all right.",neutral,0.76
It was the same thing last year.,neutral,0.7287
Yes!,positive,0.8097
It was miso!,neutral,0.6459
"Boy, was it heavy!",neutral,0.4995
Two kilos of it!,neutral,0.711
Shizuku!,neutral,0.7062
Get up and vacuum by your desk!,neutral,0.6498
I'm washing the sheets.,neutral,0.7458
And airing the bedding.,neutral,0.6855
Where's Mom?,neutral,0.7535
Long gone.,neutral,0.477
Put that stuff away and go and bring Dad his lunch.,neutral,0.6217
Me?,neutral,0.707
Why not?,neutral,0.6867
You're going to the library.,neutral,0.6973
Shall I go instead?,neutral,0.8847
"Are you gonna clean the toilet, the tub and the balcony and go to the store?",neutral,0.8548
Don't forget to turn the bedding and fix dinner.,neutral,0.7188
I'm going!,positive,0.8221
Shizuku!,neutral,0.7062
"Mail these, will you?",neutral,0.8651
What?,neutral,0.5653
M-A-I-L!,neutral,0.6561
You don't have to read them!,neutral,0.522
Take the paper-clip off.,neutral,0.6642
Your boyfriend?,neutral,0.815
Idiot!,negative,0.9241
MUKAIHARA STATION NO BIKE PARKING Will you be there?,neutral,0.8964
Yeah.,neutral,0.5491
"Next stop, Suginomiya.",neutral,0.777
The exit will be on the left-hand side.,neutral,0.8949
"Hey kitty, are you alone?",neutral,0.814
Where are you going?,neutral,0.83
What's out there?,neutral,0.786
Hey!,neutral,0.5279
Answer me!,neutral,0.6363
I'm getting off here.,neutral,0.6723
What about you?,neutral,0.7871
See you.,neutral,0.6398
Hey!,neutral,0.5279
A cat!,positive,0.5212
KODAMA LINE SUGINOMIYA STATION The library's that way!,neutral,0.5861
And it felt just like the start of a story...,neutral,0.6767
There he is!,positive,0.6753
AUTHORIZED PERSONNEL ONLY NO ENTRY What a hill!,negative,0.7133
How far up is he going?,neutral,0.8918
Kitty?,neutral,0.7229
Kitty?,neutral,0.7229
Does he live around here?,neutral,0.9101
"Hey, kitty!",positive,0.491
Where are you going?,neutral,0.83
Do you live around here?,neutral,0.8774
I never knew there was a place like this way up here...,neutral,0.4609
SUZUKI That's not nice!,negative,0.9662
Going around teasing dogs!,neutral,0.4958
"Maybe you're teasing me, too.",neutral,0.5273
"WORLD EMPORIUM SHIRO NISHI, PROP I never would've guessed there was a store like this one up here either...",neutral,0.5114
Cool!,positive,0.9343
Are you that cat?,neutral,0.8096
"Oh, hello...",neutral,0.7387
Um...,neutral,0.6851
That's all right.,positive,0.5717
Look around all you want.,neutral,0.8007
Baron gets bored.,negative,0.5817
Baron?,neutral,0.7185
Is that the name of this statue?,neutral,0.8822
Yep.,neutral,0.5607
Baron Humbert von Gikkingen.,neutral,0.8033
Quite the name...,neutral,0.7775
Sorry.,negative,0.5092
Thanks.,positive,0.6284
I'm fine now.,positive,0.7519
That's a great clock.,positive,0.9377
"It was sitting in some castle, all rusted out.",neutral,0.7033
Look...,neutral,0.7272
It's beautiful.,positive,0.9599
What is it?,neutral,0.75
Wait and see.,neutral,0.6146
What great dwarfs!,positive,0.9
"So you're a young lady who knows about dwarfs, aren't you?",neutral,0.8224
Watch the clockface...,neutral,0.8266
if it works.,neutral,0.599
A fairy!,positive,0.5004
The light shines on the glass.,positive,0.6545
Come up here.,neutral,0.744
All right.,neutral,0.4897
A princess?,neutral,0.8208
That's right.,neutral,0.569
Are they in love?,neutral,0.8241
But they live in different worlds.,neutral,0.7252
He's the king of the dwarfs.,neutral,0.5408
She's a fairy when the clock strikes 12.,neutral,0.7759
Then she turns back into a sheep.,negative,0.7758
But he appears every hour...,neutral,0.7788
and waits for her.,neutral,0.7212
The artisan who made this must have been disappointed in love.,negative,0.8671
That's why they both look so sad...,negative,0.9397
"This clock's fast, isn't it?",neutral,0.6507
"Only about five minutes, though.",neutral,0.7956
"Oh, no!",negative,0.6841
I've got to be at the library!,neutral,0.4871
Can I come back sometime?,neutral,0.7319
Sure...,neutral,0.6142
but go left to get to the library!,neutral,0.7614
I'm right above it!,positive,0.7233
TENSHU HILL What a find!,positive,0.9119
A place where stories start!,positive,0.5378
Fantastic!,positive,0.9316
Tsukishima!,neutral,0.7401
Shizuku Tsukishima!,neutral,0.7962
Isn't this yours?,neutral,0.839
"You're forgetful, aren't you?",negative,0.8281
Thanks...,neutral,0.5101
but how...,neutral,0.6888
Guess!,neutral,0.6501
The cat!,neutral,0.5382
Is that your cat?,neutral,0.8778
You sure eat a big lunch!,positive,0.745
No!,neutral,0.4416
"Concrete roads, everywhere It's not mine!",neutral,0.5344
Hey!,neutral,0.5279
"Oh, here you are...",negative,0.488
What's wrong with you?,negative,0.9193
It's hard to explain.,negative,0.5752
I felt like I'd found a treasure hidden in a cave.,positive,0.5688
Then what someone said buried me alive.,negative,0.7917
Sounds complicated.,negative,0.4937
Getting more books?,neutral,0.8582
Seven more to go.,neutral,0.655
Still at it?,neutral,0.8075
What about lunch?,neutral,0.881
I'll buy something.,neutral,0.6796
You will?,neutral,0.8303
"Thanks, then.",neutral,0.6808
June 16th...,neutral,0.9103
Wow!,positive,0.8599
"Amasawa's read this one, too!",neutral,0.7179
What's he like?,neutral,0.8344
Concrete road No!,neutral,0.5987
He's not you!,neutral,0.48
POE OF HAMBURG Shizuku!,neutral,0.7987
Hurry!,neutral,0.5702
I'm late!,negative,0.6512
Pass my umbrella.,neutral,0.7455
Rain every day this term!,neutral,0.6813
At least you're studying because you want to.,neutral,0.5281
Sorry.,negative,0.5092
Study hard!,neutral,0.51
Don't you worry!,positive,0.5839
Shizuku!,neutral,0.7062
Hi!,positive,0.4741
Hurry!,neutral,0.5702
We'll be late!,neutral,0.4735
I hate all these tests!,negative,0.9714
One every day!,neutral,0.5011
Did you answer the letter?,neutral,0.8249
No.,neutral,0.4936
Did he say anything?,neutral,0.7858
I'm going to say no.,negative,0.6351
Yeah?,neutral,0.7381
Maybe that's best.,positive,0.5277
Sugimura!,neutral,0.6807
