text,sentiment,score
"Hi, I'm Don Hahn, I'm the producer of Lion King.",neutral,0.504
"I'm Rob Minkoff, director of The Lion King.",positive,0.681
"And Roger Allers, director of Lion King.",neutral,0.5217
And we're here to perform the top 40 hits for you.,positive,0.5334
"No, we're here to comment for you on the making of The Lion King.",neutral,0.5942
"Kind of share some of our experiences with you, right here in your own living room.",neutral,0.7303
"The project started, actually, as King of the Jungle.",neutral,0.9057
"And the original concept was to do a picture in Africa about lions, but no one at the time knew what the story was gonna be.",neutral,0.6485
"Then it kind of evolved from there into being an original story, which is unique for us.",neutral,0.4991
Usually we do stories based on fairytales or novels or bits of literature.,neutral,0.8728
But Lion King was unique in that it was completely out of thin air.,positive,0.844
"Even though it was informed by a little bit of Hamlet, little bit of Old Testament Bible stories like Joseph or Moses, that kind of thing.",neutral,0.8851
"Originally, in the opening of the picture we were going to have a dialog scene to introduce the characters, to introduce baby Simba, introduce Rafiki as the shaman coming to bless the child.",neutral,0.7802
Right.,neutral,0.5665
"Actually, we had scenes of animals walking to Pride Rock.",neutral,0.6744
"And then we had Zazu talking about, ""Everybody, get in the line.",neutral,0.8025
"Get in the line."" There was so much chatter, and at that time also, Rafiki, no one knew who Rafiki was.",neutral,0.6531
"But when we heard Hans' version of how he Africanized Circle of Life, we all just went crazy.",neutral,0.5877
"In four minutes of music, Elton John and Tim Rice, God bless them, created this beautiful… What became an anthem for the movie that defined the spirit of the movie and the theme of the movie.",positive,0.9499
"In the shot where we rack focus from the ants in the foreground to the zebras in the background, that was the concept from the storyboard, where we were literally trying to do something that's very common in a live action picture but is very rarely seen or never seen in an animated picture, which is literally to use the focal length of the camera.",neutral,0.681
But in our case we have to replicate what that might look like under these circumstances where it's artificially done.,neutral,0.7786
And yet gives you that sort of sense that you're really looking at a real world.,neutral,0.7289
"The whole fly-in scene where you reveal the African savanna and you see Pride Rock for the first time, Pride Rock is kind of like the castle for the lions, is all done in one continuous shot.",neutral,0.7303
It's all done in one.,neutral,0.6413
You go from this vast overview of the savanna into a close-up of Mufasa without cutting.,neutral,0.8479
"Now, the great thing with this shot of Rafiki coming up, it gives you the feeling of sunlight filtering through the characters.",positive,0.9075
"And it's all the great CAPS magical tricks that you can do with special effects, animation and graphics.",positive,0.9192
Or the clouds which are actually a flat two-dimensional painting which is skewed by the computer.,neutral,0.5849
"""Skewing"" means it kind of stretches it out.",neutral,0.6973
"And always when we previewed the film, I remember going to the Pasadena theater for the first time where we previewed it, and little Simba turns around for the first time, -always was a surefire ""aw."" It's an ""aw shucks"" moment.",neutral,0.4674
"And the funny thing about Circle of Life, it's a great stand-alone piece because without giving anything about the movie away, it kind of gives you a sense of epic scale in Africa and all that stuff.",positive,0.9318
And it went out in November.,neutral,0.8191
Six months before the movie was released.,neutral,0.8528
"That's right, exactly, and the thing that we were all so worried about was that nobody would know what the title of this movie was, because they hadn't heard it before.",negative,0.6135
That was a big concern.,negative,0.5209
"""Do you think people are gonna go?"" Here's something that the folks in the theater probably would never care about.",negative,0.8799
But we really cared about trying to get all the clouds in the background to match speed.,neutral,0.7002
There are several different paintings of Pride Rock that we had to match from one to the next.,neutral,0.7672
"The cliff he stands on, because you get so close to it, was painted really large so that when you got close the detail was clear for the large movie screen.",neutral,0.6392
"But had to be shrunk down to fit onto Pride Rock, so all those things.",neutral,0.7721
How many levels do you think we had?,neutral,0.8534
How many background levels?,neutral,0.8233
Too numerous to mention at this point.,neutral,0.5392
Those are the sort of things people like to hear -but we don't remember them.,neutral,0.4939
Yeah.,neutral,0.5491
"That's one of the great things about the CAP system, which is our fancy computerized animation production system, where you can put together seemingly endless levels of animation and backgrounds, and clouds and effects and things, and sandwich them together without being limited by reality because it's all done in a digital universe.",positive,0.9416
"Right, it is the ultimate multi-plane camera.",positive,0.6829
