text,sentiment,score
Frozen.,neutral,0.6465
"Born of cold and Winter air And mountain rain combining, This icy force both foul and fair.",negative,0.5434
Has a frozen heart worth mining.,neutral,0.687
"Cut through the heart, Cold and Clear.",neutral,0.8191
Strike for love And Strike for fear.,neutral,0.6397
See the beauty Sharp and Sheer.,positive,0.7924
Split the ice apart.,neutral,0.53
And break the frozen heart.,neutral,0.5314
Hup!,positive,0.6063
Ho!,neutral,0.5191
Watch your step!,neutral,0.7724
Let it go!,positive,0.5943
Hup!,positive,0.6063
Ho!,neutral,0.5191
Watch your step!,neutral,0.7724
Let it go!,positive,0.5943
Beautiful!,positive,0.9589
Powerful!,positive,0.8655
Dangerous!,negative,0.8532
Cold!,neutral,0.5279
Ice has a magic Can't be controlled.,neutral,0.6836
"Stronger than one, Stronger than ten.",positive,0.82
Stronger than a hundred men!,positive,0.8136
Born of cold and winter air And mountain rain combining.,neutral,0.6874
This icy force both Foul and Fair.,neutral,0.5493
Has a frozen heart worth mining.,neutral,0.687
"Cut through the heart, Cold and Clear.",neutral,0.8191
Strike for love and strike for fear.,neutral,0.6475
There's beauty and there's Danger here.,positive,0.5739
Split the ice apart!,negative,0.5093
Beware the frozen heart.,neutral,0.6212
"Come on, Sven!",neutral,0.5528
Elsa.,neutral,0.6084
Psst Elsa!,neutral,0.5591
Wake up.,neutral,0.6348
Wake up.,neutral,0.6348
Wake up.,neutral,0.6348
"Anna, go back to sleep.",neutral,0.5812
I just can't.,negative,0.8616
"The sky's awake, so I'm awake, so we have to play.",neutral,0.5406
...Go play by yourself.,neutral,0.5737
Do you want to build a snowman?,neutral,0.8304
"Come on, come on, come on, come on.",positive,0.48
Do the magic!,neutral,0.5597
Do the magic!,neutral,0.5597
Ready?,neutral,0.6724
Uhhm...,neutral,0.6845
This is amazing!,positive,0.9873
Watch this!,neutral,0.5667
"Hi, I'm Olaf and I like warm hugs.",positive,0.8966
"I love you, Olaf.",positive,0.9752
Al'right.,neutral,0.6849
Catch me!,neutral,0.5561
- Gotcha!,positive,0.6285
Again!,neutral,0.5032
Wait!,neutral,0.6225
Slow down!,neutral,0.6217
Anna!,neutral,0.482
Anna?,neutral,0.6675
Mama!,neutral,0.6046
Papa!,neutral,0.5798
"You Ok, Anna.",neutral,0.8317
I Got you.,positive,0.4795
"Elsa, what have you done?",neutral,0.8203
This is getting out of hand!,negative,0.9074
It was an accident.,neutral,0.6707
"I'm sorry, Anna.",negative,0.6067
She's ice cold.,negative,0.5076
I know where we have to go.,neutral,0.774
Ice?,neutral,0.7647
"Faster, Sven!",neutral,0.4967
Sven!,neutral,0.6122
Please...,neutral,0.7261
Help!,neutral,0.6156
My daughter!,positive,0.7009
He is the King!,positive,0.8854
Trolls...?,neutral,0.6634
Shush.,negative,0.5404
I'm trying to listen.,neutral,0.7841
Cuties.,neutral,0.6787
I'm gonna keep you.,neutral,0.4908
Your Majesty!,positive,0.548
Born with the powers or cursed?,neutral,0.7987
Born.,neutral,0.5466
And they're getting stronger.,positive,0.7098
You are lucky it wasn't her heart.,neutral,0.559
"The heart is not so easily changed, But the head can be persuaded.",neutral,0.7477
Do what you must.,neutral,0.6886
"I recommend we remove all magic, even memories of magic to be safe...",neutral,0.7248
"But don't worry, I'll leave the fun.",neutral,0.4977
She will be okay.,positive,0.6604
