text,sentiment,score
"Oh, I come from a land From a faraway place Where the caravan camels roam Where it's flat and immense And the heat is intense It's barbaric but hey, it's home When the wind's from the east And the sun's from the west And the sand in the glass is right Come on down, stop on by Hop a carpet and fly To another Arabian night Arabian nights Like Arabian days More often than not Are hotter than hot In a lot of good ways Arabian nights 'Neath Arabian moons A fool off his guard Could fall and fall hard Out there on the dunes Ah, salaam, and good evening to you, worthy friend.",neutral,0.5044
"Please, please, come closer.",positive,0.543
T oo close.,neutral,0.7661
A little too close.,neutral,0.6037
There.,neutral,0.551
"Welcome to Agrabah, city of mystery, of enchantment, and the finest merchandise this side of the river Jordan, on sale today.",positive,0.9222
Look at this.,neutral,0.7571
Yes.,positive,0.461
Combination hookah and coffeemaker.,neutral,0.7933
Also makes julienne fries.,neutral,0.8593
Will not break.,neutral,0.6425
Will not...,neutral,0.7265
It broke.,negative,0.7346
Ohh!,neutral,0.5576
Look at this.,neutral,0.7571
I have never seen one of these intact before.,neutral,0.479
This is the famous Dead Sea Tupperware.,neutral,0.8213
Listen.,neutral,0.6733
"Ah, still good.",positive,0.8895
Wait.,neutral,0.5851
Don't go.,negative,0.5596
I can see that you're only interested in the exceptionally rare.,neutral,0.5365
"I think, then, you would be most rewarded to consider this.",positive,0.7786
Do not be fooled by its commonplace appearance.,neutral,0.5616
"Like so many things, it is not what is outside, but what is inside that counts.",neutral,0.7984
This is no ordinary lamp.,neutral,0.5607
It once changed the course of a young man's life.,neutral,0.744
"A young man who, like this lamp, was more than what he seemed.",neutral,0.498
The diamond in the rough.,neutral,0.7984
Perhaps you would like to hear the tale?,neutral,0.8891
It begins on a dark night...,neutral,0.7003
where a dark man waits with a dark purpose.,neutral,0.8068
You are late.,negative,0.6158
"A thousand apologies, O Patient One.",neutral,0.6946
You have it then?,neutral,0.7178
"I had to slit a few throats, but I got it.",neutral,0.4962
Ah-ah-ahhh.,neutral,0.5844
The treasure.,neutral,0.6425
Ow!,neutral,0.5515
"Trust me, my pungent friend.",positive,0.6278
You'll get what's coming to you.,neutral,0.7393
What's coming to you.,neutral,0.7576
Awk!,neutral,0.5187
Quickly!,neutral,0.5611
Follow the trail.,neutral,0.6598
Faster.,neutral,0.6099
"At last, after all my years of searching...",neutral,0.4941
the Cave of Wonders.,neutral,0.6934
Awk.,neutral,0.5249
Cave of Wonders.,neutral,0.6721
By Allah.,neutral,0.71
"Now, remember.",neutral,0.7411
Bring me the lamp.,neutral,0.7772
"The rest of the treasure is yours, but the lamp is mine.",neutral,0.732
"Awk, the lamp.",neutral,0.6237
"Awk, the lamp.",neutral,0.6237
"Jeez, where'd ya dig this bozo up?",negative,0.7078
Shh.,negative,0.4913
Who disturbs my slumber?,negative,0.6119
"It is l, Gazeem, a humble thief.",neutral,0.6653
Know this.,neutral,0.6575
"Only one may enter here, one whose worth lies far within.",neutral,0.6371
A diamond in the rough.,neutral,0.7555
What are you waiting for#Go on.,neutral,0.8152
No!,neutral,0.4416
Seek thee out the diamond in the rough.,neutral,0.892
I can't believe it.,negative,0.6368
I just don't believe it.,negative,0.8867
We're never gonna get a hold of that stupid lamp.,negative,0.9442
Just forget it.,neutral,0.6158
Look at this.,neutral,0.7571
I'm so ticked off that I'm molting.,negative,0.9746
"Patience, lago.",neutral,0.6606
Patience.,neutral,0.6306
Gazeem was obviously less than worthy.,negative,0.9231
"Oh, there's a big surprise.",positive,0.873
I think I'm gonna have a heart attack and die from that surprise.,negative,0.9056
What are we gonna do?,neutral,0.8532
"We got a big problem here, a big...",negative,0.8281
Yes.,positive,0.461
Only one may enter.,neutral,0.8177
"I must find this one, this...",neutral,0.6534
diamond in the rough.,neutral,0.7656
Stop!,negative,0.5341
Thief!,neutral,0.4733
Stop!,negative,0.5341
Thief!,neutral,0.4733
"I'll have your hands for a trophy, street rat.",neutral,0.5389
All this for a loaf of bread?,neutral,0.6043
Whoa!,neutral,0.4812
There he is!,positive,0.6753
You won't get away so easy!,negative,0.4523
You think that was easy?,neutral,0.6353
"You two, over that way, and you, follow me.",neutral,0.8145
We'll find him.,neutral,0.6332
"Morning, ladies.",positive,0.6282
"Getting into trouble a little early today, aren't we, Aladdin?",negative,0.5476
Trouble.,neutral,0.5227
No way.,negative,0.6397
You're only in trouble if you get caught.,negative,0.8458
Gotcha.,neutral,0.4895
I'm in trouble.,negative,0.8266
And this time...,neutral,0.821
"Perfect timing, Abu, as usual.",positive,0.8381
Abu.,neutral,0.5772
Come on.,neutral,0.5758
Let's get outta here.,negative,0.6026
Gotta keep one jump Ahead of the bread line One swing ahead of the sword I steal only what I can't afford That's everything.,neutral,0.5966
One jump ahead of the lawmen That's all and that's no joke These guys don't appreciate I'm broke Riffraff.,negative,0.8213
Street rat.,negative,0.5571
Scoundrel.,negative,0.9127
Take that.,neutral,0.6566
"Just a little snack, guys Rip him open Take it back, guys I can take a hint Gotta face the facts You're my only friend, Abu Who?",neutral,0.5843
"Oh, it's sad Aladdin's hit the bottom He's become a one-man rise in crime I'd blame parents Except he hasn't got 'em Gotta eat to live Gotta steal to eat Tell you all about it When I got the time One jump ahead of the slowpokes One skip ahead of my doom Next time gonna use a nom de plume There he is.",negative,0.6104
"One jump ahead of the hit men One hit ahead of the flock I think I'll take a stroll Around the block Stop, thief.",neutral,0.6842
Vandal.,neutral,0.5893
Abu!,neutral,0.5929
Scandal.,negative,0.6736
Let's not be too hasty Still I think he's rather tasty Gotta eat to live Gotta steal to eat Otherwise we'd get along Wrong.,neutral,0.4922
Get him!,neutral,0.5274
He's got a sword!,neutral,0.6663
You idiots.,negative,0.9445
We've all got swords.,neutral,0.7709
One jump ahead of the hoofbeats Vandal!,neutral,0.5596
One hop ahead of the hump Street rat!,neutral,0.6268
