text,sentiment,score
"Hi, this is Ron Clements, I'm the co-writer, co-director of Little Mermaid.",neutral,0.5825
"Hi, I'm John Musker, I'm the other guy, the other co-director, co-writer of The Little Mermaid.",neutral,0.6995
"Hi, I'm Alan Menken, the composer of Little Mermaid.",neutral,0.6422
"You're gonna hear a lot on this audio commentary about Howard Ashman, who I consider to be the greatest theatrical dramatic talent of our generation, as a writer.",positive,0.9422
Howard passed away before Beauty and the Beast was released and after Little Mermaid came out.,neutral,0.6973
"Coming up is an earlier interview that Howard and I did at the time of the release of the film, and it's great to hear his voice adding to ours.",positive,0.9782
This is Ron again.,neutral,0.681
We had a really tough time getting this to work right with the ship coming through the fog.,negative,0.7299
This is John.,neutral,0.7813
This was generated by a computer but then painted in traditional ink and paint style.,neutral,0.9196
"You really saw a change in perspective there, in a way that we couldn't have done with traditional animation.",neutral,0.6147
"We tried to keep color very low-key, it's kind of an overcast day, because we wanted to save the color for when we went underwater...",neutral,0.7518
We shot this with traditional fog filters on the animation camera just to give it the feeling of a foggy day.,neutral,0.7832
"This is Alan, and I remember how many times Howard and I took stabs at the top of the movie musically.",neutral,0.6337
"We had a much longer song, originally, which told the whole story of Eric and the boat.",neutral,0.8101
"The back story of the witch and Triton, there was a whole story created.",neutral,0.8697
And a lot of dancing and sweeping.,neutral,0.7045
"It's a big, elaborate production number.",neutral,0.643
And it actually got story-boarded.,neutral,0.7059
"Roger Alters, the great story artist, story-boarded it, it exists.",positive,0.5914
"Ultimately, it seemed like it took a little too long and was too involved, so we went with a shorter, trimmer version.",negative,0.5832
"One thing we did want to do, though, was to start the movie on the water surface and save going below, 'cause we felt it was like going to Oz or something like that.",neutral,0.7314
"So, it's almost like this is our black-and-white section going into color now.",neutral,0.7753
"Classic moment for me is when the fish jumps and hits the water and we go into this theme, and that's where the heart of the movie just jumps out at you.",positive,0.7663
I remember we demoed this so many times.,neutral,0.5883
"I can remember you and Howard Ashman were sitting there at the piano, and Howard would be like, ""Alan, give me that musical figure,"" ""something watery, something watery."" That's right.",neutral,0.7321
And then Alan would come up with this thing.,neutral,0.6627
"I'd never even heard the term ""musical figure"" before, and I'm like, ""Well, that's what that is."" I'd create this little...",neutral,0.5816
"It came off the top of my head, and it became this unmistakable stamp, now, of Little Mermaid.",neutral,0.6044
-Musical signature.,neutral,0.7813
Anytime one hears it...,neutral,0.7788
"And also, with any musical, and Howard would say this too, you have to establish right at the top what are the rules for this musical.",neutral,0.8022
"If somebody is coming out and they're on a stage, and they're singing All That Jazz, you go, ""Okay, I get what this is."" If somebody comes out and they're animated, and they're doing a sea shanty about the fable of The Little Mermaid, you go, ""Okay, I get..."" So long as you get what world you're in, you can accept it.",neutral,0.6345
Ron again.,neutral,0.6468
This first shot of King Triton's palace is a multi-plane shot.,neutral,0.915
"After CAPS was developed, a shot like this would be easy, but at the time, if you wanted to move in on something and give some sense of dimension, you needed to use multi-plane.",neutral,0.7061
I think this film was the first use of multi-plane since...,neutral,0.6206
"I think there might be a shot in Jungle Book, which was kind of reused in The Rescuers, I think.",neutral,0.9062
Those trumpet fish were the first real explosion -of higher key colors.,neutral,0.5352
Really bright color.,positive,0.8221
"If you look, still-frame, as he passes in front of the camera, on the lower left corner of the screen, you can see Mickey, Donald and Goofy there in the audience, watching.",neutral,0.7885
Will Ryan did the voice of the little seahorse.,neutral,0.8718
Speeded up a little bit.,neutral,0.7691
"You hear the fanfare as Triton sweeps in, and then when Sebastian comes in, there's a little dinky fanfare, and that is actually me playing the kazoo.",neutral,0.6969
Listen to the last note particularly.,neutral,0.8306
We did have fun.,positive,0.925
Sam Wright and Ken Mars doing the voices of Sebastian the crab and King Triton.,neutral,0.9216
Sam Wright was wonderful to work with.,positive,0.9735
"He's been playing Mufasa in The Lion King on Broadway, but prior to that, he'd been the father in a musical called Tap Dance Kid.",neutral,0.6754
He was in the Fruit of the Loom commercials as a dancing raisin or something.,neutral,0.8648
"A great, great comic actor and singer.",positive,0.9391
"He was one of the New York actors, both he and Jodi Benson were cast without John or I having ever met them in person, we just heard their voices on tape, 'cause they auditioned in New York, but we loved what they were doing.",positive,0.9203
Ellen Woodbury did some of this animation here.,neutral,0.9135
-And Will Finn I think did some.,neutral,0.9237
"And Will Finn as well, yeah.",neutral,0.8536
"In the lyrics coming up in this song, when you talk about the sisters, among the sisters, Atina is a musical I had written, actually, that Michael Bennett produced, called Atina: Evil Queen of the Galaxy, which was a big flopperoney.",neutral,0.7815
"Arista, Attina Adella, Alana And Howard, in the lyrics, makes reference to Alana, and that was Howard's way of including me in the lyrics.",neutral,0.8925
"One other bit, Andrina was actually my aerobics teacher at the time, -I was taking an aerobics class.",neutral,0.8766
Is that right?,neutral,0.7966
"We used to have more dialogue in this scene, we had a backstage scene that got cut out.",neutral,0.5397
"It's like, ""Where's Ariel?",neutral,0.7225
She's not here!,negative,0.6032
"What am I gonna do?"" And then he's forced out onto the stage.",neutral,0.6242
We just liked the staging of the shells opening.,positive,0.8499
"It just seemed kind of fun and it's a little campy, I guess.",positive,0.8952
"But we liked it and Howard went along with it eventually, but we had to sell him on the idea.",neutral,0.5172
Howard always had very specific ideas of how he visualized the staging.,neutral,0.8775
This set-up shot of the sunken ship has cross-dissolving beams.,neutral,0.8442
"Mike Peraza, our art director, did the layout for this.",neutral,0.8727
It really helps set a great mood for the rest of this sequence.,positive,0.9771
We knew this movie would have more effects animation than any movie that had been done in a long time.,positive,0.6312
"And virtually every scene underwater has effects in it, it has either bubbles, or light refractions or distortion.",neutral,0.678
"It added a huge amount of complexity, but it's just a really great motivator in getting the whole crew together, knowing that they were facing, in some sense...",positive,0.9034
I think we presented it as almost an impossible challenge.,negative,0.6429
"People like impossible challenges, because it gets them excited, and I think the whole effects department was very excited about the challenge of this film.",positive,0.9775
"Alan had never written an underscore for any movie before, and he wanted to do it, and we were interested in doing it, but he'd never done it before, ""so we said,"" Let's use this as kind of a dry run, so to speak, ""or a trial run, and let Alan get his fins wet on this one."" So, this was the first thing he wrote.",neutral,0.6918
I was terrified.,negative,0.7623
"It was an action cue, it wasn't just a romantic cue, it was something where you really had to hook into the...",neutral,0.8075
"There's a big shark chase coming up and all that stuff, so Alan had to hit all these accents and beats and all that, so it was something different for Alan.",neutral,0.811
"And I also remember, when we scored the movie, this was the first cue that we recorded.",neutral,0.8101
"I remember sitting next to the orchestrator, I listened to it, and I said, ""Oh, my God, this is awful."" ""Oh, my God, this is just terrible."" And I see Howard and John and Ron conferring at the front, their heads are down and they're talking to each other.",negative,0.9322
"""And I'm thinking,"" Oh, my God, ""they're trying to figure out how to fire me."" Then finally Howard gets up slowly and walks over to me behind the board.",neutral,0.4855
"I said, ""Yeah, I know it's terrible.",negative,0.7474
"We can work on..."" He says, ""No, in this one measure, ""could you move this one beat forward?"" I said, ""Yes.",neutral,0.8234
"""He says, ""That's great."" I made a choice to do this very much in the style of the earlier animated features, in which, instead of sound effects, you're basically using music for a fall, or music for an impact or for anything, almost like ballet.",positive,0.7769
"So, it's a very busy score.",neutral,0.735
I learned how to get less busy after Little Mermaid.,positive,0.5363
"I might also mention that the shark here is animated by Matt O'Callaghan, who story-boarded this sequence as well, and that doesn't always happen.",neutral,0.7477
"So, he really shaped it, both in terms of the storyboarding, and then he wound up animating the shark, as well as Louis, the chef, later on.",neutral,0.8417
"The shark, his name is Glut, although his name is never brought up in the movie, he was originally going to return later in the movie, and Flounder was going to actually defeat him and Flounder would have his moment of glory, finally.",neutral,0.7747
"But as we simplified the story, Glut never does return.",neutral,0.5858
"When this sequence was first developed, there was Flounder, but Ariel also had another companion, a dolphin, which we called Breaker, but he left very quickly.",neutral,0.8405
We thought that there were too many characters with her along for the ride.,neutral,0.5762
"So we gave some of Breaker's personality, which was a very energetic, gung-ho type, we moved that into Ariel, and that actually made her a more lively sort of character, to give her some of the dolphin's personality.",positive,0.574
