text,sentiment,sentiment_score,theme,theme_score,length
"MY NEIGHBOR TOTORO Dad, do you want some candy?",uncertain,0.3309,Family,0.9779,9
Thanks.,uncertain,0.375,Family,0.9123,1
Aren't you tired?,uncertain,0.3615,Family,0.5069,3
No.,very negative,0.4577,Family,0.8406,1
We're almost there.,uncertain,0.3897,Family,0.8778,3
"Mei, hide!",uncertain,0.2992,Trauma,0.7469,2
It wasn't a policeman.,uncertain,0.4385,Family,0.6495,4
Hello!,very positive,0.6173,Friendship,0.7159,1
Hello.,very positive,0.4517,Family,0.8371,1
Are your parents around?,neutral,0.4656,Family,0.9432,4
Thanks.,uncertain,0.375,Family,0.9123,1
I'm Kusakabe!,very positive,0.6134,Identity,0.989,2
We've just arrived!,very positive,0.6005,Personal Growth,0.7195,3
A pleasure to meet you!,positive,0.5227,Friendship,0.9337,5
Welcome!,very positive,0.5193,Friendship,0.9051,1
Thank you.,positive,0.5047,Family,0.8872,2
Here we are!,very positive,0.5505,Family,0.8085,3
Wait!,uncertain,0.368,Family,0.5416,1
"Mei, there's a bridge!",uncertain,0.4498,Resilience,0.197,4
A bridge?,uncertain,0.3619,Resilience,0.0919,2
See that flash?,uncertain,0.2892,Family,0.6012,3
Fish too!,uncertain,0.289,Resilience,0.6265,2
"So, you like it here?",very positive,0.5586,Family,0.7511,5
"Dad, it's terrific!",very negative,0.6245,Family,0.9867,3
"Look, a tunnel of trees!",uncertain,0.3765,Resilience,0.5401,5
Is that our house?,uncertain,0.3322,Resilience,0.443,4
Come on!,very positive,0.5919,Personal Growth,0.8703,2
It's a wreck!,very negative,0.7863,Trauma,0.9042,3
Wreck!,very negative,0.7148,Trauma,0.8142,1
Looks like a haunted house!,very negative,0.6235,Trauma,0.2067,5
Haunted?,uncertain,0.3957,Trauma,0.4479,1
And it's all rotten!,very negative,0.5584,Family,0.7003,4
It's gonna fall down!,uncertain,0.4067,Family,0.5025,4
Fall down!,very negative,0.45,Trauma,0.6995,2
"Look, Mei!",very positive,0.6503,Family,0.8509,2
See?,uncertain,0.3472,Family,0.7879,1
It's huge.,very positive,0.5266,Family,0.8417,2
"Dad, there's a huge tree!",very positive,0.4845,Resilience,0.517,5
It's a camphor tree.,uncertain,0.3217,Resilience,0.0435,4
Camphor tree!,very positive,0.5481,Resilience,0.0967,2
Camphor tree!,very positive,0.5481,Resilience,0.0967,2
Oops!,very positive,0.5739,Trauma,0.6453,1
An acorn!,very positive,0.5301,Personal Growth,0.6854,2
Show me.,uncertain,0.3773,Family,0.5213,2
Another one!,uncertain,0.2915,Personal Growth,0.3761,2
It's mine.,uncertain,0.3995,Identity,0.9008,2
Out of the way.,uncertain,0.425,Family,0.7693,4
I can't open the screens.,very negative,0.5222,Family,0.7669,5
Acorns!,very positive,0.5027,Personal Growth,0.5292,1
There are acorns in the house.,uncertain,0.4242,Resilience,0.3306,6
They fell from up there!,uncertain,0.4345,Trauma,0.8889,5
Maybe there are squirrels in here.,uncertain,0.3065,Resilience,0.7437,6
"Squirrels, really?",uncertain,0.3176,Resilience,0.0538,2
Or rats; they like acorns too.,uncertain,0.347,Resilience,0.6316,6
I'd rather have squirrels!,uncertain,0.3794,Resilience,0.7204,4
Where shall I put this?,uncertain,0.4184,Family,0.6214,5
"Here, I'll get the door for you.",uncertain,0.3455,Resilience,0.7384,7
"Satsuki, open up the kitchen.",uncertain,0.4016,Family,0.849,5
Okay.,neutral,0.7094,Family,0.8657,1
It's just round the back.,uncertain,0.4103,Family,0.7342,5
"Mei, come on!",very positive,0.7208,Personal Growth,0.7204,3
Wait for me!,very positive,0.4627,Personal Growth,0.8405,3
Hurry!,uncertain,0.4101,Family,0.7446,1
Ready?,uncertain,0.3487,Family,0.7586,1
Bathtubs.,uncertain,0.3604,Resilience,0.0178,1
There's nothing here.,very negative,0.4839,Loneliness,0.6746,3
That's the bathroom.,uncertain,0.3022,Resilience,0.1314,3
"Dad, there's something in here.",neutral,0.451,Family,0.9249,5
A squirrel?,very negative,0.7166,Resilience,0.3775,2
Dunno.,uncertain,0.3857,Personal Growth,0.251,1
"A bunch of black things, but not roaches or mice.",neutral,0.7164,Resilience,0.3602,10
Really?,uncertain,0.3086,Family,0.6704,1
Can you see them?,uncertain,0.415,Family,0.7261,4
I think they were dust bunnies.,very negative,0.5521,Trauma,0.0292,6
Dust bunnies?,uncertain,0.3668,Resilience,0.0066,2
Like in my picture book?,neutral,0.4697,Romantic Love,0.3062,5
That's right.,neutral,0.5056,Family,0.8355,2
Ghosts don't come out on days like this.,uncertain,0.4365,Resilience,0.2875,8
"When you walk into a dark room from outside, your eyes dim and the dust bunnies come out.",uncertain,0.4342,Trauma,0.5486,18
"Oh, I see.",uncertain,0.3866,Family,0.8514,3
"Come here, dust bunnies.",uncertain,0.2846,Personal Growth,0.3425,4
"Come out, come out, wherever you are!",very positive,0.4764,Family,0.8161,7
Let's get to work!,uncertain,0.2896,Personal Growth,0.7666,4
See if you can find how to get upstairs.,uncertain,0.4353,Family,0.7516,9
Get up there and open all the windows.,uncertain,0.3457,Family,0.8568,8
Sure!,very positive,0.5042,Family,0.8747,1
"I'm coming, too!",very positive,0.4862,Family,0.9497,3
Toilet!,very positive,0.5787,Personal Growth,0.0007,1
Not here!,uncertain,0.4491,Trauma,0.3244,2
Not here!,uncertain,0.4491,Trauma,0.3244,2
Not here!,uncertain,0.4491,Trauma,0.3244,2
Not here!,uncertain,0.4491,Trauma,0.3244,2
Not here!,uncertain,0.4491,Trauma,0.3244,2
Not here!,uncertain,0.4491,Trauma,0.3244,2
Nothing here!,very negative,0.5647,Loneliness,0.2249,2
Nothing!,very negative,0.558,Loneliness,0.362,1
"Mei, it's here!",very positive,0.6378,Family,0.7577,3
It's pitch black!,uncertain,0.2307,Trauma,0.3106,3
Dust bunnies...,uncertain,0.3669,Resilience,0.0101,2
Another acorn.,very negative,0.5811,Personal Growth,0.3811,2
"Come out, dust bunnies!",uncertain,0.27,Personal Growth,0.5637,4
"Are you there, Mr.",uncertain,0.3847,Personal Growth,0.6617,4
Dust Bunny?,uncertain,0.3685,Personal Growth,0.029,2
"One, two...",neutral,0.7328,Family,0.8719,2
"One, two...",neutral,0.7328,Family,0.8719,2
"Dad, there's definitely something here!",uncertain,0.3629,Family,0.9539,5
That's exciting!,uncertain,0.3317,Personal Growth,0.8016,2
I've always wanted to live in a haunted house.,uncertain,0.4462,Trauma,0.1058,9
"Oh, no!",very negative,0.5702,Family,0.8729,2
I'm coming!,very positive,0.5034,Personal Growth,0.9731,2
I got it.,uncertain,0.4078,Family,0.8017,3
Satsuki!,very positive,0.61,Friendship,0.7702,1
Mei.,uncertain,0.3352,Identity,0.8335,1
You're full of energy!,uncertain,0.3742,Family,0.8434,4
