text,sentiment,score
Okay.,neutral,0.5844
"My turn, my turn.",neutral,0.6585
I got one.,neutral,0.5021
"Great, but can you make it a little more challenging this time?",positive,0.5451
Okay.,neutral,0.5844
Check this out.,neutral,0.8391
I spy with my little eye...,neutral,0.7624
something yellow...,neutral,0.8375
"and round, and it eats dots.",neutral,0.6254
"Seriously, Ralph?",negative,0.6007
"Yeah, seriously.",neutral,0.6048
You're never gonna get it.,negative,0.6881
"Well, obviously, it's Pac-Man.",neutral,0.6098
"No, that's not...",neutral,0.5937
Why is that obvious?,negative,0.5614
Name one other thing in this whole arcade that is yellow and round and eats dots.,neutral,0.5581
I can name two things.,neutral,0.7027
Ms.,neutral,0.6034
Pac-Man and Baby Pac-Man.,neutral,0.7809
Boom!,positive,0.6967
I accept your apology.,neutral,0.5306
"Yeah, you're right.",neutral,0.4803
Okay.,neutral,0.5844
But was it Pac-Man?,neutral,0.8711
"Yeah, you got me.",neutral,0.5352
Knew it.,neutral,0.5259
"All right, riddle me this...",neutral,0.7824
do you or do you not think that Zangief waxes?,neutral,0.7333
No way.,negative,0.6397
Look at the guy.,neutral,0.6337
He looks like a yeti.,negative,0.5367
I don't know.,neutral,0.5667
"I mean, if the fur were confined to his chest, I might agree...",neutral,0.6124
but look at those two very specific tuffets of shin hair...,neutral,0.8446
poking out of his boots.,neutral,0.6804
"That does not just happen, Ralph.",neutral,0.5848
That is a choice.,neutral,0.6903
"You're totally right, kid.",positive,0.7269
He's baby smooth everywhere else.,neutral,0.6778
I rest my case.,neutral,0.7646
My mind is blown!,positive,0.9031
Let's go get a root beer.,positive,0.5144
"Okay, let's see what you got, kid.",neutral,0.8017
Nice one.,positive,0.9014
Okay.,neutral,0.5844
I think I got one in the chamber.,neutral,0.7758
Gross.,negative,0.8209
Thank you.,positive,0.853
"Hey, wanna sneak into Tron?",neutral,0.8663
Doesn't that game have a virus?,negative,0.7306
No.,neutral,0.4936
I'm sure they fixed it.,neutral,0.5507
I'm gonna beat my speed record!,positive,0.8555
"Hey, wait for me!",neutral,0.5602
Ralph.,neutral,0.6965
Yeah?,neutral,0.7381
I don't think they fixed the game.,negative,0.8235
No.,neutral,0.4936
Help!,neutral,0.6156
"Hey, Tron!",neutral,0.6561
Tronny!,neutral,0.5659
Tronny boy!,positive,0.5679
Help!,neutral,0.6156
"Do you realize we're basically just, like, zeroes and ones...",neutral,0.6862
floating around the universe like tiny specks of dust?,neutral,0.7671
"Like, doesn't the very nature of our existence make you wonder...",neutral,0.6876
if there's more to life than this?,neutral,0.6272
Why would I wonder if there's more to life when the life I got is perfect?,neutral,0.4585
"I mean, sure.",neutral,0.6437
Doesn't look so hot on paper.,negative,0.6794
I'm just a bad guy from some old video game who wrecks a building.,negative,0.8802
"And yeah, for 27 years, I was a total zero without any friends.",negative,0.751
"But now, I got a best friend...",positive,0.8514
who just happens to be the coolest kid in the whole arcade.,positive,0.9513
"Aw, thanks, pal.",positive,0.5875
Watch this.,neutral,0.7605
Home run!,positive,0.8321
"All right, let's go watch the sunrise.",positive,0.7161
"Are you really saying there's not one single, solitary thing...",neutral,0.5472
about your life that you would change?,neutral,0.8496
"Well, think about it.",neutral,0.7465
You and me get to goof off all night long.,positive,0.5304
"Litwak shows up, we go to work, we put in our hours.",neutral,0.8362
Then the arcade closes and we get to do it all over again.,neutral,0.6126
The only thing I might do different in that scenario...,neutral,0.8072
would be not having to go to work.,neutral,0.6242
"Other than that, I wouldn't change a thing.",neutral,0.7671
"Hey, where'd our sunrise go?",neutral,0.8664
"All right, let's get you plugged in.",neutral,0.5397
That's a plug-in alert.,neutral,0.7651
Litwak hasn't plugged in a new game in forever.,neutral,0.5096
Let's go see what it is!,positive,0.733
Yeah!,positive,0.7406
Excuse us.,neutral,0.5495
Excuse us.,neutral,0.5495
Minor emergency.,neutral,0.642
"Hey, Felix, Calhoun, what's getting plugged in?",neutral,0.8975
"Well, Ralph, Sonic thinks it's gonna be a new pinball machine.",neutral,0.7687
"What do you think, lady love?",neutral,0.8861
I'll bet you a shiny nickel it's a blood pressure machine.,neutral,0.7169
Kids love those things.,positive,0.8789
Please be a racing game.,neutral,0.6935
Please be a racing game.,neutral,0.6935
Please be a racing game.,neutral,0.6935
"""Whiffee""?",neutral,0.8292
"Or, ""Wifey""?",neutral,0.8121
"Well, it's either wiffle ball, or an arranged marriage game.",neutral,0.661
"It's actually pronounced ""Wi-Fi,"" Ralph.",neutral,0.7698
"Yeah, that's what I said.",neutral,0.6909
And Wi-Fi is the Internet...,neutral,0.6933
which is an online community where human beings go to shop...,neutral,0.8431
and play games and socialize.,neutral,0.769
Fun!,positive,0.9304
"Oh, no, it is not.",neutral,0.5439
"That sign right there says ""Wi-Fi."" What it should say is ""Die-Fi."" That's a little humor there.",neutral,0.5858
"But seriously, the Internet is nothing to laugh at.",negative,0.7875
"It is new, it is different, and therefore we should fear it.",neutral,0.5255
"So keep out, for Pete's sake, and get to work.",neutral,0.4613
The arcade's about to open.,neutral,0.7839
"Figures, we finally get something new plugged in...",positive,0.6003
and we're not even allowed to go in there.,negative,0.7995
Totally not fair.,negative,0.9325
A new racing game would've been cool.,positive,0.9369
Something wrong with your game?,negative,0.8823
"No, no.",negative,0.5318
It's just every bonus level's been unlocked.,neutral,0.5959
I know every shortcut.,neutral,0.5979
"Man, I'd kill for even just a new track.",neutral,0.4833
New track?,neutral,0.8724
"You already got, like, three choices.",neutral,0.7696
"Yeah, I know, but don't you ever wish something new and different...",neutral,0.5897
would happen in your game?,neutral,0.8467
Nope.,neutral,0.4866
