text,sentiment,sentiment_score,theme,theme_score,length
In the beginning...,neutral,0.4577,Family,0.8134,3
there was only ocean...,uncertain,0.3569,Resilience,0.023,4
until the mother island emerged.,uncertain,0.3064,Resilience,0.7074,5
Te Fiti.,uncertain,0.2579,Family,0.9795,2
Her heart held the greatest power ever known.,very positive,0.712,Family,0.8591,8
It could create life itself.,uncertain,0.4163,Personal Growth,0.6628,5
And Te Fiti shared it with the world.,very positive,0.4826,Family,0.8501,8
But in time...,neutral,0.5079,Personal Growth,0.9112,3
some began to seek Te Fiti's heart.,neutral,0.5145,Romantic Love,0.6973,7
They believed if they could possess it...,uncertain,0.3075,Resilience,0.573,7
the great power of creation would be theirs.,uncertain,0.363,Family,0.5394,8
And one day...,uncertain,0.4381,Family,0.7246,3
the most daring of them all...,very positive,0.5227,Personal Growth,0.2962,6
voyaged across the vast ocean to take it.,uncertain,0.4072,Resilience,0.5886,8
He was a demigod of the wind and sea.,very negative,0.4869,Resilience,0.2209,9
He was a warrior.,uncertain,0.4062,Resilience,0.1068,4
A trickster.,very negative,0.5408,Family,0.2452,2
A shapeshifter who could change form...,uncertain,0.2368,Family,0.0497,6
with the power of his magical fish hook.,positive,0.4984,Resilience,0.2919,8
And his name...,uncertain,0.2751,Identity,0.6547,3
was Maui.,uncertain,0.3091,Resilience,0.7172,2
"But without her heart, Te Fiti began to crumble...",uncertain,0.4264,Trauma,0.9435,9
giving birth to a terrible darkness.,very negative,0.7797,Loneliness,0.9161,6
Maui tried to escape...,uncertain,0.296,Trauma,0.7765,4
but was confronted by another who sought the heart.,uncertain,0.3789,Personal Growth,0.7302,9
Te Kā!,uncertain,0.4384,Family,0.7963,2
A demon of earth and fire.,very positive,0.66,Trauma,0.0052,6
Maui was struck from the sky...,uncertain,0.3404,Trauma,0.9563,6
never to be seen again.,very negative,0.6988,Trauma,0.4498,5
And his magical fish hook and the heart of Te Fiti...,very positive,0.6288,Family,0.5673,11
were lost to the sea.,uncertain,0.4241,Grief,0.6542,5
"Where, even now...",neutral,0.4709,Resilience,0.7477,3
"1,000 years later...",uncertain,0.3988,Family,0.7682,3
Te Kā and the demons of the deep...,uncertain,0.2913,Trauma,0.0231,8
still hunt for the heart.,very positive,0.5889,Personal Growth,0.5547,5
Hiding in a darkness that will continue to spread...,uncertain,0.3179,Loneliness,0.9769,9
chasing away our fish...,uncertain,0.3331,Trauma,0.5,4
draining the life from island after island...,uncertain,0.4022,Trauma,0.714,7
until every one of us is devoured...,very positive,0.4604,Family,0.7806,7
by the bloodthirsty jaws...,uncertain,0.4224,Trauma,0.2281,4
of inescapable death!,very negative,0.5023,Trauma,0.0783,3
But one day...,neutral,0.4942,Family,0.7996,3
the heart will be found...,uncertain,0.4054,Romantic Love,0.8033,5
by someone who will journey beyond our reef...,uncertain,0.3392,Personal Growth,0.9424,8
find Maui...,uncertain,0.344,Personal Growth,0.7447,2
deliver him across the great ocean...,uncertain,0.4163,Resilience,0.3791,6
to restore Te Fiti's heart...,uncertain,0.334,Family,0.9185,5
and save us all.,very positive,0.6182,Resilience,0.5765,4
"Thank you, Mother.",very positive,0.5555,Family,0.9915,3
That's enough.,neutral,0.6333,Family,0.6976,2
Papa.,uncertain,0.4419,Family,0.8266,1
No one goes outside the reef.,very negative,0.5305,Resilience,0.4617,6
We are safe here.,uncertain,0.3989,Family,0.9281,4
There is no darkness.,very negative,0.4884,Family,0.848,4
There are no monsters.,very negative,0.6937,Resilience,0.6148,4
Monsters!,very positive,0.4509,Trauma,0.0324,1
"There's no monsters, no monsters...",very negative,0.5502,Family,0.4595,5
It's the darkness!,uncertain,0.401,Loneliness,0.9739,3
"No, there is nothing beyond our reef, but storms and rough seas.",neutral,0.5157,Trauma,0.3021,12
I'm gonna throw up.,uncertain,0.4264,Family,0.7492,4
As long as we stay on our very safe island...,uncertain,0.2662,Resilience,0.7827,10
...we'll be fine.,neutral,0.5834,Family,0.9363,3
The legends are true.,very positive,0.4673,Family,0.5147,4
Someone will have to go.,neutral,0.5111,Family,0.7072,5
"Mother, Motunui is paradise.",very positive,0.7143,Family,0.4323,4
Who would want to go anywhere else?,uncertain,0.3517,Personal Growth,0.3044,7
"Shoo, shoo!",very positive,0.5087,Trauma,0.3891,2
Moana!,very positive,0.5244,Personal Growth,0.0756,1
"There you are, Moana.",uncertain,0.326,Personal Growth,0.5702,4
What are you doing?,neutral,0.5407,Personal Growth,0.5829,4
You scared me.,uncertain,0.2778,Trauma,0.9746,3
What?,uncertain,0.396,Family,0.3908,1
I wanna's go back.,uncertain,0.3027,Family,0.652,4
"I know, I know.",neutral,0.5617,Family,0.7063,4
But you don't go out there.,uncertain,0.2807,Family,0.6045,6
It's dangerous.,very negative,0.5892,Trauma,0.6214,2
"Moana, come on.",uncertain,0.3338,Personal Growth,0.4048,3
Let's go back to the village.,uncertain,0.4055,Resilience,0.6668,6
You are the next great chief of our people.,very positive,0.6125,Personal Growth,0.6713,9
"And you will do wondrous things, my little minnow.",uncertain,0.4325,Resilience,0.8662,9
"Oh, yes.",uncertain,0.4069,Family,0.8729,2
"But first, you must learn where you're meant to be.",neutral,0.4532,Personal Growth,0.8576,10
"Moana Make way, make way Moana, it's time you knew The village of Motunui is all you need The dancers are practicing They dance to an ancient song Who needs a new song This old one's all we need This tradition is our mission And Moana, there's so much to do Don't trip on the taro root That's all you need We share everything we make We joke and we weave our baskets The fishermen come back from the sea I wanna see Don't walk away Moana, stay on the ground now Our people will need a chief And there you are There you are There comes a day When you're gonna look around And realize happiness is Where you are Consider the coconut The what Consider its tree We use each part of the coconut It's all we need We make our nets from the fibers The water is sweet inside We use the leaves to build fires We cook up the meat inside Consider the coconuts The trunks and the leaves The island gives us what we need And no one leaves That's right, we stay We're safe and we're well-provided And when we look to the future There you are You'll be okay In time you'll learn just as I did You must find happiness right where you are I like to dance with the water The undertow and the waves The water is mischievous Ha!",very positive,0.5326,Personal Growth,0.9782,239
"I like how it misbehaves The village may think I'm crazy Or say that I drift too far But once you know what you like Well, there you are You are your father's daughter Stubbornness and pride Mind what he says but remember You may hear a voice inside And if the voice starts to whisper To follow the farthest star Moana, that voice inside is who you are Dad!",uncertain,0.3343,Family,0.9748,70
I was only looking at the boats.,uncertain,0.3708,Resilience,0.2002,7
I wasn't gonna get on 'em.,negative,0.4855,Family,0.6573,6
Come on.,uncertain,0.4016,Family,0.8255,2
There's something I need to show you.,neutral,0.7143,Resilience,0.6194,7
I've wanted to bring you here from the moment you opened your eyes.,very positive,0.4821,Family,0.8822,13
This is a sacred place.,uncertain,0.3697,Family,0.0061,5
A place of chiefs.,uncertain,0.439,Resilience,0.0062,4
There will come a time...,uncertain,0.4338,Family,0.5648,5
when you will stand on this peak and place a stone on this mountain.,uncertain,0.4148,Personal Growth,0.6078,14
Like I did.,neutral,0.5504,Personal Growth,0.8166,3
Like my father did.,uncertain,0.3939,Family,0.9921,4
"And his father, and every chief that has ever been.",very positive,0.7041,Family,0.9986,10
And on that day...,uncertain,0.3952,Family,0.7704,4
when you add your stone...,uncertain,0.3259,Resilience,0.4251,5
you will raise this whole island higher.,uncertain,0.3845,Resilience,0.8717,7
"You are the future of our people, Moana.",very positive,0.631,Personal Growth,0.8571,8
And they are not out there.,uncertain,0.4038,Loneliness,0.6568,6
They are right here.,neutral,0.5069,Family,0.8307,4
It's time to be who they need you to be.,neutral,0.5255,Family,0.8396,10
"We make our nets from the fibers We weave our nets from the fibers The water is sweet inside A real tasty treat inside We use the leaves to build fires We sing these songs in our choirs To cook up the meat inside We have mouths to feed inside The village believes in us That's right The village believes The island gives us what we need And no one leaves So here I'll stay My home, my people beside me And when I think of tomorrow There we are I'll lead the way I'll have my people to guide me We'll build our future together Where we are 'Cause every path leads ya back to Where you are You can find happiness right Where you are Where you are And every storm, this roof leaks, no matter how many fronds I add.",very positive,0.4803,Family,0.9657,143
Fixed!,uncertain,0.3042,Family,0.8884,1
Not the fronds.,negative,0.4751,Resilience,0.138,3
Wind shifted the post.,uncertain,0.3145,Personal Growth,0.6669,4
That's good pork!,uncertain,0.41,Resilience,0.1627,3
I didn't mean...,uncertain,0.4286,Trauma,0.7027,3
I wasn't...,uncertain,0.4024,Personal Growth,0.592,2
What?,uncertain,0.396,Family,0.3908,1
"They're calling me, so I gotta...",uncertain,0.2707,Family,0.863,6
Bye!,very positive,0.4797,Family,0.7205,1
You're doing great.,uncertain,0.4013,Personal Growth,0.8878,3
Is it done yet?,neutral,0.605,Family,0.4811,4
So close.,uncertain,0.2868,Family,0.8816,2
I'm curious about that chicken eating the rock.,uncertain,0.3597,Resilience,0.4767,8
He seems to lack the basic intelligence required for pretty much everything.,negative,0.4802,Family,0.8153,12
Should we maybe just cook him?,uncertain,0.3196,Family,0.5968,6
Sometimes our strengths lie beneath the surface.,uncertain,0.4279,Resilience,0.9142,7
Far beneath in some cases.,uncertain,0.4163,Trauma,0.4171,5
But I'm sure there's more to Heihei than meets the eye.,uncertain,0.3264,Identity,0.4976,11
It's the harvest.,uncertain,0.3159,Family,0.002,3
"This morning, I was husking the coconuts and...",uncertain,0.4151,Personal Growth,0.8129,8
Well...,uncertain,0.4194,Family,0.7545,1
we should clear the diseased trees and we will start a new grove.,uncertain,0.3159,Resilience,0.5673,13
There.,neutral,0.639,Family,0.8052,1
"Thanks, Moana.",uncertain,0.3515,Friendship,0.7143,2
She's doing great.,uncertain,0.4448,Family,0.9675,3
This suits you.,uncertain,0.4072,Personal Growth,0.859,3
Chief?,uncertain,0.2914,Identity,0.2579,1
There's something you need to see.,neutral,0.7186,Resilience,0.3811,6
Our traps in the east lagoon...,uncertain,0.3665,Resilience,0.3493,6
they're pulling up less and less fish.,negative,0.5159,Family,0.5249,7
Then we'll rotate the fishing grounds.,uncertain,0.4387,Resilience,0.2346,6
We have.,neutral,0.4773,Family,0.898,2
There's no fish.,very negative,0.7232,Resilience,0.2135,3
Oh.,uncertain,0.3785,Family,0.8249,1
Then we'll fish the far side of the island.,uncertain,0.2955,Family,0.6726,9
We tried.,uncertain,0.3181,Family,0.7809,2
The windward side.,neutral,0.5285,Resilience,0.7604,3
"And the leeward side, the shallows, the channel.",neutral,0.5511,Resilience,0.7002,8
We've tried the whole lagoon.,uncertain,0.2493,Resilience,0.156,5
They're just gone.,very negative,0.4664,Family,0.7984,3
Have you tried using a different bait?,uncertain,0.4348,Family,0.1379,7
I don't think it's the bait.,uncertain,0.3838,Family,0.1157,6
There's no fish.,very negative,0.7232,Resilience,0.2135,3
It seems like it's getting worse and worse.,negative,0.4883,Family,0.7388,8
"Of course, I understand you have reason for concern.",uncertain,0.3937,Empathy,0.8125,9
I will talk to the council.,neutral,0.571,Resilience,0.5908,6
I'm sure we...,neutral,0.5624,Family,0.8091,3
What if we fish beyond the reef?,uncertain,0.3935,Resilience,0.2925,7
No one goes beyond the reef.,very negative,0.524,Resilience,0.1021,6
I know.,neutral,0.5486,Family,0.7759,2
But if there are no fish in the lagoon...,neutral,0.4967,Resilience,0.4267,9
Moana.,uncertain,0.2953,Personal Growth,0.0478,1
And there's a whole ocean.,neutral,0.5366,Resilience,0.2946,5
We have one rule.,neutral,0.7062,Family,0.3098,4
"An old rule, when there were fish.",uncertain,0.3105,Resilience,0.0063,7
A rule that keeps us safe...,uncertain,0.335,Resilience,0.3102,6
"But Dad, I...",uncertain,0.4259,Family,0.9958,3
...instead of endangering our people so you can run right back to the water.,uncertain,0.4251,Family,0.6433,14
Every time I think you're past this...,uncertain,0.3907,Trauma,0.631,7
No one goes beyond the reef!,very negative,0.6208,Resilience,0.037,6
"Well, it's not like you said it in front of your dad.",uncertain,0.4174,Family,0.9616,12
Standing on a boat.,neutral,0.4933,Resilience,0.6212,4
"I didn't say go beyond the reef, because I want to be on the ocean.",negative,0.4526,Personal Growth,0.2373,15
But you still do.,uncertain,0.3274,Resilience,0.82,4
He's hard on you because...,uncertain,0.319,Family,0.626,5
Because he doesn't get me.,very negative,0.5248,Loneliness,0.7847,5
Because he was you.,uncertain,0.3575,Identity,0.9852,4
Drawn to the ocean.,very negative,0.5737,Resilience,0.0736,4
Down by the shore.,uncertain,0.3037,Resilience,0.6364,4
"He took a canoe, Moana.",uncertain,0.2788,Personal Growth,0.38,5
He crossed the reef...,uncertain,0.2645,Trauma,0.7976,4
and found an unforgiving sea.,uncertain,0.3542,Trauma,0.872,5
Waves like mountains.,uncertain,0.3982,Resilience,0.4235,3
His best friend begged to be on that boat.,uncertain,0.2952,Family,0.9689,9
Your dad couldn't save him.,very negative,0.5353,Family,0.9932,5
He's hoping he can save you.,uncertain,0.2695,Empathy,0.5621,6
Sometimes...,neutral,0.4987,Personal Growth,0.7043,1
"who we wish we were, what we wish we could do...",uncertain,0.4167,Personal Growth,0.9289,11
it's just not meant to be.,negative,0.5562,Trauma,0.4693,6
"I've been staring at the edge of the water Long as I can remember Never really knowing why I wish I could be the perfect daughter But I come back to the water No matter how hard I try Every turn I take Every trail I track Every path I make Every road leads back To the place I know Where I cannot go Where I long to be See the line where the sky meets the sea It calls me And no one knows How far it goes If the wind in my sail on the sea Stays behind me One day I'll know If I go, there's just no telling how far I'll go I know everybody on this island Seems so happy on this island Everything is by design I know everybody on this island Has a role on this island So maybe I can roll with mine I can lead with pride I can make us strong I'll be satisfied If I play along But the voice inside Sings a different song What is wrong with me See the light as it shines on the sea It's blinding But no one knows How deep it goes And it seems like it's calling out to me So come find me And let me know What's beyond that line Will I cross that line The line where the sky meets the sea It calls me And no one knows How far it goes If the wind in my sail on the sea stays behind me One day I'll know How far I'll go Whoa.",very positive,0.5643,Personal Growth,0.951,266
"We're okay, Pua.",neutral,0.4824,Family,0.9251,3
I can do this.,neutral,0.534,Resilience,0.8584,4
There's more fish beyond the reef.,uncertain,0.3822,Resilience,0.1283,6
There's more beyond the reef.,uncertain,0.3426,Resilience,0.2556,5
Not so bad.,neutral,0.4546,Family,0.8538,3
Pua!,very positive,0.5039,Family,0.7197,1
Whatever just happened...,uncertain,0.4127,Trauma,0.5748,3
blame it on the pig.,uncertain,0.4212,Trauma,0.2847,5
Gramma.,uncertain,0.3978,Family,0.9788,1
Are you gonna tell Dad?,uncertain,0.3778,Family,0.9951,5
I'm his mom.,very positive,0.5854,Family,0.9958,3
I don't have to tell him anything.,uncertain,0.4312,Resilience,0.7352,7
He was right.,uncertain,0.3624,Family,0.8181,3
About going out there.,neutral,0.4757,Personal Growth,0.6348,4
It's time to put my stone on the mountain.,uncertain,0.3226,Personal Growth,0.4039,9
Okay.,neutral,0.7094,Family,0.8657,1
"Well, then, head on back.",neutral,0.4864,Family,0.7919,5
Put that stone up there.,uncertain,0.361,Family,0.7114,5
Why aren't you trying to talk me out of it?,uncertain,0.332,Family,0.7596,10
You said that's what you wanted.,neutral,0.5258,Family,0.7949,6
It is.,neutral,0.709,Family,0.9153,2
When I die...,uncertain,0.36,Grief,0.3352,3
I'm going to come back as one of these.,neutral,0.4533,Identity,0.4993,9
Or I chose the wrong tattoo.,very negative,0.5504,Family,0.3909,6
Why are you acting weird?,uncertain,0.3177,Trauma,0.3033,5
I'm the village crazy lady.,very positive,0.4732,Identity,0.9101,5
That's my job.,uncertain,0.4068,Resilience,0.4433,3
"If there's something you want to tell me, just tell me!",likely_emotive,0.4776,Family,0.5691,11
Is there something you wanna tell me?,neutral,0.5974,Empathy,0.4519,7
Is there something you want to hear?,neutral,0.6199,Resilience,0.3398,7
You've been told all our people's stories...,uncertain,0.3532,Family,0.5875,7
but one.,neutral,0.6191,Family,0.5407,2
What is this place?,uncertain,0.3949,Resilience,0.0176,4
Do you really think our ancestors stayed within the reef?,uncertain,0.2773,Family,0.8617,10
What's in there?,neutral,0.5467,Personal Growth,0.1889,3
The answer to the question you keep asking yourself.,uncertain,0.3701,Resilience,0.5586,9
Who are you meant to be?,uncertain,0.3447,Identity,0.8349,6
Go inside...,neutral,0.5254,Personal Growth,0.7544,2
bang the drum...,uncertain,0.3875,Resilience,0.2235,3
and find out.,neutral,0.4963,Family,0.6359,3
Whoa.,uncertain,0.4024,Family,0.7479,1
Oh.,uncertain,0.3785,Family,0.8249,1
Bang the drum.,uncertain,0.2596,Resilience,0.4705,3
We read the wind and the sky When the sun is high We sail the length of the seas On the ocean breeze At night we name every star We know where we are We know who we are Who we are We set a course to find A brand new island everywhere we roam We keep our island in our mind And when it's time to find home We know the way We are explorers reading every sign We tell the stories of our elders In a never-ending chain We know the way We were voyagers.,very positive,0.4972,Identity,0.9946,97
We were voyagers!,very positive,0.6224,Personal Growth,0.1483,3
We were voyagers!,very positive,0.6224,Personal Growth,0.1483,3
We were voyagers!,very positive,0.6224,Personal Growth,0.1483,3
We were voyagers!,very positive,0.6224,Personal Growth,0.1483,3
Why'd we stop?,uncertain,0.3288,Family,0.5404,3
Maui.,uncertain,0.3212,Resilience,0.6943,1
"When he stole from the mother island, darkness fell.",uncertain,0.4086,Trauma,0.7637,9
Te Kā awoke.,very negative,0.475,Family,0.8993,3
Monsters lurked and boats stopped coming back.,uncertain,0.4019,Trauma,0.4618,7
"To protect our people, the ancient chiefs forbid voyaging...",uncertain,0.4264,Family,0.6864,9
and now we have forgotten who we are.,very negative,0.455,Identity,0.7627,8
And the darkness has continued to spread...,uncertain,0.4217,Loneliness,0.8814,7
chasing away our fish...,uncertain,0.3331,Trauma,0.5,4
draining the life...,uncertain,0.3979,Trauma,0.3893,3
from island after island.,uncertain,0.4376,Resilience,0.697,4
Our island.,very positive,0.5768,Resilience,0.8755,2
"But, one day...",neutral,0.4947,Family,0.7871,3
"someone will journey beyond our reef, find Maui...",uncertain,0.3843,Personal Growth,0.6861,8
deliver him across the great ocean...,uncertain,0.4163,Resilience,0.3791,6
to restore the heart of Te Fiti.,uncertain,0.4059,Family,0.8755,7
I was there that day.,neutral,0.6263,Family,0.8858,5
The ocean chose you.,very positive,0.4508,Resilience,0.5088,4
I thought it was a dream.,very positive,0.6457,Family,0.4376,6
Nope!,very negative,0.6549,Family,0.7436,1
Our ancestors believed Maui lies there...,uncertain,0.2709,Family,0.5763,6
at the bottom of his hook.,uncertain,0.3565,Resilience,0.4655,6
"Follow it, and you will find him.",uncertain,0.4082,Resilience,0.5008,7
But why would it choose me?,uncertain,0.3677,Personal Growth,0.3639,6
I don't even know how to make it past the reef.,uncertain,0.3324,Trauma,0.5531,11
