text,sentiment,score
"In sixteen hundred seven We sailed the open sea For glory, God and gold and the Virginia Company For the New World is like heaven And we'll all be rich and free Or so we have been told by the Virginia Company So we have been told by the Virginia Company For glory, God and gold and the Virginia Company Ready to hoist the cannon?",positive,0.6219
- Right!,neutral,0.5602
"Hey, look.",neutral,0.635
Is that Smith?,neutral,0.8553
"That's him, all right.",neutral,0.5554
The old sea dog.,neutral,0.749
Captain John Smith.,neutral,0.7919
I've heard some amazing stories about him.,positive,0.959
Are you coming on this voyage too?,neutral,0.9261
"Of course he is, you half-wit.",negative,0.7373
You can't fight Indians without John Smith.,neutral,0.4935
That's right.,neutral,0.569
I'm not about to let you boys have all the fun.,negative,0.6956
"On the beaches of Virginny There's diamonds like debris There silver rivers flow and gold you pick right off a tree With a nugget for my Winnie And another one for me And all the rest will go to the Virginia Company To glory, God and gold And the Virginia Company ...",neutral,0.6054
Haul on the brace!,neutral,0.7725
"Come on, come on!",positive,0.5096
Do your best!,positive,0.8349
Watch out!,neutral,0.6697
Faster!,positive,0.5468
She's taking on more water!,neutral,0.7234
Look out!,neutral,0.6437
John!,neutral,0.4877
Get down here!,neutral,0.6116
The cannons are breaking loose!,negative,0.4471
Reef the topsails!,neutral,0.6404
"- Yes, sir!",positive,0.7264
Steady on your course.,neutral,0.7964
"It's all right, Thomas.",positive,0.5564
We'll get her tied off.,neutral,0.5575
"Say your prayers, men!",neutral,0.6797
"Thomas, watch it!",neutral,0.5412
Help!,neutral,0.6156
Man overboard!,negative,0.5087
Help!,neutral,0.6156
Stay your course!,neutral,0.545
He's lost!,negative,0.7767
Help!,neutral,0.6156
Pull the pins!,neutral,0.7366
"Aye, sir!",neutral,0.5846
Smith!,neutral,0.5035
Smith!,neutral,0.5035
Are you crazy?,negative,0.6039
"Hang on, Thomas!",neutral,0.717
I've got you!,positive,0.7878
Quick!,neutral,0.5481
The rope!,neutral,0.6972
Heave!,neutral,0.5094
"Come on, lads!",positive,0.6424
Pull!,neutral,0.5971
Pull!,neutral,0.5971
Pull!,neutral,0.5971
Put your back into it!,positive,0.5607
- Pull!,neutral,0.7236
Pull!,neutral,0.5971
- Hang on!,neutral,0.6829
...,neutral,0.6204
"There, my lucky lads.",positive,0.7246
"Well, that was refreshing.",positive,0.9117
"Well done, Smith.",positive,0.841
"Of course, you'd all do the same for me.",neutral,0.5088
"Oh, sure, sure.",neutral,0.4848
-Of course we would.,neutral,0.5825
"Sure, yes.",positive,0.8083
"Yeah, we would.",neutral,0.5328
Absolutely!,positive,0.7741
Trouble on deck?,neutral,0.8164
Governor Ratcliffe.,neutral,0.8248
"Thomas fell overboard, sir.",negative,0.5981
- Thank heavens he's been successfully retrieved.,positive,0.876
"Well done, Smith.",positive,0.841
"Thank you, sir.",positive,0.8905
"Don't lose heart, men.",neutral,0.6644
It won't be long before we reach the New World.,positive,0.5692
And remember what awaits us there.,neutral,0.7483
"Freedom, prosperity...",positive,0.654
the adventure of our lives.,neutral,0.6017
"You're the finest crew England has to offer, and nothing not wind nor rain nor a thousand bloodthirsty savages shall stand in our way.",positive,0.5665
"Carry on, men!",neutral,0.5621
"A stirring oration, sir.",neutral,0.7969
I'm sure the men were most exhilarated.,positive,0.9374
"Let us hope so I'll need those witless peasants to dig up my gold, won't I?",neutral,0.502
"This New World's gonna be great, John.",positive,0.9736
"I'm gonna get a pile of gold, build me a big house...",positive,0.6507
"and if any Indian tries to stop me, I'll blast him.",negative,0.8001
"You just worry about that fortune of yours, Thomas.",neutral,0.6397
Leave the savages to me.,negative,0.6968
You think they'll give us much trouble?,negative,0.5996
Not as much trouble as Smith'll give them.,neutral,0.5832
We'll kill ourselves an Injun Or maybe two or three We're stalwart men and bold of the Virginia Company What do you suppose the New World will look like?,neutral,0.5824
"Like all the others, I suppose.",neutral,0.6397
"I've seen hundreds of new worlds, Thomas.",positive,0.522
What could possibly be different about this one?,neutral,0.7391
"It's glory, God and gold And the Virginia Company Steady as the beating drum Singing to the cedar flute Seasons go and seasons come Bring the corn and bear the fruit By the waters sweet and clean Where the mighty sturgeon lives Plant the squash and reap the bean All the Earth our mother gives Oh, great spirit, hear our song Help us keep the ancient ways Keep the sacred fire strong Walk in balance all our days Seasons go and seasons come steady as the beating drum Plum to seed to bud to plum Steady as the beating drum ...",positive,0.5583
It's good to be home.,positive,0.9688
The Massawomecks are defeated!,negative,0.6633
"With the help of our brothers, our villages are safe again.",positive,0.9156
Your return has brought much joy to the village.,positive,0.9779
Look at all the smiling faces.,positive,0.9245
"Yes, but there's one smiling face I don't see.",neutral,0.5716
Where is my daughter?,negative,0.552
You know Pocahontas.,neutral,0.7791
She has her mother's spirit.,neutral,0.8058
She goes wherever the wind takes her.,neutral,0.8171
...,neutral,0.6204
Pocahontas!,neutral,0.6518
Your father's back!,positive,0.613
Come down here!,neutral,0.5436
"He's back, Flit.",neutral,0.5143
"Come on, Meeko!",positive,0.5578
...,neutral,0.6204
No!,neutral,0.4416
Not that way.,negative,0.5158
...,neutral,0.6204
Show-off.,neutral,0.671
...,neutral,0.6204
Uh-oh!,negative,0.6597
...,neutral,0.6204
Pocahontas?,neutral,0.8459
Pocahontas!,neutral,0.6518
Are you all right?,neutral,0.8301
"Well, you better be all right because I'm not coming in after you!",neutral,0.5265
Don't you think we're getting a-- a little old for these games?,negative,0.6214
...,neutral,0.6204
Help me turn this thing over.,neutral,0.7016
What were you doing up there?,neutral,0.8681
Thinking.,neutral,0.7397
Meeko!,neutral,0.644
About the dream again?,neutral,0.8816
Have you figured it out yet?,neutral,0.796
I know it means something...,neutral,0.5115
I just don't know what.,negative,0.657
You should ask your father about it.,neutral,0.8568
Maybe I should.,neutral,0.7269
"Come on, Flit.",neutral,0.6677
Quit playing around.,negative,0.5605
We have to get back.,neutral,0.5955
...faced a determined enemy.,neutral,0.5318
The battle lasted from the rising of the sun until the evening shadows fell.,neutral,0.8034
"Our warriors fought with courage, but none as bravely as Kocoum...",neutral,0.5397
for he attacked with the fierce strength of the bear.,neutral,0.7016
He has proven himself to be the greatest of warriors...,positive,0.8953
Oh.,neutral,0.5443
he is so handsome.,positive,0.9836
and the finest among us...,positive,0.6673
Hmph.,neutral,0.6791
I especially love his smile.,positive,0.9867
destroying every enemy in his path.,negative,0.6131
Tonight we will feast in his honour.,positive,0.8318
My daughter.,neutral,0.7033
"Wing-gap-o, Father.",neutral,0.772
Seeing you gives me great joy.,positive,0.9835
I'm so glad you've come home safely.,positive,0.9837
Come with me.,neutral,0.6166
We have much to talk about.,neutral,0.7439
I want to hear everything you've been doing.,neutral,0.7512
"Father, for many nights now I've been having a very strange dream.",neutral,0.5232
I think it's telling me something's about to happen.,neutral,0.8519
Something exciting.,positive,0.9417
"Yes, something exciting is about to happen.",positive,0.9828
Really?,neutral,0.6008
What is it?,neutral,0.75
Kocoum has asked to seek your hand in marriage.,neutral,0.9396
Marry Kocoum?,neutral,0.8825
I told him it would make my heart soar.,positive,0.8235
But he's so serious.,neutral,0.6179
"My daughter, Kocoum will make a fine husband.",positive,0.9317
He is loyal and strong and will build you a good house with sturdy walls.,positive,0.9064
"With him, you will be safe from harm.",positive,0.5763
"Father, I think my dream is pointing me down another path.",neutral,0.8231
This is the right path for you.,positive,0.8174
"But why can't I choose-- Pocahontas, come with me.",neutral,0.6113
You are the daughter of the chief.,neutral,0.8556
It is time to take your place among our people.,neutral,0.7887
Even the wild mountain stream...,neutral,0.7783
must someday join the big river.,neutral,0.5738
As the river cuts his path Though the river's proud and strong He will choose the smoothest course That's why rivers live so long.,positive,0.6289
They're steady As the steady beating drum Your mother wore this for our wedding.,neutral,0.6829
It was her dream to see you wear it at your own.,neutral,0.6264
It suits you.,neutral,0.5891
He wants me to be steady like the river.,neutral,0.6691
But it's not steady at all.,negative,0.6394
"What I love most about rivers is you can't step in the same river twice The water's always changing always flowing But people, I guess can't live like that We all must pay a price To be safe we lose our chance of ever knowing What's around the river bend Waiting just around the river bend I look once more just around the river bend Beyond the shore where the gulls fly free Don't know what for What I dream the day might send just around the river bend For me Coming for me I feel it there beyond those trees or right behind these waterfalls Can I ignore that sound of distant drumming For a handsome sturdy husband who builds handsome, sturdy walls And never dreams that something might be coming just around the river bend just around the river bend I look once more just around the river bend Beyond the shore Somewhere past the sea Don't know what for Why do all my dreams extend just around the river bend just around the river bend Should I choose the smoothest course Steady as the beating drum Should I marry Kocoum Is all my dreaming at an end Or do you still Wait for me Dream giver just around the river Bend ...",neutral,0.5784
Is that my Pocahontas?,neutral,0.881
"Grandmother Willow, I need to talk to you.",neutral,0.8889
"Good morning, child.",positive,0.8603
I was hoping you'd visit today.,positive,0.4974
Oh!,neutral,0.5628
"Why, your mother's necklace!",neutral,0.6655
That's what I wanted to talk to you about.,neutral,0.518
My father wants me to marry Kocoum.,neutral,0.8271
Kocoum?,neutral,0.7207
But he's so serious.,neutral,0.6179
I know.,neutral,0.5132
My father thinks it's the right path for me.,positive,0.7283
"But lately, I've been having this dream and I think it's-- Oh, a dream!",neutral,0.6451
Let's hear all about it.,neutral,0.7863
