text,sentiment,score
"All right, everyone!",positive,0.8346
This...,neutral,0.7264
is a stick-up!,neutral,0.604
Don't anybody move!,neutral,0.585
"Now, empty that safe!",negative,0.4828
"Money, money, money!",positive,0.504
Stop it!,negative,0.5914
"Stop it, you mean, old potato!",negative,0.8455
"Quiet, Bo Peep, or your sheep get run over!",negative,0.607
Help!,neutral,0.6156
Baa!,neutral,0.5779
Help us!,positive,0.5855
"Oh, no, not my sheep!",negative,0.7435
Somebody do something!,neutral,0.5109
Reach for the sky!,positive,0.6698
"Oh, no!",negative,0.6841
Sheriff Woody!,neutral,0.752
"I'm here to stop you, One-Eyed Bart.",neutral,0.6982
How'd you know it was me?,neutral,0.8011
Are you gonna come quietly?,neutral,0.8951
"You can't touch me, Sheriff!",neutral,0.511
I brought my attack dog with the built-in force field.,neutral,0.8266
"Well, I brought my dinosaur who eats force-field dogs.",negative,0.4871
"Yipe, yipe, yipe, yipe!",positive,0.67
"You're going to jail, Bart!",negative,0.8026
Say goodbye to the wife and Tater Tots.,neutral,0.7023
"You saved the day again, Woody.",positive,0.9398
You're my favourite deputy.,positive,0.9282
"You've got a friend in me You've got a friend in me Come on, let's wrangle up the cattle.",neutral,0.6213
"When the road looks rough ahead And you're miles and miles from your nice, warm bed Round 'em up, cowboy!",neutral,0.5506
"Just remember what your old pal said Boy, you've got a friend in me Yee-haw!",positive,0.6699
"Yeah, you've got a friend in me Hey, cowboy!",positive,0.6572
"Some other folks might be a little bit smarter than I am Big and stronger too Come on, Woody.",positive,0.5561
"Maybe But none of them will ever love you the way I do It's me and you, boy And as the years go by Whoa!",neutral,0.5041
Whoa!,neutral,0.4812
Our friendship will never die You're gonna see It's our destiny You've got a friend in me All right!,positive,0.8942
"Yeah, you've got a friend in me Score!",positive,0.7711
You got a friend in me Wow!,positive,0.9053
Cool!,positive,0.9343
What do you think?,neutral,0.809
"Oh, this looks great, Mom!",positive,0.9909
"Okay, birthday boy...",neutral,0.5525
We saw that at the store!,neutral,0.5655
I asked you for it!,neutral,0.5727
I hope I have enough places.,neutral,0.6208
"Wow, look at that!",positive,0.918
That's so...,neutral,0.5979
"One, two...",neutral,0.8069
Four.,neutral,0.569
"Oh, my gosh, you got...",negative,0.5136
"Yeah, I think that's gonna be enough.",positive,0.7028
Could we leave this up 'til we move?,neutral,0.8762
"Well, sure!",positive,0.7658
We can leave it up.,neutral,0.736
Yeah!,positive,0.7406
Now go get Molly.,neutral,0.7752
Your friends are gonna be here any minute.,neutral,0.69
Okay.,neutral,0.5844
It's party?,neutral,0.8241
"time, Woody.",neutral,0.7273
Yee-haw!,positive,0.612
"Howdy, little lady.",neutral,0.6705
Somebody's poisoned the water hole.,negative,0.9118
"Come on, Molly.",neutral,0.6772
"Oh, you're getting heavy.",neutral,0.5984
"See you later, Woody.",neutral,0.6823
Pull my string!,neutral,0.6639
The birthday party?'s today?,neutral,0.882
"Okay, everybody, coast is clear!",positive,0.8678
Ages 3 and up.,neutral,0.8296
It's on my box.,neutral,0.6932
Ages 3 and up.,neutral,0.8296
I'm not supposed to be baby-sitting Princess Drool.,negative,0.8525
"Hey, Hamm.",neutral,0.6897
"Look, I'm Picasso!",positive,0.6173
I don't get it.,negative,0.8565
You uncultured swine!,negative,0.9418
"What're you lookin' at, ya hockey puck?",neutral,0.8134
"Hey, Sarge, have you seen Slinky?",neutral,0.8577
Sir!,neutral,0.6178
"No, sir!",negative,0.5108
Okay.,neutral,0.5844
"Hey, thank you.",positive,0.9258
At ease.,positive,0.6485
"Hey, uh, Slinky?",neutral,0.7799
"Right here, Woody.",neutral,0.6984
I'm red this time.,neutral,0.6756
No.,neutral,0.4936
Slink...,neutral,0.6805
"Oh, well, all right.",neutral,0.6657
You can be red if you want.,neutral,0.7269
"Not now, Slink.",negative,0.5366
I got some bad news.,negative,0.858
Bad news?,negative,0.4936
"Just gather everyone up for a staff meeting, and be happy.",positive,0.9106
Got it.,positive,0.5088
Be happy!,positive,0.953
"Staff meeting, everybody!",neutral,0.5728
"Snake, Robot, podium duty.",neutral,0.7009
Hey.,neutral,0.5456
"Hey, Etch.",neutral,0.6619
Draw!,neutral,0.5122
Oh!,neutral,0.5628
Got me again.,neutral,0.5471
"Etch, you've been working on that draw.",neutral,0.6706
Fastest knobs in the West.,neutral,0.6964
"Got a staff meeting, you guys.",neutral,0.862
"Come on, let's go.",positive,0.5086
"Now, where is that...",neutral,0.7445
Oh.,neutral,0.5443
"Hey, who moved my doodle pad way over here?",neutral,0.8145
"How're you doin', Rex?",neutral,0.8362
Were you scared?,neutral,0.7293
Tell me honestly.,neutral,0.7786
I was close to being scared that time.,negative,0.7739
"I'm going for fearsome here, but I just don't feel it.",negative,0.7627
I think I'm just coming off as annoying.,negative,0.9644
"Oh, hi, Bo.",neutral,0.6481
Hi.,neutral,0.5326
"I wanted to thank you, Woody, for saving my flock.",positive,0.8919
"Oh, hey, it was, uh, nothin'.",neutral,0.5411
What do you say I get someone else to watch the sheep tonight?,neutral,0.7565
"Oh, yeah!",positive,0.6153
"Remember, I'm just a couple of blocks away.",neutral,0.6923
Yodel-ay-hee-hoo!,positive,0.7785
"Come on, come on.",neutral,0.609
Smaller toys up front.,neutral,0.8374
"Hey, Woody, come on.",neutral,0.7607
"Oh, thanks, Mike.",positive,0.6901
Okay...,neutral,0.733
"Whoa, whoa.",neutral,0.5359
Step back.,neutral,0.7459
For crying out loud.,negative,0.5846
Thank you.,positive,0.853
Hello?,neutral,0.643
Check.,neutral,0.6054
That better?,neutral,0.7629
Great.,positive,0.7671
Everybody hear me?,neutral,0.788
"Up on the shelf, can you hear me?",neutral,0.7454
Great.,positive,0.7671
Okay.,neutral,0.5844
First item today...,neutral,0.9152
"Oh, yeah.",neutral,0.5585
Has everyone picked a moving buddy?,neutral,0.8857
What?,neutral,0.5653
Moving buddy?,neutral,0.7851
You can't be serious.,negative,0.676
I didn't know we were supposed to have one already.,neutral,0.5442
Do we have to hold hands?,neutral,0.89
You guys think this is a big joke.,negative,0.6911
We've only got one week left before the move.,neutral,0.5736
I don't want any toys left behind.,negative,0.753
A moving buddy.,neutral,0.7399
"If you don't have one, get one!",neutral,0.5521
"All right, next.",neutral,0.6144
"Oh, yes.",positive,0.6818
"Tuesday night's plastic corrosion awareness meeting was, I think, a big success.",positive,0.9808
And we wanna thank Mr Spell for putting that on for us.,positive,0.8316
"Thank you, Mr Spell.",positive,0.8256
You're welcome.,positive,0.9099
Okay.,neutral,0.5844
"Oh, yes.",positive,0.6818
One minor note here.,neutral,0.7677
Andy's birthday party has been moved to today.,neutral,0.8321
Wait a minute here!,neutral,0.599
What do you mean the party?'s today?,neutral,0.8391
His birthday's not 'til next week!,positive,0.6943
What's goin' on down there?,neutral,0.843
Is his mom losin' her marbles?,neutral,0.5559
"Well, obviously she wanted to have the party?",neutral,0.6849
before the move.,neutral,0.6492
I'm not worried.,positive,0.6105
You shouldn't be worried.,neutral,0.5835
Of course Woody ain't worried.,neutral,0.6737
He's been Andy's favourite since kindergarten.,positive,0.939
"Hey, hey.",neutral,0.5734
"Come on, Potato Head.",neutral,0.5511
"If Woody says it's all right, then, well, darn it, it's good enough for me.",neutral,0.4677
Woody has never steered us wrong before.,neutral,0.6682
"Come on, guys.",neutral,0.5565
Every Christmas and birthday we go through this.,neutral,0.5703
"But what ifAndy gets another dinosaur, a mean one?",neutral,0.4869
I just don't think I could take that kind of rejection!,negative,0.9338
"Hey, listen, no one's getting replaced.",neutral,0.5943
This is Andy we're talking about.,neutral,0.7789
It doesn't matter how much we're played with.,neutral,0.51
What matters is that we're here for Andy when he needs us.,positive,0.8078
"That's what we're made for, right?",neutral,0.5457
Pardon me.,neutral,0.6022
"I hate to break up the staff meeting, but...",negative,0.8237
they're here!,positive,0.6427
Birthday guests at three o'clock!,positive,0.5296
"Stay calm, everyone!",positive,0.7178
Hey!,neutral,0.5279
Meeting adjourned.,neutral,0.7511
"Ho, boy!",neutral,0.5717
Will you take a look at all those presents?,neutral,0.8414
I can't see a thing.,negative,0.6994
"Yes, sir, we're next month's garage sale fodder for sure.",neutral,0.6327
Any dinosaur-shaped ones?,neutral,0.8772
"Oh, for crying out loud.",negative,0.6585
"They're all in boxes, you idiot.",negative,0.8975
They're getting bigger.,positive,0.6281
"Wait, there's a nice little one over there.",positive,0.8439
Hi!,positive,0.4741
"Spell, trash can.",negative,0.8312
We're doomed!,negative,0.8982
All right!,positive,0.7464
All right!,positive,0.7464
"If I send out the troops, will you all calm down?",neutral,0.6896
Yes!,positive,0.8097
Yes!,positive,0.8097
We promise!,positive,0.7382
Okay!,positive,0.6122
Save your batteries.,neutral,0.6957
"Very good, Woody.",positive,0.968
That's using the old noodle.,neutral,0.801
"Sergeant, establish a recon post downstairs.",neutral,0.8775
Code Red!,positive,0.5214
You know what to do.,neutral,0.673
