text,sentiment,score
In the beginning...,neutral,0.8123
there was only ocean...,neutral,0.7298
until the mother island emerged.,neutral,0.7635
Te Fiti.,neutral,0.7645
Her heart held the greatest power ever known.,positive,0.9091
It could create life itself.,neutral,0.5601
And Te Fiti shared it with the world.,neutral,0.7946
But in time...,neutral,0.7551
some began to seek Te Fiti's heart.,neutral,0.9045
They believed if they could possess it...,neutral,0.7753
the great power of creation would be theirs.,positive,0.6691
And one day...,neutral,0.7974
the most daring of them all...,neutral,0.5179
voyaged across the vast ocean to take it.,neutral,0.8145
He was a demigod of the wind and sea.,negative,0.7706
He was a warrior.,neutral,0.5738
A trickster.,negative,0.7314
A shapeshifter who could change form...,neutral,0.8908
with the power of his magical fish hook.,neutral,0.663
And his name...,neutral,0.7952
was Maui.,neutral,0.7981
"But without her heart, Te Fiti began to crumble...",negative,0.7016
giving birth to a terrible darkness.,negative,0.8665
Maui tried to escape...,neutral,0.7275
but was confronted by another who sought the heart.,neutral,0.7337
Te Kā!,neutral,0.7573
A demon of earth and fire.,negative,0.5498
Maui was struck from the sky...,neutral,0.8393
never to be seen again.,negative,0.7024
And his magical fish hook and the heart of Te Fiti...,neutral,0.7687
were lost to the sea.,negative,0.5982
"Where, even now...",neutral,0.7612
"1,000 years later...",neutral,0.8459
Te Kā and the demons of the deep...,neutral,0.7568
still hunt for the heart.,neutral,0.7437
Hiding in a darkness that will continue to spread...,negative,0.5933
chasing away our fish...,neutral,0.6383
draining the life from island after island...,neutral,0.7466
until every one of us is devoured...,negative,0.6694
by the bloodthirsty jaws...,negative,0.6044
of inescapable death!,negative,0.7832
But one day...,neutral,0.7652
the heart will be found...,positive,0.5031
by someone who will journey beyond our reef...,neutral,0.6871
find Maui...,neutral,0.872
deliver him across the great ocean...,neutral,0.6419
to restore Te Fiti's heart...,neutral,0.6862
and save us all.,neutral,0.681
"Thank you, Mother.",positive,0.8868
That's enough.,neutral,0.4946
Papa.,neutral,0.6082
No one goes outside the reef.,neutral,0.5923
We are safe here.,positive,0.7973
There is no darkness.,neutral,0.7605
There are no monsters.,neutral,0.5815
Monsters!,neutral,0.6288
"There's no monsters, no monsters...",neutral,0.6269
It's the darkness!,neutral,0.5316
"No, there is nothing beyond our reef, but storms and rough seas.",neutral,0.6462
I'm gonna throw up.,negative,0.8977
As long as we stay on our very safe island...,positive,0.727
...we'll be fine.,positive,0.6834
The legends are true.,positive,0.6651
Someone will have to go.,neutral,0.6231
"Mother, Motunui is paradise.",positive,0.7443
Who would want to go anywhere else?,neutral,0.5637
"Shoo, shoo!",neutral,0.4651
Moana!,neutral,0.5686
"There you are, Moana.",neutral,0.7903
What are you doing?,neutral,0.8242
You scared me.,negative,0.8386
What?,neutral,0.5653
I wanna's go back.,positive,0.5742
"I know, I know.",neutral,0.468
But you don't go out there.,neutral,0.5612
It's dangerous.,negative,0.7602
"Moana, come on.",neutral,0.6702
Let's go back to the village.,neutral,0.7486
You are the next great chief of our people.,positive,0.9246
"And you will do wondrous things, my little minnow.",positive,0.9056
"Oh, yes.",positive,0.6818
"But first, you must learn where you're meant to be.",neutral,0.7977
"Moana Make way, make way Moana, it's time you knew The village of Motunui is all you need The dancers are practicing They dance to an ancient song Who needs a new song This old one's all we need This tradition is our mission And Moana, there's so much to do Don't trip on the taro root That's all you need We share everything we make We joke and we weave our baskets The fishermen come back from the sea I wanna see Don't walk away Moana, stay on the ground now Our people will need a chief And there you are There you are There comes a day When you're gonna look around And realize happiness is Where you are Consider the coconut The what Consider its tree We use each part of the coconut It's all we need We make our nets from the fibers The water is sweet inside We use the leaves to build fires We cook up the meat inside Consider the coconuts The trunks and the leaves The island gives us what we need And no one leaves That's right, we stay We're safe and we're well-provided And when we look to the future There you are You'll be okay In time you'll learn just as I did You must find happiness right where you are I like to dance with the water The undertow and the waves The water is mischievous Ha!",positive,0.6647
"I like how it misbehaves The village may think I'm crazy Or say that I drift too far But once you know what you like Well, there you are You are your father's daughter Stubbornness and pride Mind what he says but remember You may hear a voice inside And if the voice starts to whisper To follow the farthest star Moana, that voice inside is who you are Dad!",neutral,0.6285
I was only looking at the boats.,neutral,0.7386
I wasn't gonna get on 'em.,negative,0.5657
Come on.,neutral,0.5758
There's something I need to show you.,neutral,0.7936
I've wanted to bring you here from the moment you opened your eyes.,positive,0.5432
This is a sacred place.,positive,0.8049
A place of chiefs.,neutral,0.7862
There will come a time...,neutral,0.7091
when you will stand on this peak and place a stone on this mountain.,neutral,0.8478
Like I did.,neutral,0.7103
Like my father did.,neutral,0.6278
"And his father, and every chief that has ever been.",neutral,0.752
And on that day...,neutral,0.8391
when you add your stone...,neutral,0.8617
you will raise this whole island higher.,positive,0.8683
"You are the future of our people, Moana.",positive,0.8932
And they are not out there.,negative,0.5449
They are right here.,neutral,0.736
It's time to be who they need you to be.,neutral,0.7276
"We make our nets from the fibers We weave our nets from the fibers The water is sweet inside A real tasty treat inside We use the leaves to build fires We sing these songs in our choirs To cook up the meat inside We have mouths to feed inside The village believes in us That's right The village believes The island gives us what we need And no one leaves So here I'll stay My home, my people beside me And when I think of tomorrow There we are I'll lead the way I'll have my people to guide me We'll build our future together Where we are 'Cause every path leads ya back to Where you are You can find happiness right Where you are Where you are And every storm, this roof leaks, no matter how many fronds I add.",positive,0.683
Fixed!,positive,0.7044
Not the fronds.,neutral,0.5457
Wind shifted the post.,neutral,0.8255
That's good pork!,positive,0.9169
I didn't mean...,neutral,0.5873
I wasn't...,neutral,0.6759
What?,neutral,0.5653
"They're calling me, so I gotta...",neutral,0.8193
Bye!,neutral,0.6142
You're doing great.,positive,0.927
Is it done yet?,neutral,0.843
So close.,neutral,0.514
I'm curious about that chicken eating the rock.,neutral,0.7952
He seems to lack the basic intelligence required for pretty much everything.,negative,0.9416
Should we maybe just cook him?,neutral,0.8861
Sometimes our strengths lie beneath the surface.,neutral,0.7491
Far beneath in some cases.,negative,0.8395
But I'm sure there's more to Heihei than meets the eye.,neutral,0.7509
It's the harvest.,neutral,0.7364
"This morning, I was husking the coconuts and...",neutral,0.8696
Well...,neutral,0.7051
we should clear the diseased trees and we will start a new grove.,neutral,0.6078
There.,neutral,0.551
"Thanks, Moana.",positive,0.6109
She's doing great.,positive,0.9363
This suits you.,positive,0.7029
Chief?,neutral,0.6534
There's something you need to see.,neutral,0.6744
Our traps in the east lagoon...,neutral,0.8392
they're pulling up less and less fish.,negative,0.7527
Then we'll rotate the fishing grounds.,neutral,0.9103
We have.,neutral,0.6498
There's no fish.,neutral,0.6064
Oh.,neutral,0.5443
Then we'll fish the far side of the island.,neutral,0.8883
We tried.,neutral,0.5853
The windward side.,neutral,0.7257
"And the leeward side, the shallows, the channel.",neutral,0.7975
We've tried the whole lagoon.,neutral,0.7641
They're just gone.,negative,0.5327
Have you tried using a different bait?,neutral,0.8624
I don't think it's the bait.,neutral,0.6912
There's no fish.,neutral,0.6064
It seems like it's getting worse and worse.,negative,0.9702
"Of course, I understand you have reason for concern.",neutral,0.802
I will talk to the council.,neutral,0.8021
I'm sure we...,neutral,0.7867
What if we fish beyond the reef?,neutral,0.9075
No one goes beyond the reef.,neutral,0.6429
I know.,neutral,0.5132
But if there are no fish in the lagoon...,neutral,0.65
Moana.,neutral,0.6572
And there's a whole ocean.,neutral,0.703
We have one rule.,neutral,0.6702
"An old rule, when there were fish.",neutral,0.8468
A rule that keeps us safe...,neutral,0.5612
"But Dad, I...",neutral,0.8013
...instead of endangering our people so you can run right back to the water.,negative,0.8802
Every time I think you're past this...,neutral,0.7267
No one goes beyond the reef!,neutral,0.5497
"Well, it's not like you said it in front of your dad.",neutral,0.5455
Standing on a boat.,neutral,0.8477
"I didn't say go beyond the reef, because I want to be on the ocean.",neutral,0.6958
But you still do.,neutral,0.6339
He's hard on you because...,neutral,0.5428
Because he doesn't get me.,negative,0.7644
Because he was you.,neutral,0.7694
Drawn to the ocean.,neutral,0.8097
Down by the shore.,neutral,0.7387
"He took a canoe, Moana.",neutral,0.8859
He crossed the reef...,neutral,0.7711
and found an unforgiving sea.,neutral,0.5788
Waves like mountains.,neutral,0.7377
His best friend begged to be on that boat.,neutral,0.6769
Your dad couldn't save him.,negative,0.5816
He's hoping he can save you.,neutral,0.7297
Sometimes...,neutral,0.7241
"who we wish we were, what we wish we could do...",neutral,0.8015
it's just not meant to be.,negative,0.8477
"I've been staring at the edge of the water Long as I can remember Never really knowing why I wish I could be the perfect daughter But I come back to the water No matter how hard I try Every turn I take Every trail I track Every path I make Every road leads back To the place I know Where I cannot go Where I long to be See the line where the sky meets the sea It calls me And no one knows How far it goes If the wind in my sail on the sea Stays behind me One day I'll know If I go, there's just no telling how far I'll go I know everybody on this island Seems so happy on this island Everything is by design I know everybody on this island Has a role on this island So maybe I can roll with mine I can lead with pride I can make us strong I'll be satisfied If I play along But the voice inside Sings a different song What is wrong with me See the light as it shines on the sea It's blinding But no one knows How deep it goes And it seems like it's calling out to me So come find me And let me know What's beyond that line Will I cross that line The line where the sky meets the sea It calls me And no one knows How far it goes If the wind in my sail on the sea stays behind me One day I'll know How far I'll go Whoa.",neutral,0.5196
"We're okay, Pua.",positive,0.6976
I can do this.,positive,0.829
There's more fish beyond the reef.,neutral,0.7452
There's more beyond the reef.,neutral,0.8181
Not so bad.,positive,0.7585
Pua!,neutral,0.53
Whatever just happened...,neutral,0.6895
blame it on the pig.,negative,0.7958
Gramma.,neutral,0.6224
Are you gonna tell Dad?,neutral,0.8506
I'm his mom.,neutral,0.7515
I don't have to tell him anything.,neutral,0.7524
He was right.,positive,0.5885
About going out there.,neutral,0.8737
It's time to put my stone on the mountain.,neutral,0.8099
Okay.,neutral,0.5844
"Well, then, head on back.",neutral,0.7212
Put that stone up there.,neutral,0.6424
Why aren't you trying to talk me out of it?,neutral,0.5143
You said that's what you wanted.,neutral,0.7257
It is.,neutral,0.6055
When I die...,negative,0.5734
I'm going to come back as one of these.,neutral,0.6974
Or I chose the wrong tattoo.,negative,0.7987
Why are you acting weird?,negative,0.8542
I'm the village crazy lady.,neutral,0.605
That's my job.,neutral,0.6522
"If there's something you want to tell me, just tell me!",neutral,0.7011
Is there something you wanna tell me?,neutral,0.8701
Is there something you want to hear?,neutral,0.8802
You've been told all our people's stories...,neutral,0.663
but one.,neutral,0.5523
What is this place?,neutral,0.5225
Do you really think our ancestors stayed within the reef?,neutral,0.721
What's in there?,neutral,0.778
The answer to the question you keep asking yourself.,neutral,0.7364
Who are you meant to be?,neutral,0.8128
Go inside...,neutral,0.8366
bang the drum...,neutral,0.7831
and find out.,neutral,0.7062
Whoa.,neutral,0.6108
Oh.,neutral,0.5443
Bang the drum.,neutral,0.7139
We read the wind and the sky When the sun is high We sail the length of the seas On the ocean breeze At night we name every star We know where we are We know who we are Who we are We set a course to find A brand new island everywhere we roam We keep our island in our mind And when it's time to find home We know the way We are explorers reading every sign We tell the stories of our elders In a never-ending chain We know the way We were voyagers.,neutral,0.7753
We were voyagers!,neutral,0.6821
We were voyagers!,neutral,0.6821
We were voyagers!,neutral,0.6821
We were voyagers!,neutral,0.6821
Why'd we stop?,neutral,0.5558
Maui.,neutral,0.6415
"When he stole from the mother island, darkness fell.",negative,0.7057
Te Kā awoke.,neutral,0.835
Monsters lurked and boats stopped coming back.,negative,0.5913
"To protect our people, the ancient chiefs forbid voyaging...",neutral,0.7206
and now we have forgotten who we are.,negative,0.7746
And the darkness has continued to spread...,negative,0.7325
chasing away our fish...,neutral,0.6383
draining the life...,neutral,0.7944
from island after island.,neutral,0.7305
Our island.,neutral,0.7015
"But, one day...",neutral,0.7518
"someone will journey beyond our reef, find Maui...",neutral,0.8203
deliver him across the great ocean...,neutral,0.6419
to restore the heart of Te Fiti.,neutral,0.6449
I was there that day.,neutral,0.7961
The ocean chose you.,neutral,0.7323
I thought it was a dream.,neutral,0.6512
Nope!,neutral,0.4541
Our ancestors believed Maui lies there...,neutral,0.7993
at the bottom of his hook.,neutral,0.6535
"Follow it, and you will find him.",neutral,0.704
But why would it choose me?,neutral,0.5929
I don't even know how to make it past the reef.,negative,0.8687
But I know who does!,neutral,0.5557
The crops are turning black.,negative,0.7301
What about the fish?,neutral,0.8597
This is happening all over the island.,neutral,0.7072
"Please, please settle down.",neutral,0.5341
What are you going to do?,neutral,0.8626
We will dig new fields.,neutral,0.6864
We will find a way to...,neutral,0.5022
We can stop the darkness!,neutral,0.5683
Save our island!,neutral,0.4686
There's a cavern of boats.,neutral,0.7494
Huge canoes.,neutral,0.6919
"We can take them, find Maui, make him restore the heart.",neutral,0.7224
We were voyagers.,neutral,0.7721
We can voyage again!,positive,0.8583
You told me to help our people.,neutral,0.6894
This is how we help our people.,positive,0.6959
Dad?,neutral,0.7078
What are you doing?,neutral,0.8242
I should've burned those boats a long time ago!,negative,0.8895
No!,neutral,0.4416
Don't!,neutral,0.497
We have to find Maui.,neutral,0.8197
We have to restore the heart!,positive,0.6209
There is no heart!,negative,0.5917
This is just a rock!,positive,0.7881
No!,neutral,0.4416
Chief!,neutral,0.5229
It's your mother!,neutral,0.6712
Mother...,neutral,0.6758
What can be done?,neutral,0.8118
Go.,neutral,0.5352
Gramma.,neutral,0.6224
Go.,neutral,0.5352
Not now.,neutral,0.5072
I can't.,negative,0.7719
You must!,positive,0.7654
The ocean chose you.,neutral,0.7323
Follow the fish hook.,neutral,0.7022
Gramma...,neutral,0.7046
And when you find Maui...,neutral,0.8609
you grab him by the ear.,neutral,0.7321
You say...,neutral,0.6923
"""I am Moana of Motunui.",neutral,0.8524
"""You will board my boat...",neutral,0.8214
"""sail across the sea...",neutral,0.7802
"""and restore the heart of Te Fiti."" I can't leave you.",neutral,0.5922
There is nowhere you could go that I won't be with you.,neutral,0.5166
Go!,positive,0.6266
"There's a line where the sky meets the sea And it calls me But no one knows How far it goes All that time wondering where I need to be is behind me I'm on my own To worlds unknown Every turn I take Every trail I track Is a choice I make Now I can't turn back from the great unknown Where I go alone Where I long to be See her light up the night in the sea She calls me And yes, I know That I can go There's a moon in the sky And the wind is behind me Soon I'll know How far I'll go I am Moana of Motunui.",neutral,0.7202
You will board my boat...,neutral,0.8348
sail across the sea and restore the heart of Te Fiti.,neutral,0.7137
I am Moana...,neutral,0.8043
of Motu...,neutral,0.808
...nui.,neutral,0.5928
Heihei?,neutral,0.8024
It's okay.,positive,0.7313
You're all right.,positive,0.5318
See?,neutral,0.6904
There we go.,neutral,0.5761
Nice water.,positive,0.7353
The ocean is a friend of mine.,positive,0.5949
