text,sentiment,score
"I know you I walked with you once upon a dream I know you The gleam in your eyes is so familiar a gleam Yet I know it's true That visions are seldom all they seem But if I know you I know what you'll do You'll love me at once The way you did once upon a dream In a faraway land long ago, lived a king and his fair queen.",positive,0.5815
"Many years had they longed for a child, and finally their wish was granted.",positive,0.6673
"A daughter was born, and they called her Aurora.",neutral,0.8539
"Sweet Aurora Yes, they named her after the dawn, for she filled their lives with sunshine.",positive,0.9195
"Then a great holiday was proclaimed throughout the kingdom, so that all of high or low estate might pay homage to the infant princess.",positive,0.7966
And our story begins on that most joyful day.,positive,0.9345
"On that joyful day On that joyful day Joyfully now to our princess we come Bringing gifts and all good wishes too we pledge our loyalty anew Hail to the Princess Aurora All of her subjects adore her Hail to the King Hail to the Queen Hail to the Princess Aurora Health to the Princess Wealth to the Princess Long live the Princess Aurora Hail, Aurora Hail, Aurora Health to the Princess Wealth to the Princess Long live the Princess Aurora Hail to the King Hail to the Queen Hail to the Princess Aurora Thus, on this great and joyous day did all the kingdom celebrate the long-awaited royal birth.",positive,0.9551
And good King Stefan and his queen made welcome their lifelong friend.,positive,0.9483
"Their royal highnesses, King Hubert and Prince Phillip!",neutral,0.6293
Fondly had these monarchs dreamed one day their kingdoms to unite.,neutral,0.8523
"Thus, today would they announce that Phillip, Hubert's son and heir, to Stefan's child would be betrothed.",neutral,0.9432
And so to her his gift he brought.,neutral,0.5559
And looked unknowing on his future bride.,neutral,0.7647
"Their most honored and exalted excellencies, the three good fairies!",positive,0.9385
Mistress Flora!,neutral,0.7673
Mistress Fauna!,neutral,0.7904
And Mistress Merryweather!,neutral,0.7817
Oh.,neutral,0.5443
Oh.,neutral,0.5443
The little darling.,positive,0.6372
Your Majesties.,neutral,0.7162
"Each of us the child may bless with a single gift, no more, no less.",positive,0.8831
"Little princess, my gift shall be the gift of beauty.",positive,0.8693
"One gift Beauty rare Gold of sunshine in her hair Lips that shame the red, red rose She'll walk with springtime wherever she goes Tiny princess, my gift shall be the gift of song.",positive,0.7255
"One gift The gift of song Melody her whole life long The nightingale's her troubadour Bringing his sweet serenade to her door Sweet princess, my gift shall be...",positive,0.7026
"Why, it's Maleficent.",neutral,0.7888
What does she want here?,neutral,0.7453
Shh.,negative,0.4913
"Well, quite a glittering assemblage, King Stefan.",positive,0.7844
"Royalty, nobility, the gentry and...",neutral,0.7978
How quaint.,neutral,0.5577
Even the rabble.,neutral,0.5343
I really felt quite distressed at not receiving an invitation.,negative,0.9448
You weren't wanted.,negative,0.7521
Not want...,negative,0.5485
"Oh, dear, what an awkward situation.",negative,0.8869
I had hoped it was merely due to some oversight.,neutral,0.5921
"Well, in that event, I'd best be on my way.",neutral,0.8172
"And, you're not offended, Your Excellency?",neutral,0.6874
"Why, no, Your Majesty.",neutral,0.6044
"And to show I bear no ill will, I, too, shall bestow a gift on the child.",neutral,0.594
"Listen well, all of you.",neutral,0.5651
"The princess shall indeed grow in grace and beauty, beloved by all who know her.",positive,0.9647
"But, before the sun sets on her 16th birthday, she shall prick her finger on the spindle of a spinning wheel and die!",negative,0.6373
"Oh, no!",negative,0.6841
Seize that creature!,neutral,0.6842
"Stand back, you fools!",negative,0.8771
