text,sentiment,score
Pirates!,neutral,0.5722
We're under attack!,negative,0.9179
Hold them off!,negative,0.4826
Get down on the floor.,neutral,0.622
Tear gas!,neutral,0.6113
What are you waiting for?,neutral,0.7799
Break it down!,neutral,0.6262
Where'd she go?,neutral,0.7928
There she is!,positive,0.6634
She's getting away!,neutral,0.5446
"Well, get her!",neutral,0.574
"Mama, don't drop me!",neutral,0.5886
There's the stone.,neutral,0.7134
"Quick, go next door!",neutral,0.6053
Get that crystal!,neutral,0.556
There goes the crystal.,neutral,0.7104
"CASTLE IN THE SKY Two meatballs, please.",neutral,0.7962
Working late?,neutral,0.5843
We're finally busy again.,positive,0.5861
Still working?,neutral,0.8526
Yeah.,neutral,0.5491
What's that?,neutral,0.7331
A person!,neutral,0.5505
Pazu!,neutral,0.5595
What are you up to?,neutral,0.8261
Where's my dinner?,neutral,0.5478
Boss!,neutral,0.475
A girl fell from the sky.,neutral,0.7333
"Boss, she fell from the sky.",neutral,0.5458
Darn old clunker.,negative,0.8473
Boss!,neutral,0.475
A girl...,neutral,0.8325
Close valve number two!,neutral,0.6288
"Pazu, toss me a wrench.",neutral,0.5498
Sure.,neutral,0.4753
I'm busy here.,neutral,0.5896
You take it.,neutral,0.6586
Don't make them wait.,neutral,0.5544
Yes!,positive,0.8097
Keep a steady hand.,neutral,0.5676
Yes!,positive,0.8097
Brake!,neutral,0.6348
Any luck?,neutral,0.7826
"No silver, no tin even.",neutral,0.613
All that wasted work.,negative,0.7983
Should we try the east vein?,neutral,0.9207
That's riddled with old holes.,negative,0.6931
We'll have to start over.,neutral,0.6611
That's enough for today.,neutral,0.5388
Push!,positive,0.6018
Shut down the boiler.,negative,0.5086
Call it a day.,neutral,0.6711
I'll go under at this rate.,negative,0.7241
"Oil the clunker, Pazu.",neutral,0.6883
Yes!,positive,0.8097
"Mama, we couldn't find her.",negative,0.6429
It's too dark.,negative,0.794
I hope you really looked!,positive,0.7935
All right.,neutral,0.4897
We'll wait for daylight.,neutral,0.8039
Hi.,neutral,0.5326
How are you feeling?,neutral,0.8447
"Hey, come on guys...",neutral,0.677
I'm Pazu.,neutral,0.7615
I live here by myself.,neutral,0.6983
They eat after I play.,neutral,0.7482
So you are human after all.,neutral,0.5997
I was afraid you were an angel.,neutral,0.6003
Thanks for helping me.,positive,0.9437
I'm Sheeta.,neutral,0.7444
"Sheeta, nice name.",positive,0.8848
You fell from the sky.,neutral,0.6389
A bit scary.,negative,0.5966
That's right.,neutral,0.569
Why am I still alive?,negative,0.5406
I fell from the airship...,negative,0.6134
Have you forgotten?,neutral,0.7484
Yes.,positive,0.461
"Say, can I see that?",neutral,0.8151
This?,neutral,0.6969
Yes.,positive,0.461
It's been in my family forever.,neutral,0.7279
It's beautiful.,positive,0.9599
Wait...,neutral,0.6459
Watch this!,neutral,0.5667
Pazu!,neutral,0.5595
So it wasn't the stone after all.,neutral,0.8057
Pazu!,neutral,0.5595
"Oh, no!",negative,0.6841
Pazu!,neutral,0.5595
Are you okay?,neutral,0.7918
Yeah.,neutral,0.5491
Are you?,neutral,0.7077
I'm fine.,positive,0.8
"Sorry, did it hurt?",negative,0.594
"No, my head's harder than my boss's fists.",negative,0.6782
The pot's still boiling.,neutral,0.6809
Hungry?,neutral,0.6857
Let's eat.,neutral,0.6905
Wash up over there.,neutral,0.7003
There's a towel.,neutral,0.7233
Thank you.,positive,0.853
Laputa...,neutral,0.6749
Sheeta!,neutral,0.5406
Where are you?,neutral,0.7606
My father took that picture.,neutral,0.7565
"That's Laputa, an island in the sky.",neutral,0.8258
An island in the sky?,neutral,0.8475
They say it's only a myth.,neutral,0.6541
But my father saw it.,neutral,0.705
He took it from an airship.,neutral,0.8549
"There's a Laputa in Gulliver's Travels, but Swift made it up.",neutral,0.7677
Dad drew this.,neutral,0.8243
He said the abandoned palace was full of treasure.,neutral,0.6977
But nobody believed him.,negative,0.6558
"Until he died, they called him a liar.",negative,0.9099
But my father never lied.,neutral,0.6991
I'm building a real plane.,neutral,0.5331
I'm going to find Laputa!,positive,0.5472
A real automobile...,neutral,0.7005
They're pirates!,negative,0.7741
They attacked the airship.,negative,0.6875
Are they after you?,neutral,0.8136
Yes.,positive,0.461
Quick!,neutral,0.5481
Morning!,positive,0.7043
"Hey, wait!",neutral,0.6528
We're in a rush.,neutral,0.5245
Have you seen a girl?,neutral,0.8366
"Sure, yesterday...",neutral,0.6852
"The boss's kid, Madge...",neutral,0.8606
Off you go!,neutral,0.5552
They're looking for you.,neutral,0.7446
"Louis, a girl's dress!",neutral,0.6359
What!,neutral,0.4804
She was disguised!,neutral,0.532
Tell Mama!,neutral,0.759
All right!,positive,0.7464
Haven't seen her.,neutral,0.6113
A cute little girl.,positive,0.9563
"Brown hair, braids...",neutral,0.8701
Boss!,neutral,0.475
Boss!,neutral,0.475
About that age.,neutral,0.6914
Hey!,neutral,0.5279
That's her!,positive,0.5813
Pirates!,neutral,0.5722
They're chasing her.,neutral,0.6397
Pirates!,neutral,0.5722
Lemme see!,neutral,0.7055
Not one step closer.,neutral,0.6182
Hand her over.,neutral,0.6458
"Pirates, eh?",neutral,0.7727
Dola's clan.,neutral,0.7346
Go home.,neutral,0.5913
Just poor folk here.,negative,0.8765
Ma'am?,neutral,0.744
Scoot out the back.,neutral,0.7146
I want to fight.,negative,0.75
They've got weapons!,neutral,0.5581
But...,neutral,0.7123
What a pretty girl.,positive,0.9756
Better protect her.,neutral,0.73
You refuse to step aside?,neutral,0.5944
Use your fists.,neutral,0.5729
Could be interesting.,positive,0.8399
"Get him, brother.",neutral,0.6142
Show your stuff.,neutral,0.7232
Wow.,positive,0.7094
Who's going to mend that shirt?,neutral,0.7555
You can beat him!,neutral,0.4636
"That's it, hit him!",neutral,0.6001
Off you go!,neutral,0.5552
Think you can fool me?,negative,0.5948
After them!,neutral,0.6455
Climb on!,positive,0.5808
There you go.,neutral,0.5283
Playing hooky for a date?,neutral,0.9115
Bad guys are after us.,negative,0.6777
The Dola clan.,neutral,0.8607
Pirates?,neutral,0.8211
Take us to the next town.,neutral,0.741
To the police!,neutral,0.5577
You're on.,neutral,0.6278
Stoke the fire.,neutral,0.6368
Okay.,neutral,0.5844
Mama!,neutral,0.6046
You idiots!,negative,0.942
Hurry up and get on!,neutral,0.5117
What?,neutral,0.5653
But the girl's...,neutral,0.7559
She slipped out the back door.,neutral,0.8371
Get moving!,positive,0.5479
Brother!,neutral,0.6276
