text,sentiment,score
"Now, where to begin?",neutral,0.7253
"How 'bout, ""Once upon a time“?",neutral,0.8521
How many times have you heard that to begin a story?,neutral,0.8012
Let's do somethin' else.,neutral,0.6567
"I got it, I got it, here we go.",neutral,0.4932
Here's how to open a movie!,neutral,0.5505
"No, I don't think so.",neutral,0.6272
It sounds familiar.,neutral,0.605
"Doesn't it, to you?",neutral,0.7675
"Oh, no, no, not the book.",negative,0.6949
"How many have seen ""opening the book"" before?",neutral,0.8123
Close the book.,neutral,0.5815
We 're not doing that.,negative,0.5197
Here's what we're gonna do.,neutral,0.6362
Why don't I just go back to the day things took a turn for the worse?,negative,0.939
Run for your lives!,neutral,0.5137
Everyone run for cover!,neutral,0.6013
SOS!,negative,0.5636
Mayday!,positive,0.6534
Mayday!,positive,0.6534
Code red!,positive,0.488
Duck and cover!,neutral,0.7081
You're all in danger!,negative,0.8662
Ah!,positive,0.4984
Run for cover!,neutral,0.6239
Run for your lives!,neutral,0.5137
Emergency!,neutral,0.5502
Emergency!,neutral,0.5502
Whoa!,neutral,0.4812
Whoa!,neutral,0.4812
Aaah!,neutral,0.4789
Look out!,neutral,0.6437
Take cover!,neutral,0.6776
Run for cover!,neutral,0.6239
Chicken Little!,neutral,0.6205
What is it?,neutral,0.75
What's going on?,neutral,0.7289
The sky is falling!,neutral,0.5519
The sky is falling!,neutral,0.5519
The sky is falling?,neutral,0.6085
Are you crazy?,negative,0.6039
"No, no, no!",negative,0.7057
It's true!,positive,0.7468
Come with me!,positive,0.7315
No.,neutral,0.4936
Son?,neutral,0.6909
What?,neutral,0.5653
It happened under the old oak tree!,neutral,0.7023
I'm not making this up.,negative,0.5552
It's here.,neutral,0.6465
There's a piece of the sky somewhere...,neutral,0.8437
...somewhere on the ground.,neutral,0.8127
It was shaped like that!,neutral,0.7108
It looks like a stop sign?,neutral,0.7526
Yes!,positive,0.8097
"Only it doesn't say ""stop"" and it's blue and it has a cloud on it.",neutral,0.4931
And it hit me on the head!,neutral,0.5046
It looked like a stop sign.,neutral,0.632
Wait!,neutral,0.6225
What's that?,neutral,0.7331
"Son, is this what hit you?",neutral,0.6117
What?,neutral,0.5653
"Oh, no, Dad.",negative,0.5726
It was definitely a piece of the sky!,positive,0.7732
Piece of the sky.,neutral,0.7312
"It's OK, everyone!",positive,0.8842
"Dad, no.",neutral,0.6207
"There's been, like, a little mistake.",negative,0.6621
It was just an acorn that-that hit my son.,neutral,0.7942
A little acorn.,neutral,0.7234
No!,neutral,0.4416
"Dad, no.",neutral,0.6207
"Quiet, son.",neutral,0.6797
This is embarrassing enough already.,negative,0.9714
Chicken Little!,neutral,0.6205
What were you thinkin'?,neutral,0.8517
Why put your town's safety in jeopardy?,negative,0.91
How could you mistake a stop sign for an acorn?,negative,0.5699
But it...,neutral,0.6679
a big acorn level fluh.,neutral,0.6191
What did he say?,neutral,0.7761
A big acorn level fluh...,neutral,0.7268
It was a big acorn?,neutral,0.8548
An ape throwing coleslaw?,neutral,0.7949
A big acorn level fluh...,neutral,0.7268
Gesundheit!,neutral,0.5961
"Ladies and gentlemen, it's just gibberish, gibberish of an insane person.",negative,0.974
"Come on, Buck!",neutral,0.5987
Your kid went and scared us all half to death!,negative,0.9185
