text,sentiment,score
When you wish upon a star Makes no difference who you are Anything your heart desires Will come to you If your heart is in your dream No request is too extreme When you wish upon a star As dreamers do Fate is kind She brings to those who love The sweet fulfillment of Their secret longing Like a bolt out of the blue Fate steps in And sees you through When you wish upon a star Your dreams Come true Pretty.,positive,0.7949
"I'll bet a lot of you folks don't believe that, about a wish coming true, do you?",negative,0.5523
"Well, I didn't either.",negative,0.4879
"Of course, I'm just a cricket singing my way from hearth to hearth, but let me tell you what made me change my mind.",neutral,0.7151
One night a long time...,neutral,0.7214
Pardon me.,neutral,0.6022
Wait till I fix this thing.,neutral,0.5138
There.,neutral,0.551
"One night a long time ago, my travels took me to a quaint little village.",neutral,0.7544
It was a beautiful night.,positive,0.9801
"The stars were shining like diamonds, high above the roofs of that sleepy old town.",positive,0.9289
Pretty as a picture.,positive,0.9126
"As I wandered along the crooked streets, there wasn't a soul to be seen.",negative,0.5742
The only sign of life was a lighted window in the shop of a wood-carver named Geppetto.,neutral,0.6405
So I hopped over...,neutral,0.783
...and looked in.,neutral,0.7797
It was a shame to see a nice cheerful fire like that going to waste.,negative,0.8907
So what do I do?,neutral,0.7387
I go in!,neutral,0.4913
I looked around.,neutral,0.7381
"Of course, being in a strange place like that, I didn't know what to expect.",negative,0.6004
"A cricket can't be too careful, you know.",neutral,0.6138
"Soon as I saw there was no one about, I made myself at home.",neutral,0.6999
As I stood there warming my...,neutral,0.8358
"...myself, I took a look around.",neutral,0.8558
"Well, sir, you never saw such a place.",neutral,0.5462
"The most fantastic clocks you ever laid your eyes on, and all carved out of wood.",positive,0.9223
"And cute little music boxes, each one a work of art.",positive,0.9076
And shelf after shelf of toys and...,neutral,0.7732
And then something else caught my eye.,neutral,0.7251
A puppet!,negative,0.7495
"You know, one of those marionette things, all strings and joints.",neutral,0.8004
Cute little fellow.,positive,0.9423
Going up?,neutral,0.8482
Good piece of wood too.,positive,0.7533
"Well, now, it won't take much longer.",neutral,0.6409
Just a little more paint and he's all finished.,neutral,0.6171
I think he'll be all right.,positive,0.7492
"Don't you, Figaro?",neutral,0.826
Beg pardon.,neutral,0.7296
See?,neutral,0.6904
That makes a big difference.,positive,0.7645
Very good.,positive,0.9631
"Very, very good.",positive,0.9589
"Well, you can't please everybody.",negative,0.5551
Now I have just the name for you.,neutral,0.7977
Pinocchio!,positive,0.5126
"Do you like it, Figaro?",neutral,0.9003
No?,neutral,0.6175
"You do, don't you, Cleo?",neutral,0.792
"Well, we'll leave it to little woodenhead.",neutral,0.6303
Do you like it?,neutral,0.8392
That settles it!,positive,0.5881
Pinocchio it is!,positive,0.5947
"Come on, now, we'll try you out.",neutral,0.7306
"Music, Professor!",positive,0.4863
Take it easy there!,positive,0.7502
"Break it up, will you?",neutral,0.651
Lotta down beats in there.,neutral,0.7625
Little woodenhead go play your part Bring a little joy to every heart Little do you know and yet it's true That I'm mighty proud of you Little wooden feet and best of all Little wooden seat in case you fall How graceful!,positive,0.9676
"My little woodenhead Cleo, meet Pinocchio.",neutral,0.6959
"Say, ""How do you do?"" Say hello to Figaro.",neutral,0.8482
Up to mischief already.,neutral,0.6292
You see what happens?,neutral,0.7679
Up we go!,positive,0.7349
You're a cute little fellow.,positive,0.9394
And that smile!,positive,0.8837
"You know, I...",neutral,0.7955
You rascal!,negative,0.9216
Jealous?,neutral,0.4953
"You know, Pinocchio, I think Figaro is jealous of you.",negative,0.6585
"Don't worry, Figaro.",neutral,0.6444
I sti...,neutral,0.7389
I wonder what time it is?,neutral,0.8931
It's getting late.,neutral,0.5364
Come now.,neutral,0.6902
We go to bed.,neutral,0.7359
"Good night, Pinocchio.",positive,0.5901
Little funny face.,positive,0.5877
"Good night, Cleo, my little water baby.",positive,0.8642
Figaro...,neutral,0.7289
...you say good night too.,neutral,0.6014
Go on!,positive,0.6931
"Now go to sleep, my little mermaid.",neutral,0.6021
Good night.,positive,0.5576
This is my idea of comfort.,positive,0.6236
Solid comfort.,positive,0.6763
"Look at him, Figaro.",neutral,0.7733
He almost looks alive!,positive,0.8734
Wouldn't it be nice if he was a real boy?,neutral,0.5596
"Oh, well.",neutral,0.6057
Come on.,neutral,0.5758
We go to sleep.,neutral,0.7238
"Oh, Figaro.",neutral,0.7413
I forgot to open the window.,negative,0.6771
"Figaro, look, look, the wishing star!",positive,0.631
"Star light, star bright, first star I see tonight, I wish I may, I wish I might, have the wish I make tonight.",positive,0.7931
"Figaro, you know what I wished?",neutral,0.782
I wished that my little Pinocchio might be a real boy.,positive,0.6013
Wouldn't that be nice?,positive,0.8062
Just think.,neutral,0.7373
A real boy.,positive,0.6123
"A very lovely thought, but not at all practical.",positive,0.6507
A real...,neutral,0.7863
...boy.,neutral,0.4994
Quiet!,neutral,0.7241
"After all, enough's enough.",neutral,0.6423
Now what's up?,neutral,0.7844
"Hey, what's going on here?",neutral,0.826
"As I live and breathe, a fairy!",neutral,0.5137
"Good Geppetto, you have given so much happiness to others.",positive,0.9838
You deserve to have your wish come true.,positive,0.8028
"Little puppet made of pine, wake.",neutral,0.6714
The gift of life is thine.,positive,0.7476
What they can't do these days.,negative,0.6612
I can move!,positive,0.7583
I can talk!,neutral,0.5162
I can walk!,positive,0.7989
"Yes, Pinocchio, I've given you life.",positive,0.8407
Why?,neutral,0.612
"Because, tonight, Geppetto wished for a real boy.",neutral,0.5942
Am I a real boy?,neutral,0.8701
"No, Pinocchio.",neutral,0.6007
To make Geppetto's wish come true will be entirely up to you.,neutral,0.6647
Up to me?,neutral,0.7795
"Prove yourself brave, truthful and unselfish, and someday you will be a real boy.",positive,0.6823
A real boy!,positive,0.8572
That won't be easy.,negative,0.69
You must learn to choose between right and wrong.,neutral,0.6911
Right and wrong?,neutral,0.6599
But how will I know?,neutral,0.6444
How'll he know!,neutral,0.6475
Your conscience will tell you.,neutral,0.6932
What are conscience?,neutral,0.7883
What are conscience!,neutral,0.5163
I'll tell ya!,neutral,0.6151
"A conscience is that still, small voice that people won't listen to.",negative,0.6357
That's just the trouble with the world today.,negative,0.9565
Are you my conscience?,neutral,0.8054
"Who, me?",neutral,0.7829
