text,sentiment,score
"September 21, 1945.",neutral,0.8798
That was the night I died.,negative,0.6564
So disgusting!,negative,0.9428
Watch it!,positive,0.4948
He's filthy.,negative,0.8883
Is he dead?,neutral,0.6327
Such a disgraceful sight.,negative,0.9641
Don't want Americans to see this!,negative,0.9195
Mama!,neutral,0.6046
What day is it today?,neutral,0.9014
Setsuko...,neutral,0.7683
Another one...,neutral,0.7255
What's this?,neutral,0.7517
Don't bother.,neutral,0.5198
Just toss it.,negative,0.507
This one is going too.,neutral,0.8526
Those blank eyes tell you it's over.,neutral,0.5504
“Sakuma's Drops” GRAVE OF THE FIREFLIES Production Designer & Executive Producer Ryoichi Sato Original Story by Akiyuki Nosaka Character Design - Yoshifumi Kondo Art Director - Nizo Yamamoto Music Michio Mamiya Layout - Yoshiyuki Momose Character Color Design - Michiyo Yasuda Director of Photography - Nobuo Koyama Sound Design - Yasuo Urakami Producer Toru Hara Written and Directed by Isao Takahata Everyone!,neutral,0.9359
To the shelters!,neutral,0.661
Hear it's a large formation.,neutral,0.8742
The shelter behind the firehouse should be safe.,neutral,0.6432
Maybe they'll bomb elsewhere this time?,negative,0.5041
Makes me hot.,positive,0.8238
Now be a good girl and put this on.,positive,0.494
I'll have a head start now.,positive,0.5674
"You two, be sure to hurry along.",neutral,0.6887
"Setsuko, listen to your big brother.",neutral,0.7697
"Mama, you should hurry and go!",neutral,0.6513
"Yes, dear.",positive,0.6363
"Mama, you got your medicine?",neutral,0.768
"Yes, I got it.",positive,0.5375
I don't like shelters.,negative,0.9612
You want to get blown to bits?,negative,0.6391
Climb on!,positive,0.5808
My doll!,positive,0.8465
To the shelters!,neutral,0.661
Seita.,neutral,0.6177
Heads down!,neutral,0.6089
No!,neutral,0.4416
Seita!,neutral,0.5836
Seita!,neutral,0.5836
Seita!,neutral,0.5836
Seita!,neutral,0.5836
Hurry!,neutral,0.5702
Did you get everything?,neutral,0.7598
Don't forget that!,positive,0.5303
Quick!,neutral,0.5481
Don't forget that!,positive,0.5303
Quick!,neutral,0.5481
Long live the Emperor!,positive,0.7863
Don't worry.,positive,0.5337
We're safe here.,positive,0.7782
Where did Mama go?,neutral,0.7772
She's in the shelter.,neutral,0.7237
It could stand even a 250-kg bomb.,neutral,0.741
She'll be fine.,positive,0.6183
Mama will come to the twin pines.,neutral,0.8758
We agreed to meet there.,neutral,0.7806
Let's rest a little.,neutral,0.7426
"Everything all right, Setsuko?",neutral,0.745
I lost a clog.,negative,0.5568
I'll buy you a much better one.,positive,0.4862
I have money too.,positive,0.5355
Open this.,neutral,0.7736
You're rich!,positive,0.8594
So this is black rain.,neutral,0.7284
It's all gone...,neutral,0.5724
"Look, that's the public hall.",neutral,0.8005
Remember we had porridge there?,neutral,0.8432
Did our house burn down?,negative,0.5362
Seems like it.,neutral,0.6367
What are we going to do?,neutral,0.8556
Dad will make them pay.,neutral,0.7157
Mama!,neutral,0.6046
Mama!,neutral,0.6046
I'd feel guilty if only our house was left.,negative,0.8474
Glad it's all gone.,positive,0.7502
Mr.,neutral,0.5849
Miura got a direct hit.,neutral,0.706
I feel so sorry for him.,negative,0.9427
I'm glad you were safe.,positive,0.9163
We got two direct hits.,neutral,0.5979
The oil would spill if we tried to move them.,negative,0.7111
"No, it's not her!",neutral,0.5037
"Seita, I have to pee.",negative,0.694
Okay.,neutral,0.5844
"Attention, residents of Kaminaka, Kaminishi, and Ichirizuka!",neutral,0.8456
Please go to the elementary school!,neutral,0.5848
We've set up a first aid station!,neutral,0.5646
What's wrong?,negative,0.7724
My eyes hurt.,negative,0.9241
Don't rub them.,neutral,0.5173
Let's go get them washed.,neutral,0.7425
Where's Mama?,neutral,0.7566
She'll be at school.,neutral,0.8256
School?,neutral,0.6554
"Yes, let's hurry.",positive,0.5052
Okay.,neutral,0.5844
Don't cry.,neutral,0.6662
Be good now.,positive,0.814
Seita!,neutral,0.5836
Have you seen your mother?,neutral,0.7412
She's injured.,negative,0.7394
You must go at once.,neutral,0.7703
I'll stay with her.,neutral,0.5792
That was scary.,negative,0.8314
You didn't cry?,neutral,0.7022
Let's wait for your brother here.,neutral,0.765
"Seita, I've been looking for you.",neutral,0.7887
How are you?,neutral,0.7345
Where's Mama?,neutral,0.7566
Come with me.,neutral,0.6166
This is your Mama's.,neutral,0.6693
In here.,neutral,0.65
She's finally asleep now.,neutral,0.6567
She should be moved to a hospital.,negative,0.7329
We're asking about it.,neutral,0.8385
I hear Kaisei Hospital wasn't hit.,neutral,0.7928
Sir.,neutral,0.6189
Mama has a bad heart.,negative,0.9269
Can she get medicine for that?,neutral,0.7511
"Okay, we'll ask.",neutral,0.7648
I'll come again.,neutral,0.6131
Mama?,neutral,0.6718
You saw her?,neutral,0.7977
Yes...,neutral,0.5735
I'm so sorry.,negative,0.8012
I'm thirsty.,neutral,0.4671
Is there anything I can do?,neutral,0.8471
I know.,neutral,0.5132
Did you get biscuits?,neutral,0.8206
I'll get you some.,neutral,0.6939
Keep this ring in your purse.,neutral,0.8356
"Don't lose it, okay?",neutral,0.7204
"Mama's a little sick, but she'll be better soon.",positive,0.5225
Where is she?,neutral,0.7871
In a hospital in Nishinomiya.,neutral,0.8434
"So tonight, we'll stay at school.",neutral,0.8882
Then tomorrow...,neutral,0.8598
Remember our aunt in Nishinomiya?,neutral,0.9087
Then tomorrow...,neutral,0.8598
Remember our aunt in Nishinomiya?,neutral,0.9087
We're going there.,neutral,0.7846
Okay?,neutral,0.7124
We're staying upstairs.,neutral,0.8838
Won't you join us?,neutral,0.8897
"Thank you, we'll go later.",positive,0.838
See you later then.,neutral,0.744
Want to eat?,neutral,0.8732
I want to go see Mama.,positive,0.8616
Maybe tomorrow.,neutral,0.7574
It's late now.,neutral,0.5828
"Hey, look at this!",positive,0.7187
Can't unwrap her.,neutral,0.535
Better not look.,neutral,0.5079
Especially in this heat...,neutral,0.6246
Got to get rid of this today.,neutral,0.4877
Where's your little sister?,neutral,0.7111
I took her to Nishinomiya this morning.,neutral,0.904
Distant relatives are taking us in.,neutral,0.8064
Glad to hear that.,positive,0.9655
"Well, I must get back to my duties.",neutral,0.7082
You take care.,neutral,0.5491
Mama!,neutral,0.6046
Where's Mama?,neutral,0.7566
Is Mama still not feeling good?,negative,0.7579
That's right.,neutral,0.569
She got hurt in the air raid.,negative,0.8585
You're back.,positive,0.6566
How was it?,neutral,0.7942
Was she in Kaisei Hospital?,neutral,0.891
"Err, yes...",neutral,0.7292
Navy folks are so privileged.,negative,0.5928
Using a truck even to evacuate!,neutral,0.6096
Mosquito net and beddings are in your room.,neutral,0.7497
Thank you.,positive,0.853
Doesn't Mama need this ring anymore?,neutral,0.5401
Do I get to keep it?,neutral,0.8453
You should put that away.,negative,0.6481
About Mama...,neutral,0.8669
We'll visit Mama when she's better.,neutral,0.6326
Okay.,neutral,0.5844
Go to bed now.,neutral,0.7076
Okay.,neutral,0.5844
"Herrings, dried bonito, dried potatoes, and eggs.",neutral,0.7999
There're pickled plums.,neutral,0.7416
"Why, this is butter!",neutral,0.5457
You'd never know things are scarce in wartime.,negative,0.4751
You military folks are spoiled.,negative,0.9494
"So, did you stop by the hospital?",neutral,0.864
Your mother and I must talk about the future.,neutral,0.8962
I could take Setsuko along and visit her.,neutral,0.7005
She didn't make it?!,negative,0.7212
Mama died at school two days ago.,negative,0.8391
What?!,negative,0.4855
Your Mama died...!,negative,0.721
Why didn't you tell me right away?,negative,0.5657
You should know better.,negative,0.5458
Didn't want Setsuko to know.,negative,0.5144
Your Mama's dead...,negative,0.6613
This is bad.,negative,0.9621
Must inform your father at once!,neutral,0.7847
Seita!,neutral,0.5836
She bought me new clogs.,positive,0.5182
Good for you.,positive,0.932
Welcome home.,positive,0.9274
Tough times for you kids.,negative,0.5152
Thank you for the bath.,positive,0.9574
What's that sound?,neutral,0.8167
Don't be scared.,neutral,0.7125
They're bullfrogs.,negative,0.8614
A firefly!,neutral,0.6201
"Here, catch.",neutral,0.6245
Oh no!,negative,0.7263
You squished it!,neutral,0.5386
It smells.,neutral,0.5498
You squeezed too tight.,negative,0.6001
Look at all those fireflies!,positive,0.625
"Setsuko, close your eyes and say “aah.” What for?",neutral,0.655
Just say “aah.” Fruit drops!,neutral,0.5831
"Fruit drops, fruit drops!",neutral,0.6181
I almost swallowed it.,negative,0.6404
We're back.,positive,0.7039
What took you so long?,negative,0.5473
Did you thank the lady?,neutral,0.8666
"Yes, Ma'am.",neutral,0.6314
That looked good.,positive,0.9669
"Seita, don't you have to go to school?",neutral,0.7261
Kobe Steel where I was mobilized was destroyed.,negative,0.7704
"And my school burned, so there is no place left to go.",negative,0.9508
And did you send your father a letter?,neutral,0.7996
"Yes, in care of Kure Naval Base.",neutral,0.8525
When?,neutral,0.7904
"Over ten days ago, after we came here.",neutral,0.9004
That's strange.,negative,0.4968
He hasn't replied to me either.,negative,0.6187
"Setsuko, be sure to return those.",neutral,0.7297
How is the war situation?,neutral,0.7526
"Getting worse, I'm afraid.",negative,0.913
Factories must step up for those that burned.,neutral,0.6471
All we hear is “Gear up for final battle.” Food rations keep getting worse too.,negative,0.9448
We're all suffering in this war.,negative,0.9157
My girl is also working for our country.,positive,0.7772
You must eat and put on strength.,neutral,0.6915
Not again.,negative,0.7774
Taking in two more must be tough.,neutral,0.6881
But poor things.,negative,0.88
They're still so young.,neutral,0.523
Is your heat rash itchy?,neutral,0.7152
It's hot in here.,positive,0.8249
I hate shelters.,negative,0.9641
Hang in there.,neutral,0.6475
I'm here for you.,positive,0.7648
Want to go to the beach?,neutral,0.5639
Yes!,positive,0.8097
"Yes, let's go!",positive,0.9029
It's all vegetable fields now!,neutral,0.6002
What are they doing?,neutral,0.7924
Getting salt water.,neutral,0.7901
Not enough salt or soy sauce at home.,negative,0.5971
I see.,neutral,0.5826
Now take off your clothes!,neutral,0.6434
Might be a bit cold.,neutral,0.6577
It's cold!,neutral,0.4678
Isn't this soothing on your rash?,neutral,0.6443
Uh-huh.,neutral,0.5418
It's a huge bathtub!,positive,0.6279
Hey you!,positive,0.5806
Wait!,neutral,0.6225
I'm a bear!,neutral,0.5665
I'm going to eat you!,negative,0.7308
"Snip, snip, snip.",neutral,0.582
Look.,neutral,0.6185
Somebody is sleeping.,neutral,0.5685
Don't look at that.,negative,0.7024
"Summertime, I'll teach you how to swim.",neutral,0.6656
But I'll get hungry if I swim.,negative,0.5753
But I'll get hungry if I swim.,negative,0.5753
Seita!,neutral,0.5836
Setsuko!,neutral,0.6473
Come indoors!,neutral,0.6702
You must be hungry!,neutral,0.4768
There are ice-cold drinks too!,positive,0.7492
Mama!,neutral,0.6046
Did you wait long?,neutral,0.732
I'm so glad you came.,positive,0.988
How are you doing?,neutral,0.7921
I'm doing fine.,positive,0.8321
Everyone is nice here.,positive,0.9601
I'm hungry.,neutral,0.5208
Get up.,neutral,0.6193
There's an air raid coming.,neutral,0.6916
I'm tired.,negative,0.805
I want a piggyback ride.,positive,0.6978
To the shelters!,neutral,0.661
Your mother won't need her kimono anymore.,negative,0.6772
Why not exchange it for rice?,neutral,0.7912
I've been slowly trading my things for more food too.,neutral,0.8408
This should get about 15-kg.,neutral,0.8706
15-kg...?!,neutral,0.8149
You must also eat to build a strong body and go to war.,neutral,0.674
This is worth 15-kg?,neutral,0.9033
I'm sure your mother will be happier this way.,positive,0.8845
I'll take these now.,neutral,0.6539
No!,neutral,0.4416
"Setsuko, you're awake.",neutral,0.7816
They're Mama's!,neutral,0.6533
They're Mama's!,neutral,0.6533
No!,neutral,0.4416
You can't take them!,negative,0.6056
"Setsuko, let go.",neutral,0.7576
"No, no, no!",negative,0.7057
Setsuko!,neutral,0.6473
Setsuko!,neutral,0.6473
Isn't this fine rice?,positive,0.5347
"Setsuko, we'll have steamed rice tonight.",neutral,0.8933
These are for you two to keep.,neutral,0.8455
Look!,positive,0.5707
"It's rice, Setsuko.",neutral,0.8487
Here you go.,neutral,0.581
The two are working late.,neutral,0.5116
Too bad they can't eat while it's hot.,negative,0.8476
"Setsuko, isn't this rice yummy?",positive,0.9138
I want more!,positive,0.9455
"Yes, dear.",positive,0.6363
Setsuko eats a lot when it's rice.,neutral,0.7922
It tastes so good!,positive,0.9875
What's the matter?,neutral,0.5309
I don't want porridge.,negative,0.949
Aren't there any pickled plums?,neutral,0.8612
You know they're long gone.,neutral,0.5354
Here's your lunch.,neutral,0.7926
Thank you.,positive,0.853
