text,sentiment,score
"The Beginning PONYO ON THE CLIFF BY THE SEA Producer Toshio Suzuki Animation Katsuya Kondo Backgrounds Noboru Yoshida Color design Michiyo Yasuda Imaging Atsushi Okui Music Joe Hisaishi Songs performed by FUJIOKA FUJIMAKI & Nozomi Ohashi Masako Hayashi Voices Tomoko Yamaguchi Kazushige Nagashima Yuki Amami George Tokoro Yuria Nara Rumi Hiiragi Hiroki Doi Akiko Yano Kazuko Yoshiyuki Tomoko Naraoka Written and Directed by Hayao Miyazaki Sosuke, come right back!",neutral,0.9368
Okay.,neutral,0.5844
A goldfish...,neutral,0.8126
It's stuck.,negative,0.574
That was weird.,negative,0.8359
Ow!,neutral,0.5515
Is it dead?,neutral,0.6561
It licked me...it's alive.,negative,0.5124
"Sosuke, we're leaving!",neutral,0.774
"Lisa, I caught a goldfish!",positive,0.5675
This wind feels strange...,negative,0.5623
"Sosuke, I'm starting the car!",neutral,0.6612
Did you find her?,neutral,0.8299
"What, captured by a human?",neutral,0.6111
This is bad...very bad.,negative,0.9724
Are you dead?,neutral,0.5138
You're alive!,positive,0.9083
Sosuke!,neutral,0.6462
I'm going to be late!,negative,0.6061
Lisa!,positive,0.5
I caught a goldfish.,neutral,0.6957
A goldfish?,neutral,0.832
Down by the rocks.,neutral,0.6438
"I'm sorry, but you can't use weed killer here.",negative,0.8881
Heavens no!,neutral,0.4405
This is pure sea water.,neutral,0.4898
It keeps me humidified.,neutral,0.5064
As long as it's not weed killer.,neutral,0.7052
Good day!,positive,0.9707
This is very bad.,negative,0.9702
What a creepy guy.,negative,0.9668
"But don't you say that about strangers, Sosuke.",neutral,0.6673
I won't.,neutral,0.5811
Are you taking that to school?,neutral,0.8748
Won't the teacher complain?,neutral,0.607
"Don't worry, I'll take care of you.",positive,0.7303
She's cute!,positive,0.9811
They're using the dry dock.,neutral,0.7748
"Here, eat this before we get there.",neutral,0.5807
Maybe she's hungry.,neutral,0.712
Want some?,neutral,0.7778
"Hey, my cut is gone!",negative,0.536
I'm going to call her Ponyo.,neutral,0.7956
She's really special!,positive,0.9749
She can do magic.,neutral,0.5479
She fixed my cut.,neutral,0.5612
Want some ham?,neutral,0.8401
"Ponyo likes ham, Lisa!",positive,0.6916
That makes two of us.,neutral,0.5927
Oh no...,negative,0.677
Disgusting!,negative,0.9294
"Hurry, Lisa!",neutral,0.6346
Such filth!,negative,0.9339
Intolerable!,negative,0.8612
Good morning!,positive,0.8619
"Look, Ponyo.",neutral,0.7216
There's our house.,neutral,0.7194
I'll drop you here.,neutral,0.784
Okay.,neutral,0.5844
Have fun.,positive,0.9514
See you.,neutral,0.6398
Morning.,positive,0.5075
Sorry I'm late.,negative,0.7283
Could you get Noriko's wheelchair?,neutral,0.9181
"Good morning, Sosuke.",positive,0.7879
"I'm busy, Yoshie.",neutral,0.6184
Talk to you later.,neutral,0.7611
My!,positive,0.5091
"Hello, Sosuke.",neutral,0.6574
"Can't talk now, Toki.",negative,0.7184
Maybe the teacher will get mad.,negative,0.7597
I know!,neutral,0.4773
Wait here.,neutral,0.6363
I'll be back soon.,positive,0.5875
What if a cat comes?,neutral,0.902
"Stay here, I'll be right back.",neutral,0.6466
See you later.,neutral,0.6937
It's all right.,positive,0.5812
She'll be just fine.,positive,0.7571
"Okay, thanks.",positive,0.6232
