text,sentiment,score
Wait!,neutral,0.6225
You're it!,positive,0.8501
"In this world, there's an invisible magic circle.",neutral,0.7962
You're it!,positive,0.8501
What are you doing?,neutral,0.8242
So you did date him!,neutral,0.7114
What?,neutral,0.5653
There's an inside and an outside.,neutral,0.7839
Capture the movement.,neutral,0.7191
It's hard.,negative,0.525
Right?,neutral,0.736
Let's see.,neutral,0.607
"Hey, not yet!",neutral,0.649
These people are inside the circle.,neutral,0.5542
And I'm outside.,neutral,0.7709
But I don't really care.,neutral,0.6155
How's it coming?,neutral,0.825
"Um, I...",neutral,0.7284
kind of messed up.,negative,0.9211
Let me have a look.,neutral,0.7437
"Oh, no.",negative,0.6307
Are you okay?,neutral,0.7918
"Hey, hey...",neutral,0.7169
I...,neutral,0.7305
I hate myself.,negative,0.9558
Anna...,neutral,0.7219
You're fine now.,positive,0.6469
"Oh, I'm so glad.",positive,0.9701
"Thank you, Doctor.",positive,0.7876
"Anna, do you feel all right now?",neutral,0.8546
I'm fine.,positive,0.8
You looked like you were in agony.,negative,0.8299
Where was your inhaler?,neutral,0.6981
I cost you money again.,negative,0.8919
Why do you say that?,neutral,0.5037
"Oh, Miyoko.",neutral,0.7369
I brought Anna's bag.,neutral,0.8511
Her notebook is inside.,neutral,0.8251
"Why, thank you.",positive,0.7367
We were just nearby.,neutral,0.7436
If there's anything else...,neutral,0.7484
Wait...,neutral,0.6459
Has Anna been getting along with you?,neutral,0.8944
She tells me nothing about school.,negative,0.6313
She's okay.,positive,0.7556
But she's very quiet.,neutral,0.6846
Quiet?,neutral,0.786
More like...,neutral,0.7294
"Hey, don't.",neutral,0.6001
We're just a bit loud.,neutral,0.5643
"Well, take care.",neutral,0.7318
"Ever the worrywart, your mother.",neutral,0.6328
Mother...,neutral,0.6758
She's probably a loner at school.,negative,0.7062
It's true that stress can trigger asthma attacks.,negative,0.6862
"Meanwhile, my husband's off on a business trip.",neutral,0.7234
"Maybe he and I are partly to blame, too.",negative,0.6106
12 years old...,neutral,0.8533
It's a difficult age.,negative,0.5613
Have you noticed anything about her?,neutral,0.8251
She...,neutral,0.7912
always has a straight face.,neutral,0.6042
A straight face?,neutral,0.7795
I'm sorry.,negative,0.6455
