text,sentiment,sentiment_score,theme,theme_score,length
Now the latest weather forecast for northwest Koriko.,uncertain,0.3429,Resilience,0.0268,8
"Skies are clearing up, thanks to a high-pressure front moving in from the continent.",uncertain,0.3964,Family,0.8091,14
Mild winds will be blowing in from the northwest clearing out the clouds by this evening.,uncertain,0.3304,Family,0.8358,16
We'll also have a beautiful full moon tonight.,uncertain,0.3808,Family,0.747,8
Tomorrow: fair.,uncertain,0.3661,Personal Growth,0.5861,2
Day after tomorrow: fair.,uncertain,0.3757,Family,0.7265,4
More news in just a minute.,uncertain,0.4105,Resilience,0.435,6
"First, a word from today's sponsor-- Jiji, I've decided!",uncertain,0.3884,Personal Growth,0.571,9
Tonight's the night!,uncertain,0.3721,Family,0.8644,3
"RING BELL FOR WITCH, KOKIRI Mom!",very positive,0.6143,Family,0.8678,6
"Oh, hi, Miss Dora.",very positive,0.652,Friendship,0.3063,4
It's gonna be clear tonight.,uncertain,0.3847,Family,0.7875,5
I heard the weather forecast.,neutral,0.4882,Resilience,0.0036,5
There's gonna be a big full moon.,uncertain,0.2764,Family,0.0672,7
Did you borrow your father's radio without permission again?,very negative,0.5782,Family,0.9583,9
"It's okay, isn't it?",neutral,0.5806,Family,0.7478,4
"Happy to see you, Miss Dora.",very positive,0.4728,Family,0.8335,6
"Mom, my mind's made up.",uncertain,0.4267,Family,0.9338,5
It's tonight.,uncertain,0.3585,Family,0.8488,2
Weren't you going to put it off a month?,uncertain,0.3116,Family,0.8674,9
But the next full moon might be on a cloudy night.,uncertain,0.3464,Resilience,0.6389,11
I want to leave on the perfect night.,uncertain,0.3201,Family,0.7702,8
"Kiki, wait!",uncertain,0.3487,Family,0.5997,2
"My, my.",uncertain,0.4345,Family,0.8657,2
What's this leaving business?,very negative,0.5522,Trauma,0.0191,4
It's one of our old customs.,neutral,0.4859,Family,0.5855,6
"At 13, a witch leaves home for a year of training.",uncertain,0.314,Personal Growth,0.8646,11
Your little baby is 13?,uncertain,0.2991,Family,0.8493,5
"My, my.",uncertain,0.4345,Family,0.8657,2
"Time flies so quickly, doesn't it?",very positive,0.5833,Family,0.5398,6
I'm afraid so.,uncertain,0.34,Family,0.8051,3
But nobody leaves home that young anymore.,uncertain,0.3818,Family,0.9072,7
I remember perfectly well the day you arrived in this town.,very positive,0.4953,Family,0.8368,11
