text,sentiment,score
"Long ago, in the faraway land of ancient Greece, there was a golden age of powerful gods and extraordinary heroes.",positive,0.7707
And the greatest and strongest of all these heroes was the mighty Hercules.,positive,0.8549
But what is the measure of a true hero?,neutral,0.799
That is what our story is...,neutral,0.8135
Will you listen to him?,neutral,0.8413
He's makin' the story sound like some Greek tragedy.,neutral,0.5063
"Lighten up, dude.",neutral,0.4883
"We'll take it from here, darling.",neutral,0.5137
"You go, girl.",neutral,0.6835
"We are the Muses, goddesses of the arts and proclaimers of heroes.",neutral,0.5128
Heroes like Hercules.,neutral,0.6677
"Honey, you mean ""Hunk-ules."" I'd like to make some sweet music with him...",positive,0.8837
"Our story actually begins long before Hercules, many aeons ago.",neutral,0.7953
"Back when the world was new The planet Earth was down on its luck And everywhere gigantic brutes called Titans ran amok It was a nasty place There was a mess wherever you stepped Where chaos reigned and the earthquakes and volcanoes never slept Say it, girlfriend!",negative,0.7595
"And then along came Zeus He hurled his thunderbolt He zapped Locked those suckers in a vault They're trapped And on his own stopped chaos in its tracks And that's the gospel truth The guy was too ""Type A"" to just relax And that's the world's first dish Yeah, baby.",neutral,0.522
"Zeus tamed the globe while still in his youth Though, honey it may seem impossible That's the gospel truth On Mount Olympus life was neat And smooth as sweet vermouth Although, honey it may seem impossible That's the gospel truth Yeah, yeah Hey, hey, hey Hey, yeah Hercules!",positive,0.5519
Behave yourself.,neutral,0.5834
Look at this.,neutral,0.7571
Look how cute he is.,positive,0.9816
He's strong like his dad.,positive,0.8072
Excuse me!,negative,0.4855
Hot stuff coming through!,positive,0.8358
Excuse me.,neutral,0.4804
"One side, Ares.",neutral,0.7309
"Why, Hermes, they're lovely.",positive,0.8809
"Yeah, you know, I had Orpheus do the arrangement.",neutral,0.8559
Isn't that too nutty?,negative,0.7409
Fabulous party.,positive,0.9472
"You know, I haven't seen this much love in a room since Narcissus discovered himself.",neutral,0.5177
"Dear, keep those away from the baby.",negative,0.5563
He won't hurt himself.,neutral,0.7265
Let the kid have a little fun.,positive,0.7625
"On behalf of my son, I want to thank you all for your wonderful gifts!",positive,0.9902
"What about our gift, dear?",neutral,0.8431
"Well, let's see here.",neutral,0.7779
We'll take...,neutral,0.7789
Yes.,positive,0.461
A little cirrus and a touch of nimbostratus and a dash of cumulus.,neutral,0.8622
"His name is Pegasus, and he's all yours, son.",neutral,0.6218
Mind his head.,neutral,0.5245
He's so tiny.,negative,0.5659
My boy.,positive,0.8019
My little Hercules.,positive,0.6243
How sentimental.,negative,0.6289
"You know, I haven't been this choked up since I got a hunk of moussaka caught in my throat!",negative,0.8719
So is this an audience or a mosaic?,neutral,0.7832
"Hey, how you doin'?",neutral,0.7677
Lookin' good.,positive,0.9408
Nice dress.,positive,0.9234
"So, Hades, you finally made it.",neutral,0.6195
How are things in the underworld?,neutral,0.8304
"Well, they're just fine.",positive,0.7586
"You know, a little dark, a little gloomy.",negative,0.5129
"And, as always, hey, full of dead people.",negative,0.8815
What are you gonna do?,neutral,0.856
There's the little sunspot.,neutral,0.5394
Little snootchie.,neutral,0.5294
"And here is a sucker for the little sucker, eh?",negative,0.7846
Here you go.,neutral,0.581
Ya just...,neutral,0.6921
Powerful little tyke.,positive,0.7782
"Come on, Hades.",negative,0.6031
Don't be such a stiff.,negative,0.5037
Join the celebration!,positive,0.9535
Hey.,neutral,0.5456
"Love to, babe, but unlike you gods lounging about up here, I regrettably have a full-time gig that you, by the way, so charitably bestowed on me, Zeus.",neutral,0.4718
"So, can't.",negative,0.6725
"Love to, but can't.",negative,0.4773
You ought to slow down.,neutral,0.6138
You'll work yourself to death.,negative,0.7565
Work yourself to death!,negative,0.6775
I kill myself!,negative,0.9093
If only.,neutral,0.5612
If only.,neutral,0.5612
"If there's one god you don't want to get steamed up, it's Hades.",negative,0.7259
'Cause he had an evil plan.,negative,0.5758
He ran the underworld But thought the dead were dull and uncouth He was as mean as he was ruthless And that's the gospel truth He had a plan to shake things up And that's the gospel truth Pain!,negative,0.6487
"Coming, your most lugubriousness.",neutral,0.6374
Panic!,neutral,0.5064
I'm sorry.,negative,0.6455
I can handle it!,positive,0.829
Pain!,neutral,0.5265
And Panic!,neutral,0.6609
Reporting for duty!,neutral,0.7152
Reporting for duty!,neutral,0.7152
"Fine, fine, fine.",positive,0.6948
Just let me know the instant the Fates arrive.,neutral,0.896
They're here.,neutral,0.7235
What?,neutral,0.5653
"The Fates are here, and you didn't tell me?",neutral,0.503
We are worms!,negative,0.8469
Worthless worms!,negative,0.8777
We are worms!,negative,0.8469
Worthless worms!,negative,0.8777
"Memo to me, memo to me.",neutral,0.8149
Maim you after my meeting.,neutral,0.8553
"Darling, hold that mortal's thread of life good and tight.",neutral,0.566
Incoming!,neutral,0.5547
Ladies!,neutral,0.6388
I am so sorry that I'm...,negative,0.8811
Late!,neutral,0.6153
Late!,neutral,0.6153
We knew you would be.,neutral,0.7015
We know everything.,neutral,0.6584
Past.,neutral,0.6678
Present.,neutral,0.5874
And Future.,neutral,0.7485
"Indoor plumbing, it's gonna be big.",positive,0.5334
"Great, great.",positive,0.9413
"Anyway, see, ladies, I was at this party, and I lost track of...",neutral,0.598
We know!,neutral,0.5531
Yeah.,neutral,0.5491
I know you know.,neutral,0.6317
So here's the deal.,neutral,0.6722
"Zeus, Mr.",neutral,0.7769
"High and Mighty, Mr.",positive,0.6731
"""Hey, you, get off of my cloud,"" now he has...",neutral,0.6666
A bouncing baby brat.,neutral,0.5817
We know!,neutral,0.5531
I know you know.,neutral,0.6317
I know.,neutral,0.5132
I got it.,positive,0.4689
I got the concept.,neutral,0.6513
So let me just ask.,neutral,0.8302
"Is this kid gonna mess up my hostile takeover bid, or what?",negative,0.6504
What do you think?,neutral,0.809
"No, you don't.",neutral,0.4695
We're not supposed to reveal the future.,negative,0.493
Wait.,neutral,0.5851
I'm sorry.,negative,0.6455
Time out.,neutral,0.5039
Can I...,neutral,0.8114
"Can I ask you a question, by the way?",neutral,0.8967
Are you...,neutral,0.7613
Did you cut your hair or something?,neutral,0.6911
You look fabulous.,positive,0.9784
"I mean, you look like a Fate worse than death.",negative,0.9655
Gross!,negative,0.8366
It's blinkin'!,neutral,0.5503
"Ladies, please.",neutral,0.76
My fate is in your lovely hands.,positive,0.7305
Yeah!,positive,0.7406
All right.,neutral,0.4897
"In 18 years precisely, the planets will align ever so nicely.",positive,0.9389
Verse.,neutral,0.6394
The time to act will be at hand.,neutral,0.8395
"Unleash the Titans, your monstrous band.",negative,0.7745
"Good, good.",positive,0.8939
"Then the once-proud Zeus will finally fall, and you, Hades, will rule all!",negative,0.4823
Yes!,positive,0.8097
Hades rules!,neutral,0.5377
A word of caution to this tale.,neutral,0.8234
Excuse me?,neutral,0.5234
"Should Hercules fight, you will fail.",negative,0.6599
What?,neutral,0.5653
"Okay, fine, fine.",positive,0.4983
I'm cool.,positive,0.8979
I'm fine.,positive,0.8
Pain?,neutral,0.6839
Panic?,neutral,0.6569
Got a little riddle for ya.,neutral,0.7468
How do you kill a god?,negative,0.7604
I do not know!,negative,0.4892
You can't.,negative,0.6466
They're immortal?,neutral,0.7954
Bingo!,neutral,0.5437
They're immortal.,positive,0.7543
"So, first you got to turn the little sunspot mortal.",neutral,0.822
What?,neutral,0.5653
What is it?,neutral,0.75
The baby!,positive,0.6544
The baby!,positive,0.6544
Hercules!,neutral,0.6589
No!,neutral,0.4416
Now we did it!,positive,0.737
Zeus is gonna use us for target practice!,neutral,0.7785
"Just hang onto the kid, Panic.",neutral,0.6658
Hurry!,neutral,0.5702
"Let's just kill the kid and get it over with, okay?",negative,0.8422
"Here you go, kid.",neutral,0.4887
A little Grecian formula.,neutral,0.7959
Look at that!,positive,0.6315
He's changing.,neutral,0.7622
Can we do it now?,neutral,0.8023
"No, he has to drink the whole potion.",neutral,0.6796
Every last drop.,neutral,0.5898
Who's there?,neutral,0.8102
"Alcmene, over here.",neutral,0.8459
