text,sentiment,sentiment_score,theme,theme_score,length
Pirates!,very positive,0.4726,Resilience,0.0013,1
We're under attack!,uncertain,0.3556,Trauma,0.6304,3
Hold them off!,uncertain,0.3752,Resilience,0.8493,3
Get down on the floor.,uncertain,0.3892,Family,0.738,5
Tear gas!,uncertain,0.2931,Trauma,0.1645,2
What are you waiting for?,uncertain,0.4457,Family,0.7212,5
Break it down!,very positive,0.5465,Family,0.5967,3
Where'd she go?,uncertain,0.3315,Trauma,0.588,3
There she is!,uncertain,0.3968,Family,0.9233,3
She's getting away!,very positive,0.4899,Personal Growth,0.9469,3
"Well, get her!",uncertain,0.3749,Family,0.8817,3
"Mama, don't drop me!",uncertain,0.3934,Family,0.9902,4
There's the stone.,uncertain,0.3381,Resilience,0.6575,3
"Quick, go next door!",positive,0.5069,Family,0.7933,4
Get that crystal!,very positive,0.5826,Personal Growth,0.5409,3
There goes the crystal.,uncertain,0.2948,Trauma,0.4653,4
"CASTLE IN THE SKY Two meatballs, please.",uncertain,0.3264,Resilience,0.0574,7
Working late?,negative,0.5172,Personal Growth,0.1363,2
We're finally busy again.,uncertain,0.3699,Family,0.6497,4
Still working?,uncertain,0.383,Family,0.6524,2
Yeah.,uncertain,0.3646,Family,0.8922,1
What's that?,uncertain,0.3998,Family,0.166,2
A person!,uncertain,0.3285,Personal Growth,0.8182,2
Pazu!,very positive,0.5191,Friendship,0.7947,1
What are you up to?,neutral,0.4947,Personal Growth,0.7152,5
Where's my dinner?,uncertain,0.3683,Family,0.0575,3
Boss!,very positive,0.4755,Identity,0.0567,1
A girl fell from the sky.,very negative,0.6603,Trauma,0.8374,6
"Boss, she fell from the sky.",very negative,0.5052,Trauma,0.9103,6
Darn old clunker.,uncertain,0.4377,Trauma,0.0659,3
Boss!,very positive,0.4755,Identity,0.0567,1
A girl...,uncertain,0.3705,Personal Growth,0.7904,2
Close valve number two!,uncertain,0.2629,Family,0.4939,4
"Pazu, toss me a wrench.",uncertain,0.3315,Personal Growth,0.5011,5
Sure.,neutral,0.4996,Family,0.8981,1
I'm busy here.,uncertain,0.375,Personal Growth,0.8326,3
You take it.,uncertain,0.3625,Family,0.7551,3
Don't make them wait.,very negative,0.4732,Family,0.8648,4
Yes!,uncertain,0.4402,Family,0.8961,1
Keep a steady hand.,uncertain,0.385,Family,0.8558,4
Yes!,uncertain,0.4402,Family,0.8961,1
Brake!,very negative,0.5789,Personal Growth,0.4545,1
Any luck?,very negative,0.5999,Family,0.4391,2
"No silver, no tin even.",very negative,0.7223,Family,0.4543,5
All that wasted work.,very negative,0.6887,Family,0.5812,4
Should we try the east vein?,uncertain,0.3101,Personal Growth,0.0862,6
That's riddled with old holes.,uncertain,0.4483,Trauma,0.8605,5
We'll have to start over.,uncertain,0.3337,Family,0.6764,5
That's enough for today.,neutral,0.5864,Family,0.6291,4
Push!,very negative,0.464,Personal Growth,0.9404,1
Shut down the boiler.,negative,0.5152,Trauma,0.333,4
Call it a day.,uncertain,0.3673,Family,0.7392,4
I'll go under at this rate.,uncertain,0.3928,Trauma,0.4818,6
"Oil the clunker, Pazu.",uncertain,0.3605,Trauma,0.0092,4
Yes!,uncertain,0.4402,Family,0.8961,1
"Mama, we couldn't find her.",uncertain,0.3557,Family,0.9798,5
It's too dark.,negative,0.5984,Trauma,0.5078,3
I hope you really looked!,very positive,0.5361,Family,0.8309,5
All right.,uncertain,0.4407,Family,0.828,2
We'll wait for daylight.,neutral,0.4781,Family,0.8629,4
Hi.,uncertain,0.4428,Family,0.9026,1
How are you feeling?,neutral,0.5287,Family,0.4763,4
"Hey, come on guys...",uncertain,0.3877,Personal Growth,0.781,4
I'm Pazu.,very positive,0.5072,Identity,0.9317,2
I live here by myself.,uncertain,0.3592,Loneliness,0.9734,5
They eat after I play.,uncertain,0.2777,Family,0.969,5
So you are human after all.,uncertain,0.3408,Personal Growth,0.9076,6
I was afraid you were an angel.,uncertain,0.4249,Family,0.3947,7
Thanks for helping me.,uncertain,0.4131,Personal Growth,0.8511,4
I'm Sheeta.,uncertain,0.323,Identity,0.9802,2
"Sheeta, nice name.",positive,0.4815,Personal Growth,0.0725,3
