text,sentiment,score
"Once upon a time, in a faraway land, a young prince lived in a shining castle.",positive,0.5991
"Although he had everything his heart desired, the prince was spoiled, selfish and unkind.",negative,0.8823
"But then, one winter's night, an old beggar woman came to the castle and offered him a single rose in return for shelter from the bitter cold.",neutral,0.8127
"Repulsed by her haggard appearance, the prince sneered at the gift and turned the old woman away.",negative,0.6254
"But she warned him not to be deceived by appearances, for beauty is found within.",neutral,0.5724
"And when he dismissed her again, the old woman's ugliness melted away to reveal a beautiful enchantress.",neutral,0.5109
"The prince tried to apologize, but it was too late, for she had seen that there was no love in his heart.",negative,0.6254
"And as punishment, she transformed him into a hideous beast and placed a powerful spell on the castle and all who lived there.",negative,0.736
"Ashamed of his monstrous form, the Beast concealed himself inside his castle with a magic mirror as his only window to the outside world.",negative,0.5691
"The rose she had offered was truly an enchanted rose, which would bloom until his 21st year.",positive,0.8481
"If he could learn to love another and earn her love in return by the time the last petal fell, then the spell would be broken.",neutral,0.6372
"If not, he would be doomed to remain a beast for all time.",negative,0.7904
"As the years passed, he fell into despair and lost all hope, for who could ever learn to love a beast?",negative,0.8143
"Little town, it's a quiet village Every day like the one before Little town, full of little people Waking up to say...",neutral,0.6646
"There goes the baker with his tray, like always The same old bread and rolls to sell Every morning just the same Since the morning that we came To this poor provincial town Good morning, Belle.",neutral,0.6134
"Morning, monsieur.",neutral,0.5349
Where you off to?,neutral,0.7235
The bookshop.,neutral,0.7601
I just finished the most wonderful story about a beanstalk and an ogre and...,positive,0.9751
That's nice.,positive,0.9712
"Marie, the baguettes!",neutral,0.557
Hurry up!,positive,0.5325
"Look, there she goes The girl is strange, no question Dazed and distracted, can't you tell?",negative,0.4976
Never part of any crowd 'Cause her head's up on some cloud No denying she's a funny girl that Belle -Bonjour -Good day How is your family?,positive,0.6985
-Bonjour -Good day How is your wife?,positive,0.5416
I need six eggs That's too expensive There must be more than this provincial life Belle.,negative,0.726
Good morning.,positive,0.7194
I've come to return the book I borrowed.,neutral,0.7767
Finished already?,neutral,0.7705
I couldn't put it down.,neutral,0.4495
Have you got anything new?,neutral,0.8507
Not since yesterday.,neutral,0.4913
That's all right.,positive,0.5717
I'll borrow this one.,neutral,0.7155
That one?,neutral,0.7192
But you've read it twice.,neutral,0.6444
"Well, it's my favorite.",positive,0.9467
"Far-off places, daring sword fights, magic spells, a prince in disguise.",neutral,0.8137
"If you like it all that much, it's yours.",positive,0.6168
"But, sir...",neutral,0.7413
