text,sentiment,score
"Studio Ghibli, Nippon Television Network, Dentsu, Hakuhodo DYMP, Walt Disney Japan, Mitsubishi and Toho present Planning & Screenplay by Hayao Miyazaki Produced by Toshio Suzuki Based on the Original Graphic Novel by Chizuru Takahashi & Tetsuro Sayama Screenplay by Keiko Niwa Music by Satoshi Takebe FROM UP ON POPPY HILL “Summer of Farewells” Performed by Aoi Teshima “Ue wo Muite Aruko” Performed by Kyu Sakamoto Character Design - Katsuya Kondo Imaging - Atsushi Okui Sound Design Koji Kasamatsu Masami Nagasawa Junichi Okada Keiko Takeshita Rumi Hiiragi Yuriko Ishida Jun Fubuki Takashi Naito Shunsuke Kazama Nao Omori Teruyuki Kagawa Directed by Goro Miyazaki The pot is bubbling The rice is steaming The cutting board is standing by The tofu is jiggly The eggs are slippery The natto is sticky as can be Drop the eggs in a frying pan Stir the miso in a pot Pile the rice in a server Everything is ready to go Time to wake up the house Get everyone to the table Now dig in, eat hearty It's another sunny day Another beautiful breakfast together And I made it all for you Hurry up, dig in now But be sure to taste every bite Another beautiful breakfast together And I made it all for you Hurry up, dig in now But be sure to taste every bite Morning!",neutral,0.506
Good morning.,positive,0.7194
Is Sora up yet?,neutral,0.8945
Still in front of the mirror.,neutral,0.6955
Good morning.,positive,0.7194
Morning.,positive,0.5075
Night shift again?,neutral,0.736
And tonight too.,neutral,0.7995
Shall I save dinner for you?,neutral,0.8993
"Yes, thanks.",positive,0.8316
That's real service.,neutral,0.5521
The hospital's short-handed.,neutral,0.5163
I got a hole in my sock!,negative,0.8185
Leave it by the sewing machine.,neutral,0.7059
More holes?,neutral,0.6783
My socks keep shrinking.,negative,0.7808
This is for you.,neutral,0.5981
Pack me a jumbo lunch.,neutral,0.7321
Don't you eat enough already?,negative,0.4952
"Here Riku, have my fried egg.",neutral,0.8452
All right!,positive,0.7464
"You need it more, Dr.",neutral,0.5847
Hokuto.,neutral,0.6832
Who's the doctor here?,neutral,0.8117
You drown everything in soy sauce.,negative,0.8491
I like it that way.,positive,0.673
Me too.,neutral,0.696
"Breakfast is ready, Hiro.",neutral,0.7047
"Good morning, Hana.",positive,0.707
Good morning.,positive,0.7194
You can share your mother's.,neutral,0.8356
Thanks.,positive,0.6284
Can I make you some tea?,neutral,0.8685
"No thanks, I've had some.",neutral,0.6057
Good morning.,positive,0.7194
Good morning.,positive,0.7194
Thanks.,positive,0.6284
"Please go ahead, everyone.",positive,0.5142
Let's eat!,positive,0.6007
You're late.,negative,0.542
