text,sentiment,sentiment_score,theme,theme_score,length
Pirates!,negative,0.9784,Bittersweet Ending,0.7413,1
We're under attack!,anxious,0.993,Working Class Dignity,0.7957,3
Hold them off!,positive,0.8114,Pacifism,0.9208,3
Get down on the floor.,contemplative,0.8433,Collective Responsibility,0.6878,5
Tear gas!,negative,0.9843,Bittersweet Ending,0.5776,2
What are you waiting for?,contemplative,0.9503,Bittersweet Ending,0.4316,5
Break it down!,bittersweet,0.1322,Bittersweet Ending,0.6606,3
Where'd she go?,anxious,0.984,Bittersweet Ending,0.6814,3
There she is!,positive,0.9246,Clear Antagonist,0.7884,3
She's getting away!,anxious,0.9799,Bittersweet Ending,0.9558,3
"Well, get her!",positive,0.9686,Female Empowerment,0.874,3
"Mama, don't drop me!",anxious,0.9945,Elderly Guidance,0.9747,4
There's the stone.,contemplative,0.9625,Clear Antagonist,0.6821,3
"Quick, go next door!",anxious,0.9713,Child Wisdom,0.7648,4
Get that crystal!,positive,0.9233,Spiritual Connection,0.6788,3
There goes the crystal.,negative,0.9981,Bittersweet Ending,0.987,4
"CASTLE IN THE SKY Two meatballs, please.",contemplative,0.7856,Animal Symbolism,0.1838,7
Working late?,anxious,0.8753,Bittersweet Ending,0.7382,2
We're finally busy again.,anxious,0.5389,Collective Responsibility,0.4588,4
Still working?,contemplative,0.4685,Technology Skepticism,0.5642,2
Yeah.,positive,0.9804,Bittersweet Ending,0.9496,1
What's that?,contemplative,0.8396,Bittersweet Ending,0.3362,2
A person!,positive,0.8597,Bittersweet Ending,0.4117,2
Pazu!,positive,0.9959,Spiritual Connection,0.9464,1
What are you up to?,contemplative,0.6404,Moral Complexity,0.2936,5
Where's my dinner?,anxious,0.9806,Moral Ambiguity,0.3753,3
Boss!,positive,0.9745,Capitalist Success,0.7775,1
A girl fell from the sky.,bittersweet,0.7956,Bittersweet Ending,0.902,6
"Boss, she fell from the sky.",negative,0.9774,Bittersweet Ending,0.9689,6
Darn old clunker.,negative,0.999,Melancholy,0.4625,3
Boss!,positive,0.9745,Capitalist Success,0.7775,1
A girl...,contemplative,0.9324,Female Empowerment,0.8792,2
Close valve number two!,positive,0.7662,Japanese Collectivism,0.4496,4
"Pazu, toss me a wrench.",anxious,0.9137,Animal Symbolism,0.9785,5
Sure.,positive,0.9848,Bittersweet Ending,0.919,1
I'm busy here.,anxious,0.7322,Clear Antagonist,0.5328,3
You take it.,positive,0.8595,Collective Responsibility,0.9551,3
Don't make them wait.,positive,0.8809,Intergenerational Wisdom,0.9086,4
Yes!,positive,0.9989,Bittersweet Ending,0.879,1
Keep a steady hand.,positive,0.5628,Intergenerational Wisdom,0.8488,4
Yes!,positive,0.9989,Bittersweet Ending,0.879,1
Brake!,negative,0.9167,Collective Responsibility,0.7001,1
Any luck?,contemplative,0.6536,Bittersweet Ending,0.444,2
"No silver, no tin even.",negative,0.9985,Traditional Values,0.6983,5
All that wasted work.,negative,0.9581,Bittersweet Ending,0.6775,4
Should we try the east vein?,contemplative,0.8828,Technology Skepticism,0.164,6
That's riddled with old holes.,very negative,0.996,Melancholy,0.2994,5
We'll have to start over.,bittersweet,0.9081,Bittersweet Ending,0.7136,5
That's enough for today.,contemplative,0.606,Quiet Contemplation,0.518,4
Push!,positive,0.9563,Female Empowerment,0.877,1
Shut down the boiler.,negative,0.9545,Collective Responsibility,0.8263,4
Call it a day.,negative,0.9418,Happy Ending,0.9587,4
I'll go under at this rate.,negative,0.9983,Acceptance of Death,0.8625,6
"Oil the clunker, Pazu.",very negative,0.9444,Animal Symbolism,0.8398,4
Yes!,positive,0.9989,Bittersweet Ending,0.879,1
"Mama, we couldn't find her.",anxious,0.9748,Parental Absence,0.9228,5
It's too dark.,negative,0.9982,Melancholy,0.3242,3
I hope you really looked!,positive,0.4628,Japanese Collectivism,0.5237,5
All right.,positive,0.9703,Bittersweet Ending,0.7687,2
We'll wait for daylight.,contemplative,0.9952,Bittersweet Ending,0.8994,4
Hi.,contemplative,0.8719,Bittersweet Ending,0.809,1
How are you feeling?,contemplative,0.6564,Bittersweet Ending,0.4475,4
"Hey, come on guys...",anxious,0.9798,Bittersweet Ending,0.7004,4
I'm Pazu.,contemplative,0.7851,Cultural Identity,0.9409,2
I live here by myself.,contemplative,0.9729,Western Individualism,0.9336,5
They eat after I play.,positive,0.5573,Bittersweet Ending,0.736,5
So you are human after all.,contemplative,0.8946,Bittersweet Ending,0.8621,6
I was afraid you were an angel.,anxious,0.717,Spiritual Connection,0.862,7
Thanks for helping me.,positive,0.9729,Elderly Guidance,0.6464,4
I'm Sheeta.,contemplative,0.8471,Cultural Identity,0.9493,2
"Sheeta, nice name.",positive,0.9979,Animal Symbolism,0.365,3
You fell from the sky.,negative,0.9048,Bittersweet Ending,0.9331,5
A bit scary.,negative,0.9888,Moral Complexity,0.4808,3
That's right.,positive,0.9878,Bittersweet Ending,0.6697,2
Why am I still alive?,contemplative,0.9753,Melancholy,0.4941,5
I fell from the airship...,bittersweet,0.7964,Bittersweet Ending,0.9784,5
Have you forgotten?,contemplative,0.9055,Bittersweet Ending,0.658,3
Yes.,positive,0.9949,Bittersweet Ending,0.9535,1
"Say, can I see that?",contemplative,0.8764,Bittersweet Ending,0.5762,5
This?,contemplative,0.7856,Bittersweet Ending,0.6655,1
Yes.,positive,0.9949,Bittersweet Ending,0.9535,1
It's been in my family forever.,contemplative,0.7718,Intergenerational Wisdom,0.8141,6
It's beautiful.,very positive,0.998,Romantic Resolution,0.8145,2
Wait...,contemplative,0.9946,Bittersweet Ending,0.9524,1
Watch this!,positive,0.8913,Bittersweet Ending,0.5963,2
Pazu!,positive,0.9959,Spiritual Connection,0.9464,1
So it wasn't the stone after all.,bittersweet,0.9863,Bittersweet Ending,0.9948,7
Pazu!,positive,0.9959,Spiritual Connection,0.9464,1
"Oh, no!",negative,0.999,Melancholy,0.6809,2
Pazu!,positive,0.9959,Spiritual Connection,0.9464,1
Are you okay?,contemplative,0.8529,Bittersweet Ending,0.5776,3
Yeah.,positive,0.9804,Bittersweet Ending,0.9496,1
Are you?,contemplative,0.8846,Bittersweet Ending,0.8234,2
I'm fine.,positive,0.9873,Quiet Contemplation,0.7458,2
"Sorry, did it hurt?",negative,0.8197,Bittersweet Ending,0.8164,4
"No, my head's harder than my boss's fists.",negative,0.9969,Moral Complexity,0.732,8
The pot's still boiling.,negative,0.119,Japanese Collectivism,0.3706,4
Hungry?,negative,0.5608,Animal Symbolism,0.4926,1
Let's eat.,positive,0.9488,Collective Responsibility,0.7962,2
Wash up over there.,positive,0.8889,Collective Responsibility,0.8609,4
There's a towel.,contemplative,0.7677,Bittersweet Ending,0.5907,3
Thank you.,positive,0.9871,Bittersweet Ending,0.8257,2
Laputa...,contemplative,0.9191,Animal Symbolism,0.9661,1
Sheeta!,negative,0.9991,Bittersweet Ending,0.9942,1
Where are you?,anxious,0.8086,Bittersweet Ending,0.513,3
My father took that picture.,bittersweet,0.9109,Intergenerational Wisdom,0.9852,5
"That's Laputa, an island in the sky.",contemplative,0.5888,Animal Symbolism,0.745,7
An island in the sky?,contemplative,0.9019,Moral Ambiguity,0.3483,5
They say it's only a myth.,negative,0.9818,Technology Skepticism,0.4738,6
But my father saw it.,bittersweet,0.895,Intergenerational Wisdom,0.9914,5
He took it from an airship.,contemplative,0.7063,Bittersweet Ending,0.6866,6
"There's a Laputa in Gulliver's Travels, but Swift made it up.",contemplative,0.6967,Animal Symbolism,0.377,11
Dad drew this.,contemplative,0.9212,Intergenerational Wisdom,0.9508,3
He said the abandoned palace was full of treasure.,positive,0.628,Moral Ambiguity,0.5588,9
But nobody believed him.,negative,0.9783,Bittersweet Ending,0.8656,4
"Until he died, they called him a liar.",negative,0.9915,Moral Ambiguity,0.4535,8
But my father never lied.,positive,0.9257,Intergenerational Wisdom,0.995,5
I'm building a real plane.,positive,0.5363,Clear Antagonist,0.1601,5
I'm going to find Laputa!,positive,0.9024,Animal Symbolism,0.9783,5
A real automobile...,positive,0.8835,Bittersweet Ending,0.4007,3
They're pirates!,very negative,0.7329,Bittersweet Ending,0.2212,2
They attacked the airship.,negative,0.6185,Collective Responsibility,0.78,4
Are they after you?,anxious,0.8925,Moral Ambiguity,0.2285,4
Yes.,positive,0.9949,Bittersweet Ending,0.9535,1
Quick!,anxious,0.9373,Bittersweet Ending,0.5703,1
Morning!,positive,0.8426,Japanese Collectivism,0.59,1
"Hey, wait!",contemplative,0.9879,Bittersweet Ending,0.8935,2
We're in a rush.,anxious,0.997,Clear Antagonist,0.4041,4
Have you seen a girl?,anxious,0.59,Female Empowerment,0.3846,5
"Sure, yesterday...",contemplative,0.874,Bittersweet Ending,0.9371,2
"The boss's kid, Madge...",bittersweet,0.8617,Bittersweet Ending,0.8683,4
Off you go!,positive,0.8682,Bittersweet Ending,0.714,3
They're looking for you.,anxious,0.6219,Collective Responsibility,0.4875,4
"Louis, a girl's dress!",positive,0.6427,Female Empowerment,0.9136,4
What!,negative,0.968,Bittersweet Ending,0.8614,1
She was disguised!,contemplative,0.6705,Bittersweet Ending,0.8173,3
Tell Mama!,positive,0.9131,Elderly Guidance,0.9898,2
All right!,positive,0.9916,Bittersweet Ending,0.6425,2
Haven't seen her.,contemplative,0.9677,Bittersweet Ending,0.8969,3
A cute little girl.,very positive,0.9399,Child Wisdom,0.867,4
"Brown hair, braids...",contemplative,0.8269,Bittersweet Ending,0.7117,3
Boss!,positive,0.9745,Capitalist Success,0.7775,1
Boss!,positive,0.9745,Capitalist Success,0.7775,1
About that age.,contemplative,0.8395,Elderly Guidance,0.813,3
Hey!,positive,0.9615,Bittersweet Ending,0.8948,1
That's her!,positive,0.9836,Female Empowerment,0.9023,2
Pirates!,negative,0.9784,Bittersweet Ending,0.7413,1
They're chasing her.,anxious,0.9515,Clear Antagonist,0.6606,3
Pirates!,negative,0.9784,Bittersweet Ending,0.7413,1
Lemme see!,contemplative,0.923,Japanese Collectivism,0.588,2
Not one step closer.,negative,0.9984,Bittersweet Ending,0.9621,4
Hand her over.,contemplative,0.8337,Acceptance of Death,0.9302,3
"Pirates, eh?",negative,0.9628,Bittersweet Ending,0.5174,2
Dola's clan.,contemplative,0.7979,Cultural Identity,0.9822,2
Go home.,negative,0.9624,Bittersweet Ending,0.9475,2
Just poor folk here.,negative,0.9618,Working Class Dignity,0.982,4
Ma'am?,contemplative,0.9198,Bittersweet Ending,0.7844,1
Scoot out the back.,negative,0.8161,Bittersweet Ending,0.8502,4
I want to fight.,anxious,0.8798,Clear Antagonist,0.8465,4
They've got weapons!,anxious,0.5263,Clear Antagonist,0.3868,3
But...,bittersweet,0.964,Bittersweet Ending,0.9919,1
What a pretty girl.,very positive,0.9811,Female Empowerment,0.7155,4
Better protect her.,anxious,0.8206,Collective Responsibility,0.8708,3
You refuse to step aside?,negative,0.8065,Moral Complexity,0.7719,5
Use your fists.,positive,0.5026,Traditional Values,0.6471,3
