text,sentiment,sentiment_score,theme,theme_score,length
"Hi, this is Ron Clements, I'm the co-writer, co-director of Little Mermaid.",very positive,0.537,Resilience,0.0106,1
"Hi, I'm John Musker, I'm the other guy, the other co-director, co-writer of The Little Mermaid.",uncertain,0.372,Identity,0.1402,16
"Hi, I'm Alan Menken, the composer of Little Mermaid.",uncertain,0.4306,Resilience,0.0356,9
"You're gonna hear a lot on this audio commentary about Howard Ashman, who I consider to be the greatest theatrical dramatic talent of our generation, as a writer.",uncertain,0.3833,Family,0.5745,28
Howard passed away before Beauty and the Beast was released and after Little Mermaid came out.,neutral,0.4611,Grief,0.6608,16
"Coming up is an earlier interview that Howard and I did at the time of the release of the film, and it's great to hear his voice adding to ours.",uncertain,0.4254,Family,0.5638,30
This is Ron again.,uncertain,0.4119,Personal Growth,0.5069,4
We had a really tough time getting this to work right with the ship coming through the fog.,uncertain,0.3901,Resilience,0.6588,18
This is John.,uncertain,0.307,Personal Growth,0.7313,3
This was generated by a computer but then painted in traditional ink and paint style.,neutral,0.6061,Resilience,0.6391,15
"You really saw a change in perspective there, in a way that we couldn't have done with traditional animation.",uncertain,0.3333,Family,0.6813,19
"We tried to keep color very low-key, it's kind of an overcast day, because we wanted to save the color for when we went underwater...",uncertain,0.4488,Resilience,0.6382,25
We shot this with traditional fog filters on the animation camera just to give it the feeling of a foggy day.,uncertain,0.357,Family,0.5065,21
"This is Alan, and I remember how many times Howard and I took stabs at the top of the movie musically.",uncertain,0.3647,Romantic Love,0.0231,21
"We had a much longer song, originally, which told the whole story of Eric and the boat.",uncertain,0.2966,Resilience,0.0724,17
"The back story of the witch and Triton, there was a whole story created.",neutral,0.5102,Resilience,0.089,14
And a lot of dancing and sweeping.,neutral,0.5013,Family,0.6729,7
"It's a big, elaborate production number.",uncertain,0.3462,Family,0.5988,6
And it actually got story-boarded.,very positive,0.505,Family,0.619,5
"Roger Alters, the great story artist, story-boarded it, it exists.",neutral,0.505,Resilience,0.6618,10
"Ultimately, it seemed like it took a little too long and was too involved, so we went with a shorter, trimmer version.",negative,0.6529,Family,0.7693,22
"One thing we did want to do, though, was to start the movie on the water surface and save going below, 'cause we felt it was like going to Oz or something like that.",uncertain,0.3692,Resilience,0.0745,34
"So, it's almost like this is our black-and-white section going into color now.",uncertain,0.3212,Family,0.5352,13
"Classic moment for me is when the fish jumps and hits the water and we go into this theme, and that's where the heart of the movie just jumps out at you.",positive,0.4946,Family,0.665,32
I remember we demoed this so many times.,uncertain,0.3042,Family,0.7834,8
"I can remember you and Howard Ashman were sitting there at the piano, and Howard would be like, ""Alan, give me that musical figure,"" ""something watery, something watery."" That's right.",neutral,0.6502,Family,0.1918,30
And then Alan would come up with this thing.,uncertain,0.383,Family,0.7103,9
"I'd never even heard the term ""musical figure"" before, and I'm like, ""Well, that's what that is."" I'd create this little...",uncertain,0.3672,Personal Growth,0.0059,21
"It came off the top of my head, and it became this unmistakable stamp, now, of Little Mermaid.",uncertain,0.3634,Identity,0.0012,18
-Musical signature.,uncertain,0.357,Romantic Love,0.0276,2
Anytime one hears it...,neutral,0.5717,Family,0.5703,4
"And also, with any musical, and Howard would say this too, you have to establish right at the top what are the rules for this musical.",uncertain,0.3683,Family,0.476,26
"If somebody is coming out and they're on a stage, and they're singing All That Jazz, you go, ""Okay, I get what this is."" If somebody comes out and they're animated, and they're doing a sea shanty about the fable of The Little Mermaid, you go, ""Okay, I get..."" So long as you get what world you're in, you can accept it.",uncertain,0.3546,Empathy,0.3754,62
Ron again.,uncertain,0.4056,Personal Growth,0.6055,2
This first shot of King Triton's palace is a multi-plane shot.,neutral,0.6362,Resilience,0.2636,11
"After CAPS was developed, a shot like this would be easy, but at the time, if you wanted to move in on something and give some sense of dimension, you needed to use multi-plane.",neutral,0.4849,Family,0.3075,34
I think this film was the first use of multi-plane since...,uncertain,0.2713,Family,0.6271,11
"I think there might be a shot in Jungle Book, which was kind of reused in The Rescuers, I think.",uncertain,0.3997,Resilience,0.0198,20
Those trumpet fish were the first real explosion -of higher key colors.,uncertain,0.3938,Personal Growth,0.5049,12
Really bright color.,very positive,0.5674,Family,0.837,3
"If you look, still-frame, as he passes in front of the camera, on the lower left corner of the screen, you can see Mickey, Donald and Goofy there in the audience, watching.",neutral,0.4728,Family,0.766,32
Will Ryan did the voice of the little seahorse.,positive,0.5491,Resilience,0.7653,9
Speeded up a little bit.,positive,0.5036,Personal Growth,0.8213,5
"You hear the fanfare as Triton sweeps in, and then when Sebastian comes in, there's a little dinky fanfare, and that is actually me playing the kazoo.",uncertain,0.4495,Resilience,0.0407,27
Listen to the last note particularly.,uncertain,0.3918,Resilience,0.632,6
We did have fun.,uncertain,0.4012,Family,0.9196,4
Sam Wright and Ken Mars doing the voices of Sebastian the crab and King Triton.,positive,0.4654,Resilience,0.3894,15
Sam Wright was wonderful to work with.,positive,0.4779,Personal Growth,0.826,7
"He's been playing Mufasa in The Lion King on Broadway, but prior to that, he'd been the father in a musical called Tap Dance Kid.",uncertain,0.3803,Resilience,0.0352,25
He was in the Fruit of the Loom commercials as a dancing raisin or something.,uncertain,0.4032,Identity,0.0232,15
"A great, great comic actor and singer.",very positive,0.6256,Family,0.4689,7
"He was one of the New York actors, both he and Jodi Benson were cast without John or I having ever met them in person, we just heard their voices on tape, 'cause they auditioned in New York, but we loved what they were doing.",uncertain,0.3635,Resilience,0.6277,45
Ellen Woodbury did some of this animation here.,neutral,0.4729,Family,0.6355,8
-And Will Finn I think did some.,neutral,0.5108,Personal Growth,0.6653,7
"And Will Finn as well, yeah.",uncertain,0.4327,Family,0.918,6
"In the lyrics coming up in this song, when you talk about the sisters, among the sisters, Atina is a musical I had written, actually, that Michael Bennett produced, called Atina: Evil Queen of the Galaxy, which was a big flopperoney.",very positive,0.5366,Loneliness,0.0016,41
"Arista, Attina Adella, Alana And Howard, in the lyrics, makes reference to Alana, and that was Howard's way of including me in the lyrics.",very positive,0.5175,Family,0.6339,24
"One other bit, Andrina was actually my aerobics teacher at the time, -I was taking an aerobics class.",uncertain,0.3521,Personal Growth,0.5428,18
Is that right?,neutral,0.4618,Family,0.7397,3
"We used to have more dialogue in this scene, we had a backstage scene that got cut out.",negative,0.5534,Family,0.7573,18
"It's like, ""Where's Ariel?",uncertain,0.3306,Trauma,0.1286,4
She's not here!,negative,0.4666,Loneliness,0.8868,3
"What am I gonna do?"" And then he's forced out onto the stage.",uncertain,0.3328,Trauma,0.8866,13
We just liked the staging of the shells opening.,positive,0.4995,Resilience,0.2999,9
"It just seemed kind of fun and it's a little campy, I guess.",uncertain,0.4044,Family,0.6612,13
"But we liked it and Howard went along with it eventually, but we had to sell him on the idea.",neutral,0.4633,Family,0.9038,20
Howard always had very specific ideas of how he visualized the staging.,uncertain,0.347,Family,0.6232,12
This set-up shot of the sunken ship has cross-dissolving beams.,uncertain,0.3065,Trauma,0.629,10
"Mike Peraza, our art director, did the layout for this.",uncertain,0.4338,Family,0.7303,10
It really helps set a great mood for the rest of this sequence.,positive,0.6126,Family,0.5867,13
We knew this movie would have more effects animation than any movie that had been done in a long time.,uncertain,0.388,Family,0.2198,20
"And virtually every scene underwater has effects in it, it has either bubbles, or light refractions or distortion.",uncertain,0.408,Resilience,0.1389,18
"It added a huge amount of complexity, but it's just a really great motivator in getting the whole crew together, knowing that they were facing, in some sense...",uncertain,0.3393,Family,0.7162,28
I think we presented it as almost an impossible challenge.,very negative,0.5992,Family,0.7154,10
"People like impossible challenges, because it gets them excited, and I think the whole effects department was very excited about the challenge of this film.",very positive,0.5869,Family,0.4725,25
"Alan had never written an underscore for any movie before, and he wanted to do it, and we were interested in doing it, but he'd never done it before, ""so we said,"" Let's use this as kind of a dry run, so to speak, ""or a trial run, and let Alan get his fins wet on this one."" So, this was the first thing he wrote.",uncertain,0.4375,Resilience,0.3001,66
I was terrified.,very negative,0.7247,Trauma,0.8551,3
"It was an action cue, it wasn't just a romantic cue, it was something where you really had to hook into the...",neutral,0.6486,Family,0.1713,22
"There's a big shark chase coming up and all that stuff, so Alan had to hit all these accents and beats and all that, so it was something different for Alan.",positive,0.512,Trauma,0.0729,31
"And I also remember, when we scored the movie, this was the first cue that we recorded.",uncertain,0.373,Family,0.6672,17
"I remember sitting next to the orchestrator, I listened to it, and I said, ""Oh, my God, this is awful."" ""Oh, my God, this is just terrible."" And I see Howard and John and Ron conferring at the front, their heads are down and they're talking to each other.",very negative,0.5506,Trauma,0.6753,49
"""And I'm thinking,"" Oh, my God, ""they're trying to figure out how to fire me."" Then finally Howard gets up slowly and walks over to me behind the board.",uncertain,0.354,Trauma,0.7564,29
"I said, ""Yeah, I know it's terrible.",uncertain,0.3979,Family,0.7246,7
"We can work on..."" He says, ""No, in this one measure, ""could you move this one beat forward?"" I said, ""Yes.",uncertain,0.4187,Personal Growth,0.3521,21
"""He says, ""That's great."" I made a choice to do this very much in the style of the earlier animated features, in which, instead of sound effects, you're basically using music for a fall, or music for an impact or for anything, almost like ballet.",uncertain,0.3804,Family,0.4806,45
"So, it's a very busy score.",uncertain,0.3065,Family,0.6117,6
I learned how to get less busy after Little Mermaid.,neutral,0.4529,Personal Growth,0.2376,10
"I might also mention that the shark here is animated by Matt O'Callaghan, who story-boarded this sequence as well, and that doesn't always happen.",uncertain,0.3397,Resilience,0.2638,24
"So, he really shaped it, both in terms of the storyboarding, and then he wound up animating the shark, as well as Louis, the chef, later on.",neutral,0.5844,Family,0.4109,27
"The shark, his name is Glut, although his name is never brought up in the movie, he was originally going to return later in the movie, and Flounder was going to actually defeat him and Flounder would have his moment of glory, finally.",uncertain,0.4087,Personal Growth,0.081,43
"But as we simplified the story, Glut never does return.",uncertain,0.2828,Resilience,0.3459,10
"When this sequence was first developed, there was Flounder, but Ariel also had another companion, a dolphin, which we called Breaker, but he left very quickly.",neutral,0.6034,Personal Growth,0.0237,26
