text,sentiment,score
"In ancient times, the land lay covered in forests, where, from ages long past, dwelt the spirits of the gods.",neutral,0.873
PRINCESS MONONOKE Yakul!,neutral,0.726
Ashitaka!,neutral,0.6299
The wise woman wants everybody back to the village at once.,neutral,0.6842
We just came from Ji-san.,neutral,0.8571
Ji-san?,neutral,0.8348
"Yes, in the forest.",neutral,0.7423
Something's wrong.,negative,0.8654
The birds have gone.,neutral,0.6111
The animals too.,neutral,0.6004
I'll go check with Ji-san.,neutral,0.8438
You three hurry back home.,neutral,0.7821
Something's there.,neutral,0.6458
"Ji-san, did you see it too?",neutral,0.8903
I did.,neutral,0.5961
It isn't human.,negative,0.8545
The wise woman's calling everybody back to the village.,neutral,0.6986
There.,neutral,0.551
Look.,neutral,0.6185
It's some kind of demon!,negative,0.8335
A demon?,neutral,0.6865
"Run, Yakul!",neutral,0.6811
It's headed for the village.,neutral,0.7871
I've got to stop it.,negative,0.59
Ashitaka!,neutral,0.6299
That thing is cursed!,negative,0.9541
Don't let it touch you!,neutral,0.58
Yakul!,neutral,0.6347
"Calm your fury, O mighty Lord!",neutral,0.5612
"Whatever you may be, god or demon, please leave us in peace!",neutral,0.4972
The monster!,negative,0.5543
Come on!,positive,0.6006
Go back!,positive,0.5108
Leave our village alone!,negative,0.6177
Stop!,negative,0.5341
Please!,neutral,0.5394
Get up!,positive,0.6083
He killed it!,positive,0.8304
Ashitaka!,neutral,0.6299
Fetch the wise woman!,neutral,0.6148
Don't put the fire out yet.,negative,0.595
Ashitaka!,neutral,0.6299
"Kaya, don't touch it.",neutral,0.6085
This wound is evil.,negative,0.968
Ashitaka is hurt!,negative,0.8636
Where is the wise woman?,neutral,0.7787
"You must keep away from him, all of you.",neutral,0.5323
"Everyone, stay back.",neutral,0.7519
What shall we do?,neutral,0.9006
"Take this and pour it over his wound, child, slowly.",neutral,0.6026
All right.,neutral,0.4897
"O nameless god of rage and hate, I bow before you.",negative,0.8074
Where you have fallen we will raise a mound and perform rites.,neutral,0.8594
Pass on in peace and bear us no hatred.,neutral,0.65
"Disgusting little creatures, soon all of you will feel my hate and suffer as I have suffered.",negative,0.9771
I'm afraid this is very bad.,negative,0.9646
The stones tell me the boar god came from far to the west.,neutral,0.8225
"He had some kind of poison inside him, driving him mad, a poisonous hatred that consumed his heart and flesh...",negative,0.9543
and turned him into a demon monster.,negative,0.7817
Prince Ashitaka?,neutral,0.8846
Yes?,neutral,0.7116
Show everyone your right arm.,neutral,0.6304
Hii-sama!,neutral,0.722
"My prince, are you prepared to learn what fate the stones have foretold you?",neutral,0.8282
"Yes, I was prepared the very moment that I let my arrow fly.",neutral,0.6625
"The infection will spread, cause you great pain and kill you.",negative,0.9619
Is there no way we can stop it?,negative,0.5484
The prince got that wound by defending our village and saving our lives!,positive,0.5696
Do we just sit here and watch him die?,negative,0.6875
"You cannot alter your fate, my prince.",neutral,0.6446
"However, you can rise to meet it, if you choose.",positive,0.5255
Look at this.,neutral,0.7571
This iron ball was found in the boar's body.,neutral,0.8589
It shattered his bones and burned its way deep inside him.,negative,0.8925
This is what turned him into a demon.,negative,0.9091
"There is evil at work in the land to the west, Prince Ashitaka.",negative,0.8347
It's your fate to go there and see what you can see with eyes unclouded by hate.,neutral,0.7077
You may find a way to lift the curse.,neutral,0.6698
You understand?,neutral,0.7375
Yes.,positive,0.461
We are the last of the Emishi.,neutral,0.8461
It's 500 years since the emperor destroyed our tribe...,negative,0.7376
and drove the remnants of our people to the east.,negative,0.5274
"Some managed to survive here for all these years, but our tribe's blood has grown thinner and weaker with each generation.",negative,0.7739
"Now our last prince must cut his hair and leave us, never to return?",negative,0.7317
Sometimes I think the gods are laughing at us.,neutral,0.5268
"Our laws forbid us from watching you go, Ashitaka.",negative,0.6404
Farewell.,neutral,0.5942
Ashitaka!,neutral,0.6299
"Kaya, what are you doing here?",neutral,0.8627
You know it's forbidden.,negative,0.5029
Do you think I care about that?,neutral,0.7365
I came to give you this so you won't forget your little sister.,neutral,0.569
Your crystal dagger.,neutral,0.8064
"Kaya, I can't take this.",negative,0.9117
"Please, keep it with you, brother, to protect you.",neutral,0.6003
"Please, I want you to have it, so you won't...",neutral,0.5967
forget.,neutral,0.491
"Kaya, you know I could never forget you.",positive,0.4741
A battle?,neutral,0.7303
Move in!,neutral,0.5884
Look!,positive,0.5707
"Up there, on the hill!",positive,0.5713
His head is mine!,positive,0.53
Stop!,negative,0.5341
My arm!,neutral,0.6503
What's happening to me?,neutral,0.5334
Hurry!,neutral,0.5702
Stop him before he gets away!,negative,0.6083
Let me pass!,neutral,0.6422
I'm warning you!,neutral,0.4855
A demon.,negative,0.7503
The mark is getting bigger.,neutral,0.6758
