text,sentiment,score
Read the charges.,neutral,0.6722
Dr.,neutral,0.6263
"Jumba Jookiba, lead scientist of Galaxy Defense Industries, you stand before this council accused of illegal genetic experimentation.",negative,0.6868
How do you plead?,neutral,0.7402
Not guilty!,neutral,0.5062
"My experiments are only theoretical, completely within legal boundaries.",neutral,0.7591
We believe you actually created something.,positive,0.4903
Created something?,neutral,0.7826
But that would be irresponsible and unethical.,negative,0.8895
"I would never, ever, make more than one.",negative,0.7434
What is that monstrosity?,negative,0.9165
Monstrosity?,negative,0.6591
What you see before you is the first of a new species.,neutral,0.8389
I call it Experiment 626.,neutral,0.8873
"He is bulletproof, fireproof and can think faster than supercomputer.",positive,0.7609
"He can see in the dark and move objects 3,000 times his size.",neutral,0.5907
"His only instinct, to destroy everything he touches!",negative,0.7997
So it is a monster.,negative,0.7795
"Hey, just a little one.",neutral,0.7361
It is an affront to nature.,negative,0.9163
It must be destroyed!,negative,0.8789
"Calm yourself, Captain Gantu.",neutral,0.8158
Perhaps it can be reasoned with.,neutral,0.8339
"Experiment 626, give us some sign you understand any of this.",neutral,0.8738
Show us that there is something inside you that is good.,positive,0.9019
So naughty!,negative,0.7247
I didn't teach it that.,negative,0.5501
Place that idiot scientist under arrest!,negative,0.9486
"I prefer to be called ""evil genius""!",negative,0.513
"And as for that abomination, it is the flawed product of a deranged mind.",negative,0.9657
It has no place among us.,negative,0.8519
"Captain Gantu, take him away.",negative,0.6609
With pleasure.,positive,0.8856
Uncomfortable?,negative,0.5935
Good!,positive,0.9175
The council has banished you to exile on a desert asteroid.,negative,0.6526
"So relax, enjoy the trip, and don't get any ideas.",positive,0.777
These guns are locked onto your genetic signature.,negative,0.6224
They won't shoot anyone but you.,neutral,0.4916
"Why, you...",neutral,0.6577
May I remind the Captain that he is on duty?,neutral,0.8938
Secure the cell!,neutral,0.6531
"Aye, Captain.",neutral,0.6926
Captain on deck.,neutral,0.7795
All ahead full.,positive,0.7361
Does this look infected to you?,neutral,0.5164
"Quiet, you.",neutral,0.596
Gunfire in the cell bay!,neutral,0.5693
Open a channel.,neutral,0.6516
He's loose on Deck C!,neutral,0.6411
Red alert.,neutral,0.5317
Seal off the deck!,neutral,0.7569
"Security, converge on Door 7!",neutral,0.7916
Deadly force authorized.,negative,0.5794
Fire on sight!,neutral,0.5829
Fire on sight!,neutral,0.5829
There he is!,positive,0.6753
Security to Bridge.,neutral,0.7771
It's in the ventilation system.,neutral,0.7128
He's headed for the power grid.,neutral,0.8732
What was that?,neutral,0.7857
I don't think he's on the ship anymore.,negative,0.55
Confirmed.,neutral,0.5882
He's taken a police cruiser.,neutral,0.7285
"Yeah, he took the red one.",neutral,0.7945
That's it!,positive,0.5892
We've got it.,positive,0.6075
We've got it!,positive,0.8844
Hyperdrive activated.,neutral,0.7981
System charging.,neutral,0.8041
He's engaged his H-drive!,neutral,0.7378
"Warning, guidance is not functional.",negative,0.8443
"Pursuit Commander, that crazy trog is about to make a jump!",neutral,0.5027
Break formation!,neutral,0.636
Get clear of that ship!,negative,0.5532
Navigation failure.,negative,0.7183
Do not engage...,negative,0.7364
Get me Galactic Control.,neutral,0.7721
Where is he?,neutral,0.7725
He's still in hyperspace.,neutral,0.8271
Where will he exit?,neutral,0.8465
Calculating now.,neutral,0.6851
"Quadrant 17, section 005, area 51.",neutral,0.8782
A planet called Ee-arth.,neutral,0.8428
I want an expert on this planet in here now!,neutral,0.5599
What is that?,neutral,0.7507
Water.,neutral,0.6427
Most of the planet is covered in it.,neutral,0.5423
He won't survive in water.,negative,0.7224
His molecular density is too great.,positive,0.8594
No.,neutral,0.4936
Of course.,neutral,0.5552
How much time do we have?,neutral,0.852
"We have projected his landing at three hours, 42 minutes.",neutral,0.9231
We have to gas the planet.,neutral,0.5121
Hold it!,neutral,0.6082
Hold everything!,neutral,0.7006
Earth is a protected wildlife reserve.,neutral,0.6011
Yeah.,neutral,0.5491
"We've been using it to rebuild the mosquito population, which, need I remind you, is an endangered species!",neutral,0.5746
Am I to assume you are the expert?,neutral,0.6772
"I don't know about ""expert."" Agent Pleakley at your service.",neutral,0.5549
Can we not simply destroy the island?,negative,0.8119
No!,neutral,0.4416
Crazy head!,negative,0.6432
"The mosquito's food of choice, primitive humanoid life forms, have colonies all over that planet.",negative,0.4908
Are they intelligent?,neutral,0.6611
"No, but they're very delicate.",neutral,0.6799
"In fact, every time an asteroid strikes their planet, they have to begin life all over.",neutral,0.7165
"It's fascinating, isn't it?",positive,0.9018
"With this, I've been able to study...",positive,0.6354
What if our military forces just landed there?,neutral,0.7385
"Well, that'd be a bad idea!",negative,0.7945
"These are extremely simple creatures, miss.",negative,0.457
Landing there would create mass mayhem and planet-wide panic!,negative,0.8426
A quiet capture would require an understanding of 626 that we do not possess.,neutral,0.6231
