text,sentiment,score
Now the latest weather forecast for northwest Koriko.,neutral,0.9297
"Skies are clearing up, thanks to a high-pressure front moving in from the continent.",positive,0.6302
Mild winds will be blowing in from the northwest clearing out the clouds by this evening.,neutral,0.8071
We'll also have a beautiful full moon tonight.,positive,0.9669
Tomorrow: fair.,positive,0.6426
Day after tomorrow: fair.,neutral,0.5633
More news in just a minute.,neutral,0.7116
"First, a word from today's sponsor-- Jiji, I've decided!",neutral,0.7774
Tonight's the night!,positive,0.8398
"RING BELL FOR WITCH, KOKIRI Mom!",neutral,0.7276
"Oh, hi, Miss Dora.",neutral,0.8072
It's gonna be clear tonight.,neutral,0.7261
I heard the weather forecast.,neutral,0.8092
There's gonna be a big full moon.,positive,0.8925
Did you borrow your father's radio without permission again?,neutral,0.5552
"It's okay, isn't it?",positive,0.81
"Happy to see you, Miss Dora.",positive,0.9782
"Mom, my mind's made up.",neutral,0.5376
It's tonight.,neutral,0.7983
Weren't you going to put it off a month?,neutral,0.8219
But the next full moon might be on a cloudy night.,neutral,0.6595
I want to leave on the perfect night.,positive,0.6717
"Kiki, wait!",neutral,0.7289
"My, my.",positive,0.4605
What's this leaving business?,neutral,0.7344
It's one of our old customs.,neutral,0.7564
"At 13, a witch leaves home for a year of training.",neutral,0.7735
Your little baby is 13?,neutral,0.5265
"My, my.",positive,0.4605
"Time flies so quickly, doesn't it?",negative,0.4609
I'm afraid so.,negative,0.6446
But nobody leaves home that young anymore.,neutral,0.4891
I remember perfectly well the day you arrived in this town.,neutral,0.5652
"A little 13-year-old girl came down from the sky riding a broomstick, her eyes shining.",positive,0.8261
I thought you were a bit full of yourself.,negative,0.5875
But Kiki has much to learn.,neutral,0.6672
She hardly knows any of my potions.,neutral,0.5534
"After I'm gone, who will make this medicine?",neutral,0.7535
"Sign of the times, I'm afraid.",negative,0.8276
"Everything changes, bit by bit.",neutral,0.7708
"But I have to say, nothing works as well for my rheumatism.",negative,0.9407
You're always telling me to hurry!,neutral,0.5196
Now who's the slowpoke?,neutral,0.5005
I think it's better to leave with decorum and great dignity.,neutral,0.6319
"If we put it off for a month, and I find some wonderful boyfriend, then what?",positive,0.5146
We'll never leave!,positive,0.6127
I'm worried.,negative,0.7641
"Once you've decided, you can't go back.",neutral,0.7469
Of course.,neutral,0.5552
I know that.,neutral,0.5676
Good.,positive,0.7732
It's there.,neutral,0.6279
I'm so excited!,positive,0.9909
It's like getting a birthday present!,positive,0.939
Dad!,positive,0.4869
I've decided to go away tonight!,neutral,0.7174
Tonight?,neutral,0.8574
Yeah!,positive,0.7406
I just decided!,positive,0.5976
"Well, yes, but what about our camping trip for this weekend?",neutral,0.785
"Sorry, Dad!",negative,0.4642
This won't do at all!,negative,0.8642
Yes.,positive,0.461
I'll expect you then.,neutral,0.7571
Thanks.,positive,0.6284
"Hi, Mom.",neutral,0.6782
I wanted to make sure you knew that Kiki is leaving tonight.,neutral,0.8628
"Yes, at midnight.",neutral,0.7269
Not bad.,positive,0.8719
I wish it were a different color.,neutral,0.6507
Witches have always worn this color.,negative,0.6176
"Black cat, black clothes.",neutral,0.8369
It doesn't matter what color your dress is.,neutral,0.7012
What matters is the heart inside it.,neutral,0.6805
I know that having a good heart is very important.,positive,0.9066
I wish I could show you that my heart is ready.,positive,0.7138
Just follow that heart and keep smiling.,positive,0.8522
Okay.,neutral,0.5844
Be sure to write home as soon as you've found a place.,neutral,0.7162
"Dad, can I please take the radio?",neutral,0.7829
"Mom, you said I could have his radio.",neutral,0.7753
Yeah!,positive,0.7406
"Well, the radio is yours now.",neutral,0.708
Okay.,neutral,0.5844
Now let me have a look at my little witch.,neutral,0.8308
You look just like your mother.,negative,0.5543
Dad...,neutral,0.7341
would you pick me up like you used to?,neutral,0.8438
Well...,neutral,0.7051
Why didn't you tell me you were growing up so fast?,negative,0.6143
You can always come home if things don't work out.,neutral,0.5946
Come back to my old room?,neutral,0.8512
"No, thanks.",neutral,0.5646
I hope you find a good town.,positive,0.8963
I bet it's real tough to find a town to live in by yourself.,negative,0.6296
Don't worry.,positive,0.5337
Kiki will be fine.,positive,0.5197
What kind of town are you looking for?,neutral,0.8877
A big town?,neutral,0.8156
Yeah.,neutral,0.5491
"By the ocean, I hope.",neutral,0.7167
Wow!,positive,0.8599
I'm so jealous of you!,negative,0.9628
But I'm not going for a good time.,negative,0.7952
I'll be in training for a year.,neutral,0.8864
"Yeah, but they'll have discos, right?",neutral,0.8363
"Kiki, it's almost time.",neutral,0.6854
Okay!,positive,0.6122
That's the broom you're taking?,neutral,0.8697
Yeah.,neutral,0.5491
I just made it.,positive,0.7176
"Pretty cute, huh?",positive,0.9737
"It's cute, but you can't start on a broom that's too small.",neutral,0.4734
Take mine.,neutral,0.7291
"But, Mom, that one's so old.",negative,0.5695
That's why you should have it.,positive,0.5244
"It never loses its way, even in a storm.",neutral,0.6256
"Kiki, trust me.",neutral,0.5974
But I worked so hard on it.,positive,0.596
"Right, Jiji?",neutral,0.8563
Your mother's broom would be better.,neutral,0.6024
Traitor.,negative,0.9253
He's right.,neutral,0.5232
You can make yourself another broom when you get settled down.,positive,0.4934
Be careful.,neutral,0.7332
Go get 'em.,positive,0.4771
Bye.,neutral,0.5137
"Go, go, Kiki!",positive,0.7112
"Go, go, Kiki!",positive,0.7112
She still hasn't got the hang of it.,negative,0.6643
She's well past the lake and doing just fine.,positive,0.8456
I'm going to miss the sound of those little bells.,negative,0.6526
Which way are we headed?,neutral,0.9069
"I think south, to the ocean.",neutral,0.8706
Climb up and turn on the radio.,neutral,0.8264
I don't think I can.,negative,0.6928
KIKI'S DELIVERY SERVICE Good evening!,positive,0.8806
It was.,neutral,0.6107
"Newcomer, I suppose.",neutral,0.8069
I must be.,neutral,0.6843
I just left home tonight.,neutral,0.8699
Would you mind turning off that music?,neutral,0.7328
I prefer to fly without accompaniment.,neutral,0.7658
Is it hard to get settled into a place you've never been?,neutral,0.5409
"Oh, yes.",positive,0.6818
Lots can go wrong.,negative,0.8341
"But since I'm a fortune-teller, I can handle anything.",positive,0.6001
Fortunes?,neutral,0.7471
"In fact, I've started telling fortunes about love.",neutral,0.586
What's your special skill?,neutral,0.8666
I haven't made up my mind yet.,neutral,0.555
"Well, I'm nearly finished with my training period.",neutral,0.796
It'll be terrific to go home with confidence.,positive,0.9145
That's my town down there.,neutral,0.8202
"It's not big or very interesting, but I like it.",positive,0.8622
Good luck to you.,positive,0.9607
Thanks.,positive,0.6284
Goodbye!,neutral,0.5805
Disgusting.,negative,0.9217
What a stuck-up cat.,negative,0.9678
I need a special skill.,neutral,0.7433
What was that about good weather?,neutral,0.6596
Don't tell me you are going to...,neutral,0.605
We'll sleep here until the storm passes.,neutral,0.8637
Won't we get into trouble?,negative,0.5273
Not if nobody finds us.,neutral,0.6392
I'm soaked through.,neutral,0.5054
Do you feel anything moving?,neutral,0.8852
This smells great.,positive,0.9801
Sorry.,negative,0.5092
We didn't mean to fall asleep in your breakfast.,neutral,0.4881
"Jiji, come see the ocean.",neutral,0.6905
I don't believe it!,negative,0.7866
It's huge!,positive,0.9069
It's only a puddle to me.,neutral,0.5325
"Aw, come on.",negative,0.5985
That one's giant.,positive,0.4826
Think there might be other witches there?,neutral,0.8671
How would I know?,neutral,0.7118
Let's go!,positive,0.8384
You all right back there?,neutral,0.8183
Look.,neutral,0.6185
A big town floating on the sea.,neutral,0.7638
Just as I hoped.,positive,0.4716
A clock tower and everything!,neutral,0.6104
What if there are some witches living here already?,neutral,0.504
There may not be.,neutral,0.5455
I'm gonna like it here!,positive,0.9787
It's a trifle large for my taste.,neutral,0.5175
Bless my hourglass!,positive,0.7675
If that ain't a witch!,negative,0.5765
Good morning!,positive,0.8619
Are there any other witches in this town?,neutral,0.7956
No.,neutral,0.4936
Can't say I've seen a single one of 'em lately.,neutral,0.5066
How about that?,neutral,0.785
Let's settle down right here.,neutral,0.6753
"Thanks, mister!",positive,0.8741
Bye!,neutral,0.6142
Don't mention it!,negative,0.5027
Tell me we're not landing there.,neutral,0.5754
Of course we are.,positive,0.5235
Everybody's staring.,neutral,0.4842
I know.,neutral,0.5132
Smile and make a good first impression.,positive,0.9166
"Well, you see, I'm a witch.",neutral,0.5059
My name is Kiki.,neutral,0.7459
"This is my black cat, Jiji.",neutral,0.8434
We'd be honored to live here.,positive,0.9581
We'd love to live here.,positive,0.9343
You have a wonderful bell tower.,positive,0.9683
"We're glad you like it, my dear.",positive,0.9584
"Hey, kid, why did you jump into the street like that?",negative,0.7104
You almost caused an accident.,negative,0.8482
"You must be crazy, zooming around on a broom in public.",negative,0.8183
"I'm a new witch, sir.",neutral,0.7822
We're supposed to fly around.,neutral,0.7983
You're supposed to obey the law the same as other people.,neutral,0.5411
What's your name and address?,neutral,0.842
Are you gonna tell my parents?,neutral,0.6887
"Of course, if it's necessary.",neutral,0.7196
I have to.,neutral,0.6674
You're a minor.,neutral,0.5323
Thief!,neutral,0.4733
Somebody stop him!,negative,0.6093
"Stop, thief!",negative,0.8819
Don't you move from there!,neutral,0.6466
Kiki.,neutral,0.6224
Wait up!,neutral,0.5544
"It worked out pretty good, huh?",positive,0.9699
"Good plan to get rid of that cop, huh?",neutral,0.4976
"I was the one yelling, ""Thief!"" You're a real witch, right?",neutral,0.4711
I saw you flying.,neutral,0.6414
Could I look at that broom?,neutral,0.8573
"Hey, Tombo!",neutral,0.5426
Isn't it a bit early for girl hunting?,neutral,0.6969
"Hey, you guys, shut up.",negative,0.7874
Whoa!,neutral,0.4812
Let me look at your broom.,neutral,0.8377
Please?,neutral,0.7238
Just for a minute.,neutral,0.7655
I didn't ask for your help.,negative,0.5479
"I guess I have to thank you, but it was rude for you not to introduce yourself first.",neutral,0.5418
How old-fashioned.,negative,0.8224
You sound like my grandma.,neutral,0.4679
Just leave me alone!,negative,0.5342
What a cool witch.,positive,0.9256
Stay here alone?,neutral,0.7095
I don't understand.,negative,0.9146
Aren't your parents here with you?,neutral,0.805
No.,neutral,0.4936
"I'm a witch, so since I'm 13, I'm supposed to be independent.",neutral,0.5289
May I see some identification?,neutral,0.8502
Never mind then.,neutral,0.6564
Are you going to eat that?,neutral,0.8058
You can have it.,neutral,0.5662
It's going to be getting dark soon.,neutral,0.7476
Let's go.,positive,0.5876
Let's just find another town.,neutral,0.7359
There must be a nicer one.,positive,0.4538
Lady!,neutral,0.5109
Your pacifier!,neutral,0.6335
"Lady, you forgot this!",neutral,0.4731
"When that baby wakes up and doesn't find this, he's gonna cry.",negative,0.7108
"I'm sorry, sir, but could you wait just a minute?",negative,0.5361
I'll be right back.,neutral,0.5089
I could bring it down to her.,neutral,0.7559
What?,neutral,0.5653
"The woman with the baby carriage, right?",neutral,0.8533
That'd be a big help.,positive,0.8201
Thank you very much.,positive,0.96
My pleasure.,positive,0.9392
"Let's go, Jiji.",positive,0.5465
Wow!,positive,0.8599
"Sorry to startle you, but you left this in the bakery.",negative,0.6275
Here you go.,neutral,0.581
The usual?,neutral,0.6626
Hi!,positive,0.4741
Come on in!,positive,0.604
Thank you.,positive,0.853
Next!,positive,0.5032
Thank you.,positive,0.853
Bye.,neutral,0.5137
Take care.,neutral,0.6356
"I must say, I nearly fainted when I saw you fly off.",negative,0.4647
That lady told me to give you this.,neutral,0.8299
"""I got the pacifier you sent.",neutral,0.7626
"Thank you!"" I guess I should be going.",positive,0.8378
Wait!,neutral,0.6225
Where are you going so fast?,neutral,0.6418
I want to thank you.,positive,0.9255
Come up here.,neutral,0.744
Sit down and relax.,neutral,0.6382
I'll make us some coffee.,neutral,0.6739
Okay.,neutral,0.5844
Thank you very much.,positive,0.96
And this is for you.,neutral,0.7706
I see.,neutral,0.5826
You need to find your own town.,neutral,0.642
"Yes, but people don't seem fond of witches in this town.",negative,0.7938
There are many kinds of people in a big town like this.,neutral,0.6363
"Take me, for instance.",neutral,0.8413
I like you very much.,positive,0.9693
Found a place to stay yet?,neutral,0.8771
You should have told me you hadn't.,neutral,0.5623
We have a vacant room in the attic you can stay in.,neutral,0.8835
You'd give me a room?,neutral,0.7986
I'd be happy to.,positive,0.9104
Let me introduce myself.,neutral,0.7053
I'm Osono.,neutral,0.758
My name's Kiki.,neutral,0.7698
"This is my black cat, Jiji.",neutral,0.8434
"It's not very clean, but it's all yours.",neutral,0.592
Thanks.,positive,0.6284
Bathroom and water are downstairs.,neutral,0.8487
Don't hesitate to ask for anything.,neutral,0.7535
Thank you!,positive,0.9538
There's flour everywhere.,neutral,0.557
"At this rate, I'll be a white cat by morning.",neutral,0.7287
"Jiji, come look at the ocean from here.",neutral,0.7832
Shall we try to find another town?,neutral,0.897
The Freedom Adventurer has commenced its maiden voyage to Antarctica.,neutral,0.898
What a snob.,negative,0.9282
I've decided to stay awhile.,neutral,0.8033
I might find others like Osono who will like me and accept me for what I am.,positive,0.8091
How much do you think it would cost to install a phone?,neutral,0.8461
A phone?,neutral,0.7134
Yeah.,neutral,0.5491
For my business.,neutral,0.7817
Good morning.,positive,0.7194
Did you sleep well?,neutral,0.8515
Yes!,positive,0.8097
That smells good.,positive,0.9459
Can I help out?,neutral,0.7041
Sure.,neutral,0.4753
"A delivery service, huh?",neutral,0.6838
"I have one skill, flying, so I thought about a delivery service.",neutral,0.7644
Everyone will love it.,positive,0.9671
Kiki's Flying Delivery Service.,neutral,0.8314
And you can base the business out of your room upstairs.,neutral,0.8831
Really?,neutral,0.6008
Thank you.,positive,0.853
I'd like to put a phone up there.,neutral,0.5199
But a phone costs money.,negative,0.6443
I have some saved up already.,neutral,0.4889
Don't waste it.,neutral,0.5599
Why not use our phone?,neutral,0.5902
It takes time to get regular customers.,neutral,0.698
"If you help around the bakery, you won't have to pay rent or the phone bill.",neutral,0.547
I need the help since I'm expecting a baby.,neutral,0.7406
I'll throw in free breakfast too.,positive,0.5117
Thank you!,positive,0.9538
I'll do my very best for you.,positive,0.8529
You're such a wonderful person!,positive,0.9896
"Jiji, come on!",neutral,0.6481
I'm all done!,positive,0.7721
It's time to go shopping.,neutral,0.6949
Stop jumping out into the street.,neutral,0.503
We're not at home.,neutral,0.6333
I'm sorry.,negative,0.6455
I won't do it again.,negative,0.7589
I've never been more embarrassed in my whole life.,negative,0.9124
It was so terrible!,negative,0.9698
"Oh, please.",neutral,0.636
I wish I had something pretty to wear.,positive,0.5765
"Boy, this is expensive.",negative,0.9089
"Kiki, look!",neutral,0.6077
Is there any money left?,neutral,0.8445
We'll just have to eat pancakes for a while.,neutral,0.7729
Wow!,positive,0.8599
Those are beautiful.,positive,0.9712
Wait!,neutral,0.6225
Pull over a second!,neutral,0.7041
Miss Witch!,neutral,0.5216
Not flying today?,neutral,0.508
What'd I tell you?,neutral,0.7274
Black is all she wears.,neutral,0.7957
Wait!,neutral,0.6225
Come back!,positive,0.7141
I'm sorry!,negative,0.6708
I was only kidding!,positive,0.5349
"Perfect timing, Kiki.",positive,0.7748
A lady wants you to deliver something.,neutral,0.8542
She's your first customer.,neutral,0.7044
Customer?,neutral,0.6687
I'll be right back!,positive,0.8033
The map!,positive,0.5478
This lady is a customer of ours.,neutral,0.6951
We were talking about your delivery service.,neutral,0.7259
You are a cute little witch.,positive,0.5467
"My name's Kiki, ma'am.",neutral,0.7928
Could you deliver this by tonight?,neutral,0.8996
Yes!,positive,0.8097
It's my nephew's birthday.,positive,0.7074
But I can't get there myself to give him his present.,neutral,0.515
Where do you want it delivered?,neutral,0.8434
That's me.,neutral,0.6488
It won't be too far?,neutral,0.6377
I can fly directly from here.,positive,0.5336
How much do you want?,neutral,0.8105
I haven't set a price yet.,neutral,0.766
Is this enough?,neutral,0.6681
This is more than enough.,positive,0.8859
"Thank you, ma'am.",positive,0.8328
Up we go!,positive,0.7349
"Oh, wow!",positive,0.8781
That's great!,positive,0.9855
I wish I could fly.,neutral,0.5434
Yeah!,positive,0.7406
"Hey, do you know that girl?",neutral,0.8978
How high do you intend to go?,neutral,0.876
It's my first delivery.,neutral,0.754
I don't want to be stopped by that police officer.,negative,0.8967
I was afraid you were going to deliver it to the angels.,neutral,0.5732
It's just beyond the cape.,neutral,0.7271
Here we go!,positive,0.6007
I'm liking this town more and more.,positive,0.9858
I'm not sure what I think.,negative,0.4891
I'll finally be able to write to Mom.,positive,0.696
Those are wild geese.,neutral,0.6604
Wonderful!,positive,0.9443
They're flying along with us!,neutral,0.504
They seem awfully upset.,negative,0.886
They say a wind's coming.,neutral,0.8242
They also say they're going higher.,neutral,0.7366
"Oh, no!",negative,0.6841
I'm sorry.,negative,0.6455
I-- Ow!,negative,0.7261
Please!,neutral,0.5394
I'm sorry!,negative,0.6708
I wasn't trying to steal your eggs!,neutral,0.5136
I've never been so scared.,negative,0.6708
It's your fault.,negative,0.8178
"They warned us of that wind, but you didn't listen.",negative,0.6783
You're right.,positive,0.4782
That's beautiful.,positive,0.9767
They were able to fly that high up with the wind.,positive,0.5609
Kiki!,neutral,0.5983
The toy is gone!,negative,0.4843
Oh no!,negative,0.7263
Maybe it's when we fell?,negative,0.498
Yeah!,positive,0.7406
"They're saying: ""The egg thief's coming again!"" What are we gonna do?",negative,0.586
Hey!,neutral,0.5279
Stop that!,negative,0.672
Don't do that!,negative,0.7333
Stop it!,negative,0.5914
We're in trouble.,negative,0.8127
They're still upset.,negative,0.6818
Witches get no respect these days.,negative,0.9669
Crows used to be witches' servants.,negative,0.6136
"That was a long time ago, okay?",neutral,0.6404
How about we go get it after dark?,neutral,0.8785
We'll never make it in time.,negative,0.7138
There's only one way to do it.,neutral,0.6492
They'll find out I'm a fake!,negative,0.6709
"After I find it, I'll be right back to help you out.",neutral,0.5957
Is that the place?,neutral,0.8465
Yes.,positive,0.461
Don't move a muscle.,neutral,0.6046
Can I breathe?,neutral,0.6509
Hold it as long as you can.,neutral,0.6926
Yeah!,positive,0.7406
Give me my present!,positive,0.7876
That's pretty weird.,negative,0.8466
"A bit late, aren't you?",neutral,0.5772
"After my sister rang, we wondered where you were.",neutral,0.8755
I'm sorry.,negative,0.6455
Could you please sign here?,neutral,0.8531
"Mom, can I put the canary in here?",neutral,0.858
"Okay, but be careful not to let it escape.",neutral,0.7406
Okay.,neutral,0.5844
Thank you very much.,positive,0.96
"Come on, birdie!",neutral,0.5211
I'm gonna put you in a bigger house!,positive,0.5388
