text,sentiment,score
Yeah?,neutral,0.7381
-Porco Rosso!,neutral,0.648
The Mamma Aiutos are on the move!,neutral,0.8465
The Mamma Aiutos?,neutral,0.8451
"I don't work cheap, you know.",neutral,0.5699
They're after a boat out of Venice carrying a mine payroll.,neutral,0.7996
Is that all?,neutral,0.7925
No.,neutral,0.4936
There's a girls school tour aboard.,neutral,0.906
That'll cost you.,negative,0.7111
-We'll pay Section 14-3 rates.,neutral,0.882
"And 14-4, too.",neutral,0.7478
Heave to!,neutral,0.6455
Heave to or we sink you!,neutral,0.6733
Wow!,positive,0.8599
Pirates!,neutral,0.5722
Not just pirates!,neutral,0.5953
Air pirates!,neutral,0.5108
Time for an overhaul.,neutral,0.7333
Are you bad guys?,neutral,0.5026
Yep.,neutral,0.5607
So we're hostages?,neutral,0.5736
Yep.,neutral,0.5607
Are you air pirates?,neutral,0.7334
What a smart little girl!,positive,0.9542
A skull!,neutral,0.6519
And very well-drawn!,positive,0.9061
Come on!,positive,0.6006
We're in a hurry!,neutral,0.5245
There's 15.,neutral,0.7952
Do we take them all?,neutral,0.8126
It's not nice to break up the group!,negative,0.943
Too late!,negative,0.4548
They took the girls and the money!,negative,0.6721
Bring them back for us!,positive,0.6752
They went that way!,neutral,0.642
No!,neutral,0.4416
They didn't go that way!,negative,0.5777
I know what those cheapskates are up to.,negative,0.6018
They'll change course for the nearest island as soon as they're out of sight.,neutral,0.8869
They can't afford to waste gas.,negative,0.8065
Oops.,negative,0.4829
Come on!,positive,0.6006
I don't have much time.,negative,0.6623
Gotcha!,positive,0.744
Just a tour plane going round the islands.,neutral,0.8779
"Hey, it's a pig!",negative,0.8001
A Pig!,negative,0.8015
"Hey, piggy!",neutral,0.6097
He's so cute!,positive,0.9869
Look over here!,neutral,0.5699
Hang around here and the pirates'll get you!,neutral,0.5354
Cool!,positive,0.9343
Will you all shut up?,negative,0.5139
We're flying!,positive,0.7946
Let me see!,neutral,0.6312
Hey!,neutral,0.5279
Cut that out!,negative,0.6301
Quiet!,neutral,0.7241
"Be quiet, will you?",neutral,0.7702
Do something!,neutral,0.5883
You're the one who said to bring them all!,neutral,0.6485
Just for a second.,neutral,0.7431
I'm not supposed to let you do this.,negative,0.9384
It's so beautiful!,positive,0.9889
Look!,positive,0.5707
A red plane!,positive,0.5369
Where?,neutral,0.7096
Where?,neutral,0.7096
Did you see it?,neutral,0.8009
Yeah.,neutral,0.5491
That's as far as you go!,neutral,0.6042
Here it comes!,positive,0.6018
It's Porco Rosso!,positive,0.5286
I can't see!,negative,0.7018
"Oh, no!",negative,0.6841
It stopped!,neutral,0.5407
We'll crash!,negative,0.5626
We've got another engine!,positive,0.7551
What are you doing?,neutral,0.8242
Fire!,neutral,0.4833
Fire!,neutral,0.4833
That red plane's tough!,neutral,0.5675
You missed!,neutral,0.4549
Move!,neutral,0.5512
A message from the pig.,negative,0.7516
"""You're beat.",negative,0.5586
"Do as I say."" Shut up!",negative,0.5098
He's coming!,neutral,0.524
Get down!,neutral,0.597
Where did he go?,neutral,0.8131
He's hiding!,neutral,0.5475
We crashed!,negative,0.6514
We're going to sink!,negative,0.8372
"No, we won't!",neutral,0.526
This is a seaplane!,neutral,0.6048
We're sinking!,negative,0.8513
Hey!,neutral,0.5279
Stop that!,negative,0.672
Halt!,neutral,0.6904
You're hostages!,negative,0.7314
Don't worry.,positive,0.5337
We're all on the swim team.,neutral,0.6518
That's not what I mean!,negative,0.5905
Another message!,neutral,0.5579
"""You can have half the money.",neutral,0.6927
"Give me the rest and the kids."" Or I'll kill all Of you.",negative,0.7722
...is what he says.,neutral,0.6583
Half the money!,neutral,0.6366
Shut up!,negative,0.787
"Come on, you swine!",negative,0.7653
It's you and me!,positive,0.6376
Take that!,neutral,0.5343
It's busted!,negative,0.597
We surrender!,neutral,0.5469
We surrender!,neutral,0.5469
Don't kill us!,negative,0.6544
Bye-bye!,neutral,0.5578
Goodbye!,neutral,0.5805
He left us enough for repairs.,neutral,0.5622
Don't be such a sap!,negative,0.7466
"Be quiet, will you?",neutral,0.7702
Don't pull on that!,negative,0.5268
You'll break it!,neutral,0.4661
Stay away from the propeller!,neutral,0.572
You've got to pee?,neutral,0.5998
Just do it there.,neutral,0.7734
Another triumph for Porco Rosso So the Mamma Aiutos can't come tonight.,positive,0.6286
And that filthy pig bounty hunter is a hero!,negative,0.6693
"But this young kid's an American, isn't he?",neutral,0.5778
The air pirates of the Adriatic can't ask an American for help!,negative,0.7957
His grandmother was a quarter Italian.,neutral,0.8128
"Anyway, we've got to do something about Porco!",neutral,0.6598
But 10% is outrageous!,negative,0.6973
Beautiful!,positive,0.9589
He's here.,neutral,0.6316
"With his snout in the air, as always!",positive,0.5225
Mr.,neutral,0.5849
Porco Rosso?,neutral,0.8713
I'm from The Neptune.,neutral,0.8489
"Well done, sir!",positive,0.9402
I guess we won't see the Mamma Aiutos for a while.,negative,0.6684
I hear that bounties might be a little bit higher this year.,neutral,0.6302
"Hey, you!",positive,0.5209
Put me down!,negative,0.6153
Listen quietly to the music.,neutral,0.6918
She's quite a woman.,positive,0.7133
Even American pilots know Madame Gina at the Hotel Adriano.,neutral,0.8236
Air pirates and bounty hunters alike leave their quarrels outside.,neutral,0.7096
So that's the famous Curtiss parked outside?,neutral,0.837
The Rattlesnake.,neutral,0.8527
Bringer of fame and fortune.,neutral,0.5317
You beat Italians two years running for the Schneider Trophy.,neutral,0.7924
It's not just fast.,neutral,0.6979
"It's good in a dogfight, too.",positive,0.8066
