text,sentiment,score
The Wind Rises The wind is rising!,positive,0.8195
We must try to live.,neutral,0.7023
"Paul Valery Jiro, here it is.",neutral,0.8702
Would it be alright if I borrow it?,neutral,0.8253
It's not Japanese.,neutral,0.6122
That's okay.,positive,0.7336
I have a dictionary.,neutral,0.7086
"Alright then, give it a try.",neutral,0.7155
Thank you.,positive,0.853
Knock it off.,neutral,0.4563
"Stay out of it, Jiro!",neutral,0.6366
Go home!,neutral,0.5346
Now!,neutral,0.512
Jiro...,neutral,0.7029
"He's half your size, Katayama.",neutral,0.6655
Ah...you look quite the hero.,positive,0.8289
"No, I just slipped and fell.",negative,0.608
Fighting is never justified.,negative,0.5753
"Yes, mother.",neutral,0.5383
Alright.,neutral,0.5707
now you can go have your snack.,neutral,0.7486
Thanks.,positive,0.6284
"Jiro, you're home!",positive,0.7326
Welcome home.,positive,0.9274
"Oh, Jiro , now we can pick some bamboo grass.",neutral,0.7702
Jiro!,neutral,0.5601
"Wait, where are you going?",neutral,0.8264
You promised to pick bamboo grass today.,neutral,0.7343
I got homework.,negative,0.4781
What kind of homework is that?,negative,0.6622
It's an English magazine.,neutral,0.7831
"Oh, look at that stupid moustache.",negative,0.9276
He's a very famous Italian aircraft designer.,positive,0.6923
His name is Caproni.,neutral,0.796
"Wow, it says he's a count.",neutral,0.5335
What happened?,neutral,0.6705
Your face is scratched.,negative,0.8725
"Leave it alone, Kayo!",neutral,0.5879
You should put iodine on it.,neutral,0.6765
I'll do it for you.,positive,0.6243
Would you cut it out!,neutral,0.7979
What are you doing up here?,neutral,0.8676
You're not suppose to be up here.,negative,0.7934
Where are your glasses?,neutral,0.7071
I heard you can fix your eyesight by focusing very intently on the stars.,positive,0.6721
Mom will be mad if you're not in your bed.,negative,0.7208
I see a shooting star!,positive,0.7207
"Oh, there's another one.",neutral,0.7267
"Ah, they're pretty.",positive,0.9589
"Oh, look at that one!",positive,0.48
"Wow, there's so many of them.",positive,0.7752
I'm a Japanese boy.,neutral,0.7965
I'm dreaming.,neutral,0.6581
I think this is my dream.,positive,0.7061
"This is my dream, you know.",positive,0.6412
I think it's mine too.,neutral,0.6987
Your dream?,neutral,0.8285
"Listen, Japanese boy.",neutral,0.7246
