text,sentiment,sentiment_score,theme,theme_score,length
Cinderella You're as lovely as your name Cinderella You're a sunset in a frame Though you're dressed in rags You wear an air of queenly grace Anyone can see A throne would be your proper place Cinderella If you'll give your heart a chance It will lead you To the kingdom of romance There you'll see your dreams unfold Cinderella Cinderella In the sweetest story ever told Once upon a time...,very positive,0.7159,Romantic Love,0.7169,71
"in a faraway land, there was a tiny kingdom...",uncertain,0.3797,Resilience,0.3804,9
"peaceful, prosperous, and rich in romance and tradition.",very positive,0.5112,Family,0.9386,8
"Here, in a stately chateau, there lived a widowed gentleman...",uncertain,0.3212,Grief,0.9308,10
"and his little daughter, Cinderella.",uncertain,0.3596,Family,0.9843,5
"Although he was a kind and devoted father, and gave his beloved child every luxury and comfort, still he felt she needed a mother's care.",uncertain,0.3152,Family,0.9749,25
"And so he married again, choosing for his second wife a woman of good family...",uncertain,0.2428,Family,0.9824,15
with two daughters just Cinderella's age.,uncertain,0.3292,Family,0.9903,6
By name...,uncertain,0.3124,Identity,0.6299,2
Anastasia and Drizella.,uncertain,0.3438,Family,0.9629,3
"It was upon the untimely death of this good man, however, that the stepmother's true nature was revealed.",uncertain,0.3706,Family,0.9342,18
"Cold, cruel, and bitterly jealous...",very negative,0.7296,Family,0.7411,5
"of Cinderella's charm and beauty, she was grimly determined to forward the interests...",uncertain,0.3732,Resilience,0.1822,13
of her own two awkward daughters.,uncertain,0.3242,Family,0.9906,6
"Thus, as time went by, the chateau fell into disrepair, for the family fortunes were squandered...",very negative,0.4933,Family,0.9713,16
"upon the vain and selfish stepsisters, while Cinderella was abused, humiliated, and finally forced to become a servant in her own house.",uncertain,0.313,Trauma,0.8406,22
"And yet, through it all, Cinderella remained ever gentle and kind, for with each dawn she found new hope that someday...",very positive,0.6008,Resilience,0.9495,21
her dreams of happiness would come true.,very positive,0.6073,Family,0.8507,7
"Well, serves you right...",uncertain,0.4261,Family,0.7718,4
spoiling people's best dreams.,very positive,0.6353,Personal Growth,0.2838,4
"Yes, I know it's a lovely morning, but...",neutral,0.5219,Family,0.6195,8
it was a lovely dream too.,very positive,0.4845,Family,0.7896,6
What kind of a dream?,neutral,0.4849,Personal Growth,0.0231,5
Uh-uh.,neutral,0.5178,Family,0.7972,1
Can't tell.,very negative,0.5414,Personal Growth,0.4266,2
"'Cause if you tell a wish, it won't come true.",uncertain,0.3367,Family,0.6439,10
And after all...,neutral,0.5028,Family,0.8286,3
"A dream is a wish Your heart makes When you're fast asleep In dreams, you will lose your heartaches Whatever you wish for You keep Have faith in your dreams And someday Your rainbow will come smiling through No matter how your heart is grieving If you keep on believing The dream that you wish Will come true Oh, that clock!",very positive,0.7369,Family,0.255,61
Old killjoy!,very positive,0.5144,Grief,0.7335,2
I hear you.,uncertain,0.4244,Empathy,0.9524,3
"""Come on, get up!"" you say.",uncertain,0.3044,Personal Growth,0.9206,6
"""Time to start another day."" Even he orders me around.",uncertain,0.3985,Family,0.7757,10
"Well, there's one thing.",neutral,0.635,Family,0.6705,4
They can't order me to stop dreaming.,very negative,0.6425,Personal Growth,0.7739,7
And perhaps someday...,neutral,0.4622,Personal Growth,0.5986,3
The dreams that I wish Will come true Shoo!,very positive,0.7207,Family,0.4013,9
Shoo!,very positive,0.6371,Family,0.492,1
Hurry!,uncertain,0.4101,Family,0.7446,1
"Come on, Jaq.",uncertain,0.2953,Personal Growth,0.7921,3
Shoo!,very positive,0.6371,Family,0.492,1
la.la...ha.ha...la.la...,uncertain,0.3678,Family,0.9422,1
No matter how your heart is grieving If you keep on believing The dream that you wish Will come true Look what I found!,very positive,0.6775,Resilience,0.9178,24
Wait a minute!,uncertain,0.3565,Family,0.7744,3
Wait a minute!,uncertain,0.3565,Family,0.7744,3
"One at a time, please!",uncertain,0.3637,Family,0.6227,5
"Now, Jaq, what's all the fuss about?",uncertain,0.3129,Trauma,0.5365,7
New mouse in the house.,positive,0.459,Personal Growth,0.8531,5
Brand-new.,uncertain,0.3484,Personal Growth,0.902,1
Never saw before.,very negative,0.5017,Personal Growth,0.4904,3
"Visitor, visitor!",uncertain,0.4491,Empathy,0.0945,2
"Oh, a visitor.",uncertain,0.32,Personal Growth,0.3018,3
"Well, she'll need a dress.",uncertain,0.3983,Family,0.4113,5
"No, no, no.",neutral,0.5052,Family,0.9084,3
She's a he.,uncertain,0.3936,Identity,0.9469,3
"He, he!",very positive,0.5488,Identity,0.813,2
"Oh, that does make a difference.",uncertain,0.3585,Family,0.7233,6
"He'll need a jacket, shoes...",uncertain,0.4388,Personal Growth,0.6815,5
Gotta get out!,very positive,0.4516,Personal Growth,0.8433,3
Gotta get out!,very positive,0.4516,Personal Growth,0.8433,3
In a trap-trap!,very negative,0.5236,Trauma,0.6221,3
Trap-trap!,uncertain,0.3544,Trauma,0.0934,1
Where?,uncertain,0.3606,Personal Growth,0.2031,1
In a trap?,very negative,0.4532,Trauma,0.2519,3
"Well, why didn't you say so?",uncertain,0.4423,Family,0.7345,6
"Now, now, now...",neutral,0.6081,Family,0.6412,3
"Calm down, everybody.",uncertain,0.3317,Family,0.8831,3
Oh...,uncertain,0.3841,Family,0.7784,1
The poor little thing’s scared to death.,very negative,0.4687,Family,0.8988,7
"Jaq, maybe you'd better explain things to him.",uncertain,0.4084,Family,0.7478,8
"Zuk-zuk, Cinderelly.",uncertain,0.2952,Family,0.3562,2
Zuk-zuk.,uncertain,0.448,Personal Growth,0.2303,1
"Now, now, now...",neutral,0.6081,Family,0.6412,3
"Look-a, little guy.",neutral,0.4579,Personal Growth,0.8509,3
Take it r-easy.,uncertain,0.3838,Family,0.8605,3
Nothin' to worry 'bout.,uncertain,0.42,Family,0.8099,4
We like-a you.,very positive,0.5458,Friendship,0.9799,3
Cinderelly like you too.,uncertain,0.2844,Family,0.9371,4
She's nice.,positive,0.5331,Family,0.935,2
Very nice.,very positive,0.5156,Family,0.9301,2
That's-a better.,uncertain,0.292,Personal Growth,0.7651,2
"Come on, now.",uncertain,0.3406,Family,0.7812,3
Zuk-zuk-zuk!,very positive,0.6426,Personal Growth,0.3038,1
Za...,uncertain,0.3249,Family,0.6673,1
za...,uncertain,0.3054,Family,0.5463,1
zuk-zuk.,very negative,0.5046,Family,0.3625,1
"Well, that's better.",uncertain,0.3161,Family,0.7919,3
"Well, let's just slip it on for size.",uncertain,0.4155,Personal Growth,0.8842,8
"It is a little snug, but it'll have to do.",uncertain,0.369,Family,0.8233,10
"Now, for a name.",neutral,0.5004,Resilience,0.3059,4
I've got one...,uncertain,0.4359,Family,0.7551,3
Octavious!,very positive,0.7515,Trauma,0.6554,1
"But for short, we'll call you Gus.",uncertain,0.3167,Personal Growth,0.9216,7
"Like it, Gus-Gus?",uncertain,0.2833,Personal Growth,0.7254,3
Like it?,uncertain,0.308,Family,0.8344,2
Like it?,uncertain,0.308,Family,0.8344,2
Uh...,neutral,0.4839,Family,0.7665,1
Gus-Gus.,uncertain,0.3351,Friendship,0.5976,1
Now I've got to hurry.,uncertain,0.3205,Family,0.8465,5
"See that he keeps out of trouble, Jaq, and don't forget to warn him about the cat.",uncertain,0.3095,Family,0.8694,17
Zuk-zuk.,uncertain,0.448,Personal Growth,0.2303,1
Look-a...,uncertain,0.428,Personal Growth,0.5863,1
"uh, uh...",neutral,0.636,Family,0.8004,2
ever seen a cat-cat?,uncertain,0.3938,Resilience,0.0409,4
Duh...,uncertain,0.3054,Family,0.8388,1
cat-cat?,uncertain,0.2934,Personal Growth,0.021,1
Hup!,uncertain,0.396,Family,0.8286,1
Cat-cat!,very positive,0.5824,Personal Growth,0.1313,1
"R-ucifee, that's-a him.",uncertain,0.3013,Identity,0.8597,3
Mean...sneaky...,uncertain,0.4195,Family,0.4754,1
Jump at you!,uncertain,0.4319,Personal Growth,0.807,3
Jump at you!,uncertain,0.4319,Personal Growth,0.807,3
Ha!,very positive,0.5022,Family,0.756,1
"Big, Big!",uncertain,0.374,Family,0.7911,2
Big as a house!,uncertain,0.3416,Family,0.9174,4
Zuk-zuk...,uncertain,0.3934,Family,0.3354,1
R-ucifee?,uncertain,0.31,Family,0.8901,1
Duh...,uncertain,0.3054,Family,0.8388,1
R-ucifee.,uncertain,0.425,Family,0.9644,1
Zuk-zuk.,uncertain,0.448,Personal Growth,0.2303,1
"Here kitty, kitty, kitty, kitty.",uncertain,0.3613,Family,0.0083,5
"Come, kitty.",uncertain,0.3024,Friendship,0.8705,2
Come on.,uncertain,0.4016,Family,0.8255,2
Lucifer!,very positive,0.754,Trauma,0.0138,1
Come here!,very positive,0.604,Family,0.8854,2
I'm sorry if Your Highness objects to an early breakfast.,neutral,0.453,Personal Growth,0.5045,10
It's certainly not my idea to feed you first.,negative,0.5301,Family,0.7052,9
It's orders.,neutral,0.5297,Resilience,0.0011,2
Come on.,uncertain,0.4016,Family,0.8255,2
Duh...,uncertain,0.3054,Family,0.8388,1
R-ucifee.,uncertain,0.425,Family,0.9644,1
Is that a R-ucifee?,uncertain,0.3891,Family,0.2715,4
Zuk...,uncertain,0.442,Personal Growth,0.3888,1
R-ucifee.,uncertain,0.425,Family,0.9644,1
That's-a him!,very positive,0.6128,Identity,0.9574,2
Gus-Gus take-a R-ucifee and...,uncertain,0.4131,Friendship,0.8453,4
Look-it.,uncertain,0.4165,Family,0.645,1
Wait!,uncertain,0.368,Family,0.5416,1
"No, Gus-Gus, no!",very negative,0.482,Family,0.8316,3
"Now, listen here.",uncertain,0.3849,Family,0.8641,3
R-ucifee not-a funny.,negative,0.517,Family,0.3331,3
R-ucifee mean.,neutral,0.53,Family,0.9163,2
Bruno...,uncertain,0.2856,Personal Growth,0.6078,1
Bruno!,very positive,0.585,Personal Growth,0.6955,1
Dreaming again.,very positive,0.6883,Personal Growth,0.6902,2
Chasing Lucifer?,uncertain,0.4132,Trauma,0.0008,2
Catch him this time?,uncertain,0.3904,Personal Growth,0.518,4
That's bad!,very negative,0.5282,Trauma,0.7281,2
Suppose they heard you upstairs?,uncertain,0.4037,Family,0.3953,5
You know the orders.,neutral,0.5418,Family,0.3427,4
"So if you don’t want to lose a nice warm bed, you'd better get rid of those dreams.",uncertain,0.294,Family,0.6269,18
You know how?,uncertain,0.4379,Family,0.5178,3
Just learn to like cats.,uncertain,0.3134,Personal Growth,0.9866,5
"No, I mean it.",uncertain,0.4095,Family,0.8758,4
Lucifer has his good points too.,positive,0.4759,Resilience,0.3568,6
"For one thing, he...",neutral,0.4678,Family,0.6561,4
Well...Sometimes he...,uncertain,0.4499,Personal Growth,0.6243,2
Hmm...,uncertain,0.372,Family,0.7171,1
