text,sentiment,sentiment_score,theme,theme_score,length
"Hi, I'm Don Hahn, I'm the producer of Lion King.",very positive,0.5925,Identity,0.0336,10
"I'm Rob Minkoff, director of The Lion King.",very positive,0.4763,Empathy,0.0636,8
"And Roger Allers, director of Lion King.",very positive,0.4809,Resilience,0.2447,7
And we're here to perform the top 40 hits for you.,uncertain,0.44,Family,0.3881,11
"No, we're here to comment for you on the making of The Lion King.",neutral,0.5332,Empathy,0.0876,14
"Kind of share some of our experiences with you, right here in your own living room.",uncertain,0.4356,Family,0.7666,16
"The project started, actually, as King of the Jungle.",very positive,0.4527,Resilience,0.0009,9
"And the original concept was to do a picture in Africa about lions, but no one at the time knew what the story was gonna be.",neutral,0.4705,Trauma,0.0289,26
"Then it kind of evolved from there into being an original story, which is unique for us.",neutral,0.5653,Family,0.5702,17
Usually we do stories based on fairytales or novels or bits of literature.,neutral,0.7741,Romantic Love,0.11,13
But Lion King was unique in that it was completely out of thin air.,uncertain,0.3087,Resilience,0.0031,14
"Even though it was informed by a little bit of Hamlet, little bit of Old Testament Bible stories like Joseph or Moses, that kind of thing.",uncertain,0.3194,Resilience,0.0469,26
"Originally, in the opening of the picture we were going to have a dialog scene to introduce the characters, to introduce baby Simba, introduce Rafiki as the shaman coming to bless the child.",positive,0.5186,Family,0.1427,33
Right.,uncertain,0.4358,Family,0.8802,1
"Actually, we had scenes of animals walking to Pride Rock.",neutral,0.4858,Resilience,0.081,10
"And then we had Zazu talking about, ""Everybody, get in the line.",uncertain,0.3483,Family,0.6421,12
"Get in the line."" There was so much chatter, and at that time also, Rafiki, no one knew who Rafiki was.",uncertain,0.3767,Family,0.789,21
"But when we heard Hans' version of how he Africanized Circle of Life, we all just went crazy.",very positive,0.4656,Family,0.5238,18
"In four minutes of music, Elton John and Tim Rice, God bless them, created this beautiful… What became an anthem for the movie that defined the spirit of the movie and the theme of the movie.",very positive,0.5608,Family,0.5982,36
"In the shot where we rack focus from the ants in the foreground to the zebras in the background, that was the concept from the storyboard, where we were literally trying to do something that's very common in a live action picture but is very rarely seen or never seen in an animated picture, which is literally to use the focal length of the camera.",neutral,0.5725,Family,0.221,65
But in our case we have to replicate what that might look like under these circumstances where it's artificially done.,uncertain,0.3595,Family,0.6435,20
And yet gives you that sort of sense that you're really looking at a real world.,uncertain,0.3525,Resilience,0.6215,16
"The whole fly-in scene where you reveal the African savanna and you see Pride Rock for the first time, Pride Rock is kind of like the castle for the lions, is all done in one continuous shot.",uncertain,0.3282,Resilience,0.2307,37
It's all done in one.,neutral,0.6461,Family,0.7648,5
You go from this vast overview of the savanna into a close-up of Mufasa without cutting.,uncertain,0.3386,Resilience,0.21,16
"Now, the great thing with this shot of Rafiki coming up, it gives you the feeling of sunlight filtering through the characters.",positive,0.5136,Personal Growth,0.5838,22
"And it's all the great CAPS magical tricks that you can do with special effects, animation and graphics.",very positive,0.6033,Family,0.404,18
Or the clouds which are actually a flat two-dimensional painting which is skewed by the computer.,uncertain,0.3299,Family,0.0462,16
"""Skewing"" means it kind of stretches it out.",uncertain,0.3732,Family,0.6553,8
"And always when we previewed the film, I remember going to the Pasadena theater for the first time where we previewed it, and little Simba turns around for the first time, -always was a surefire ""aw."" It's an ""aw shucks"" moment.",neutral,0.4768,Family,0.4176,41
"And the funny thing about Circle of Life, it's a great stand-alone piece because without giving anything about the movie away, it kind of gives you a sense of epic scale in Africa and all that stuff.",uncertain,0.368,Empathy,0.0013,37
And it went out in November.,uncertain,0.3214,Family,0.877,6
Six months before the movie was released.,uncertain,0.3822,Family,0.6007,7
"That's right, exactly, and the thing that we were all so worried about was that nobody would know what the title of this movie was, because they hadn't heard it before.",neutral,0.4501,Family,0.315,31
That was a big concern.,uncertain,0.4228,Trauma,0.7401,5
"""Do you think people are gonna go?"" Here's something that the folks in the theater probably would never care about.",uncertain,0.3529,Family,0.4458,20
But we really cared about trying to get all the clouds in the background to match speed.,uncertain,0.2969,Family,0.304,17
There are several different paintings of Pride Rock that we had to match from one to the next.,neutral,0.5343,Personal Growth,0.0004,18
