text,sentiment,score
"MY NEIGHBOR TOTORO Dad, do you want some candy?",neutral,0.8989
Thanks.,positive,0.6284
Aren't you tired?,neutral,0.6964
No.,neutral,0.4936
We're almost there.,positive,0.7542
"Mei, hide!",neutral,0.6257
It wasn't a policeman.,neutral,0.6147
Hello!,positive,0.5738
Hello.,neutral,0.5209
Are your parents around?,neutral,0.8241
Thanks.,positive,0.6284
I'm Kusakabe!,neutral,0.5533
We've just arrived!,positive,0.5647
A pleasure to meet you!,positive,0.9858
Welcome!,positive,0.8957
Thank you.,positive,0.853
Here we are!,positive,0.5028
Wait!,neutral,0.6225
"Mei, there's a bridge!",neutral,0.5205
A bridge?,neutral,0.775
See that flash?,neutral,0.7531
Fish too!,neutral,0.6924
"So, you like it here?",neutral,0.8209
"Dad, it's terrific!",positive,0.9749
"Look, a tunnel of trees!",neutral,0.577
Is that our house?,neutral,0.8784
Come on!,positive,0.6006
It's a wreck!,negative,0.6679
Wreck!,negative,0.7584
Looks like a haunted house!,neutral,0.491
Haunted?,neutral,0.7436
And it's all rotten!,negative,0.8944
It's gonna fall down!,neutral,0.4827
Fall down!,neutral,0.5148
"Look, Mei!",neutral,0.4982
See?,neutral,0.6904
It's huge.,positive,0.698
"Dad, there's a huge tree!",positive,0.7519
It's a camphor tree.,neutral,0.7955
Camphor tree!,neutral,0.6129
Camphor tree!,neutral,0.6129
Oops!,negative,0.5402
An acorn!,neutral,0.5324
Show me.,neutral,0.6833
Another one!,positive,0.6084
It's mine.,neutral,0.5461
Out of the way.,neutral,0.6493
I can't open the screens.,negative,0.8312
Acorns!,neutral,0.5951
There are acorns in the house.,negative,0.6004
They fell from up there!,neutral,0.6212
Maybe there are squirrels in here.,neutral,0.758
"Squirrels, really?",neutral,0.5906
Or rats; they like acorns too.,neutral,0.6619
I'd rather have squirrels!,neutral,0.5444
Where shall I put this?,neutral,0.8982
"Here, I'll get the door for you.",neutral,0.8024
"Satsuki, open up the kitchen.",neutral,0.8168
Okay.,neutral,0.5844
It's just round the back.,neutral,0.7383
"Mei, come on!",neutral,0.6392
Wait for me!,neutral,0.5696
Hurry!,neutral,0.5702
Ready?,neutral,0.6724
Bathtubs.,neutral,0.7252
There's nothing here.,neutral,0.5562
That's the bathroom.,neutral,0.6319
"Dad, there's something in here.",neutral,0.8246
A squirrel?,neutral,0.7987
Dunno.,neutral,0.6447
"A bunch of black things, but not roaches or mice.",negative,0.5444
Really?,neutral,0.6008
Can you see them?,neutral,0.8396
I think they were dust bunnies.,neutral,0.7886
Dust bunnies?,neutral,0.8337
Like in my picture book?,neutral,0.8446
That's right.,neutral,0.569
Ghosts don't come out on days like this.,negative,0.6078
"When you walk into a dark room from outside, your eyes dim and the dust bunnies come out.",negative,0.5128
"Oh, I see.",neutral,0.609
"Come here, dust bunnies.",neutral,0.7054
"Come out, come out, wherever you are!",positive,0.5409
Let's get to work!,positive,0.6219
See if you can find how to get upstairs.,neutral,0.8505
Get up there and open all the windows.,neutral,0.7169
