text,sentiment,sentiment_score,theme,theme_score,length
"In ancient times, the land lay covered in forests, where, from ages long past, dwelt the spirits of the gods.",uncertain,0.3746,Resilience,0.1931,20
PRINCESS MONONOKE Yakul!,very positive,0.6972,Personal Growth,0.1012,3
Ashitaka!,very positive,0.6582,Personal Growth,0.6313,1
The wise woman wants everybody back to the village at once.,very positive,0.5114,Family,0.8781,11
We just came from Ji-san.,uncertain,0.3307,Personal Growth,0.6209,5
Ji-san?,uncertain,0.2737,Personal Growth,0.7216,1
"Yes, in the forest.",neutral,0.4721,Resilience,0.6513,4
Something's wrong.,uncertain,0.3542,Family,0.7679,2
The birds have gone.,negative,0.5361,Trauma,0.4736,4
The animals too.,uncertain,0.3967,Resilience,0.6771,3
I'll go check with Ji-san.,neutral,0.4776,Family,0.8483,5
You three hurry back home.,uncertain,0.2307,Family,0.9773,5
Something's there.,neutral,0.6827,Resilience,0.5597,2
"Ji-san, did you see it too?",uncertain,0.2959,Family,0.8514,6
I did.,neutral,0.4724,Family,0.8655,2
It isn't human.,uncertain,0.359,Trauma,0.417,3
The wise woman's calling everybody back to the village.,uncertain,0.3715,Family,0.855,9
There.,neutral,0.639,Family,0.8052,1
Look.,uncertain,0.3684,Family,0.8535,1
It's some kind of demon!,uncertain,0.3498,Trauma,0.004,5
A demon?,very negative,0.6065,Trauma,0.0127,2
"Run, Yakul!",uncertain,0.4267,Personal Growth,0.8188,2
It's headed for the village.,uncertain,0.372,Resilience,0.6335,5
I've got to stop it.,uncertain,0.2657,Family,0.7761,5
Ashitaka!,very positive,0.6582,Personal Growth,0.6313,1
That thing is cursed!,very negative,0.5477,Grief,0.8657,4
Don't let it touch you!,very negative,0.4899,Resilience,0.7227,5
Yakul!,very positive,0.6529,Personal Growth,0.6246,1
"Calm your fury, O mighty Lord!",very positive,0.6505,Trauma,0.5916,6
"Whatever you may be, god or demon, please leave us in peace!",very positive,0.6739,Family,0.715,12
The monster!,very positive,0.5391,Trauma,0.2243,2
Come on!,very positive,0.5919,Personal Growth,0.8703,2
Go back!,uncertain,0.4269,Trauma,0.6087,2
Leave our village alone!,uncertain,0.3402,Loneliness,0.575,4
Stop!,uncertain,0.2849,Family,0.771,1
Please!,uncertain,0.248,Family,0.8072,1
Get up!,uncertain,0.4082,Personal Growth,0.9846,2
He killed it!,very negative,0.6486,Family,0.7828,3
Ashitaka!,very positive,0.6582,Personal Growth,0.6313,1
Fetch the wise woman!,very negative,0.5136,Personal Growth,0.4888,4
Don't put the fire out yet.,very negative,0.4935,Resilience,0.7911,6
Ashitaka!,very positive,0.6582,Personal Growth,0.6313,1
"Kaya, don't touch it.",uncertain,0.4196,Family,0.896,4
This wound is evil.,very negative,0.7616,Trauma,0.9734,4
Ashitaka is hurt!,uncertain,0.3201,Trauma,0.9363,3
Where is the wise woman?,uncertain,0.3068,Personal Growth,0.4918,5
"You must keep away from him, all of you.",uncertain,0.3114,Family,0.7646,9
"Everyone, stay back.",uncertain,0.2837,Family,0.9754,3
What shall we do?,neutral,0.4522,Family,0.6707,4
"Take this and pour it over his wound, child, slowly.",very positive,0.5196,Trauma,0.9573,10
All right.,uncertain,0.4407,Family,0.828,2
"O nameless god of rage and hate, I bow before you.",very positive,0.467,Trauma,0.0347,11
Where you have fallen we will raise a mound and perform rites.,uncertain,0.2471,Trauma,0.7983,12
Pass on in peace and bear us no hatred.,very positive,0.5673,Family,0.8842,9
"Disgusting little creatures, soon all of you will feel my hate and suffer as I have suffered.",very negative,0.7588,Trauma,0.7932,17
I'm afraid this is very bad.,very negative,0.7422,Family,0.7813,6
The stones tell me the boar god came from far to the west.,uncertain,0.3897,Resilience,0.1447,13
"He had some kind of poison inside him, driving him mad, a poisonous hatred that consumed his heart and flesh...",uncertain,0.3733,Trauma,0.8911,20
and turned him into a demon monster.,very negative,0.5504,Trauma,0.5833,7
Prince Ashitaka?,very positive,0.4783,Romantic Love,0.7805,2
Yes?,uncertain,0.4134,Family,0.849,1
Show everyone your right arm.,very positive,0.5372,Personal Growth,0.8374,5
Hii-sama!,very positive,0.4626,Family,0.9354,1
"My prince, are you prepared to learn what fate the stones have foretold you?",uncertain,0.2528,Family,0.5534,14
"Yes, I was prepared the very moment that I let my arrow fly.",uncertain,0.436,Resilience,0.8402,13
"The infection will spread, cause you great pain and kill you.",very positive,0.5,Family,0.4101,11
Is there no way we can stop it?,very negative,0.6072,Family,0.6564,8
The prince got that wound by defending our village and saving our lives!,very positive,0.5688,Trauma,0.9601,13
Do we just sit here and watch him die?,uncertain,0.4018,Family,0.8565,9
"You cannot alter your fate, my prince.",very positive,0.6445,Family,0.633,7
"However, you can rise to meet it, if you choose.",uncertain,0.4041,Resilience,0.9316,10
Look at this.,uncertain,0.3553,Family,0.797,3
This iron ball was found in the boar's body.,uncertain,0.3754,Trauma,0.9162,9
It shattered his bones and burned its way deep inside him.,very negative,0.7589,Trauma,0.9642,11
This is what turned him into a demon.,very negative,0.6002,Trauma,0.9407,8
"There is evil at work in the land to the west, Prince Ashitaka.",uncertain,0.3609,Trauma,0.1,13
